Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Щебень», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;209 427;0,0026;
февраль 2018;206 219;0,0026;
март 2018;272 643;0,0032;
апрель 2018;466 491;0,0061;
май 2018;759 656;0,0101;
июнь 2018;550 549;0,0079;
июль 2018;546 598;0,0078;
август 2018;465 310;0,0065;
сентябрь 2018;408 361;0,0051;
октябрь 2018;426 431;0,0046;
ноябрь 2018;288 701;0,0033;
декабрь 2018;181 741;0,0021;
январь 2019;188 863;0,0021;
февраль 2019;223 544;0,0026;
март 2019;330 080;0,0037;
апрель 2019;509 866;0,0061;
май 2019;508 092;0,0064;
июнь 2019;477 971;0,0065;
июль 2019;470 793;0,0064;
август 2019;424 358;0,0058;
сентябрь 2019;369 619;0,0046;
октябрь 2019;347 321;0,0039;
ноябрь 2019;263 741;0,0029;
декабрь 2019;284 518;0,0030;
январь 2020;309 958;0,0031;
февраль 2020;311 793;0,0033;
март 2020;422 398;0,0042;
апрель 2020;540 396;0,0045;
май 2020;709 211;0,0066;
июнь 2020;682 148;0,0076;
июль 2020;574 633;0,0068;
август 2020;507 527;0,0060;
сентябрь 2020;466 893;0,0049;
октябрь 2020;423 663;0,0039;
ноябрь 2020;331 245;0,0028;
декабрь 2020;266 832;0,0024;
январь 2021;227 854;0,0021;
февраль 2021;260 744;0,0026;
март 2021;407 512;0,0037;
апрель 2021;723 707;0,0067;
май 2021;741 730;0,0071;
июнь 2021;676 760;0,0068;
июль 2021;614 484;0,0063;
август 2021;601 851;0,0060;
сентябрь 2021;523 081;0,0048;
октябрь 2021;447 983;0,0039;
ноябрь 2021;348 906;0,0030;
декабрь 2021;272 764;0,0023;
январь 2022;239 026;0,0020;
февраль 2022;301 306;0,0025;
март 2022;430 814;0,0033;
апрель 2022;735 013;0,0061;
май 2022;848 184;0,0071;
июнь 2022;748 545;0,0069;
июль 2022;651 385;0,0062;
август 2022;623 092;0,0057;
сентябрь 2022;489 791;0,0041;
октябрь 2022;422 670;0,0034;
ноябрь 2022;331 709;0,0026;
декабрь 2022;236 935;0,0018;
январь 2023;232 576;0,0018;
февраль 2023;274 913;0,0024;
март 2023;500 812;0,0040;
апрель 2023;717 651;0,0062;
май 2023;778 610;0,0068;
июнь 2023;674 685;0,0065;
июль 2023;631 751;0,0062;
август 2023;586 464;0,0058;
сентябрь 2023;528 848;0,0049;
октябрь 2023;448 723;0,0037;
ноябрь 2023;339 666;0,0028;
декабрь 2023;226 257;0,0018;
январь 2024;213 233;0,0017;
февраль 2024;294 884;0,0026;
март 2024;446 055;0,0038;
апрель 2024;794 805;0,0073;
май 2024;778 379;0,0073;
июнь 2024;660 075;0,0070;
июль 2024;633 669;0,0068;
август 2024;610 303;0,0065;
сентябрь 2024;542 154;0,0054;
октябрь 2024;549 211;0,0048;
ноябрь 2024;391 012;0,0033;
декабрь 2024;318 526;0,0026;
январь 2025;325 781;0,0027;
февраль 2025;369 680;0,0032;
март 2025;589 854;0,0049;
апрель 2025;783 361;0,0068;
май 2025;790 558;0,0074;
июнь 2025;817 323;0,0077;
