Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Пазогребневые плиты», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;24 066;0,00030;
февраль 2018;24 582;0,00031;
март 2018;29 157;0,00034;
апрель 2018;24 350;0,00032;
май 2018;24 256;0,00032;
июнь 2018;24 198;0,00034;
июль 2018;24 539;0,00035;
август 2018;23 775;0,00033;
сентябрь 2018;24 085;0,00030;
октябрь 2018;28 411;0,00030;
ноябрь 2018;26 036;0,00030;
декабрь 2018;24 183;0,00028;
январь 2019;27 579;0,00031;
февраль 2019;27 827;0,00033;
март 2019;31 557;0,00035;
апрель 2019;27 184;0,00032;
май 2019;25 260;0,00031;
июнь 2019;25 145;0,00034;
июль 2019;27 291;0,00037;
август 2019;24 404;0,00033;
сентябрь 2019;24 856;0,00031;
октябрь 2019;26 378;0,00029;
ноябрь 2019;31 693;0,00035;
декабрь 2019;26 474;0,00028;
январь 2020;30 798;0,00031;
февраль 2020;28 618;0,00031;
март 2020;26 962;0,00027;
апрель 2020;22 344;0,00018;
май 2020;24 507;0,00022;
июнь 2020;25 614;0,00028;
июль 2020;25 712;0,00030;
август 2020;23 917;0,00028;
сентябрь 2020;23 652;0,00024;
октябрь 2020;27 008;0,00025;
ноябрь 2020;27 851;0,00024;
декабрь 2020;24 390;0,00022;
январь 2021;27 190;0,00026;
февраль 2021;26 105;0,00026;
март 2021;29 214;0,00026;
апрель 2021;27 558;0,00025;
май 2021;24 826;0,00024;
июнь 2021;26 676;0,00026;
июль 2021;26 943;0,00027;
август 2021;28 799;0,00028;
сентябрь 2021;28 833;0,00026;
октябрь 2021;29 377;0,00025;
ноябрь 2021;30 193;0,00026;
декабрь 2021;27 678;0,00023;
январь 2022;29 365;0,00024;
февраль 2022;29 423;0,00024;
март 2022;33 483;0,00026;
апрель 2022;30 703;0,00025;
май 2022;26 978;0,00022;
июнь 2022;27 223;0,00025;
июль 2022;23 261;0,00022;
август 2022;24 073;0,00022;
сентябрь 2022;21 866;0,00018;
октябрь 2022;21 305;0,00017;
ноябрь 2022;23 418;0,00018;
декабрь 2022;20 288;0,00016;
январь 2023;21 584;0,00017;
февраль 2023;23 930;0,00020;
март 2023;26 686;0,00021;
апрель 2023;22 983;0,00019;
май 2023;21 541;0,00019;
июнь 2023;21 207;0,00020;
июль 2023;21 502;0,00021;
август 2023;20 691;0,00020;
сентябрь 2023;19 795;0,00018;
октябрь 2023;22 488;0,00018;
ноябрь 2023;21 391;0,00018;
декабрь 2023;16 612;0,00013;
январь 2024;20 324;0,00016;
февраль 2024;20 464;0,00018;
март 2024;21 193;0,00018;
апрель 2024;20 113;0,00018;
май 2024;19 239;0,00018;
июнь 2024;17 482;0,00018;
июль 2024;17 733;0,00019;
август 2024;16 956;0,00018;
сентябрь 2024;15 997;0,00016;
октябрь 2024;18 602;0,00016;
ноябрь 2024;19 836;0,00017;
декабрь 2024;18 925;0,00015;
январь 2025;20 493;0,00017;
февраль 2025;21 053;0,00018;
март 2025;21 797;0,00018;
апрель 2025;19 844;0,00017;
май 2025;18 185;0,00017;
июнь 2025;19 737;0,00018;
