Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Пенополистирол (пенопласт), экструдированный XPS», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;127 780;0,0016;
февраль 2018;123 632;0,0015;
март 2018;145 609;0,0017;
апрель 2018;132 509;0,0017;
май 2018;150 007;0,0019;
июнь 2018;150 405;0,0021;
июль 2018;156 320;0,0022;
август 2018;171 395;0,0024;
сентябрь 2018;174 257;0,0021;
октябрь 2018;183 746;0,0019;
ноябрь 2018;150 650;0,0017;
декабрь 2018;121 702;0,0014;
январь 2019;124 865;0,0014;
февраль 2019;124 446;0,0014;
март 2019;143 369;0,0016;
апрель 2019;144 540;0,0017;
май 2019;149 174;0,0018;
июнь 2019;149 723;0,0020;
июль 2019;161 184;0,0021;
август 2019;157 329;0,0021;
сентябрь 2019;163 649;0,0020;
октябрь 2019;159 614;0,0018;
ноябрь 2019;151 021;0,0017;
декабрь 2019;134 933;0,0014;
январь 2020;141 847;0,0014;
февраль 2020;132 579;0,0014;
март 2020;132 635;0,0013;
апрель 2020;143 265;0,0011;
май 2020;183 878;0,0017;
июнь 2020;180 321;0,0020;
июль 2020;166 846;0,0019;
август 2020;168 556;0,0020;
сентябрь 2020;171 964;0,0018;
октябрь 2020;175 963;0,0016;
ноябрь 2020;167 382;0,0014;
декабрь 2020;150 917;0,0013;
январь 2021;144 525;0,0013;
февраль 2021;142 073;0,0014;
март 2021;165 914;0,0015;
апрель 2021;187 985;0,0017;
май 2021;195 819;0,0018;
июнь 2021;219 662;0,0022;
июль 2021;212 654;0,0021;
август 2021;221 652;0,0022;
сентябрь 2021;232 407;0,0021;
октябрь 2021;202 345;0,0017;
ноябрь 2021;185 039;0,0015;
декабрь 2021;162 199;0,0013;
январь 2022;157 595;0,0013;
февраль 2022;151 821;0,0012;
март 2022;178 237;0,0013;
апрель 2022;177 958;0,0014;
май 2022;194 662;0,0016;
июнь 2022;199 803;0,0018;
июль 2022;186 912;0,0017;
август 2022;197 561;0,0018;
сентябрь 2022;185 988;0,0015;
октябрь 2022;167 778;0,0013;
ноябрь 2022;167 156;0,0013;
декабрь 2022;138 820;0,0011;
январь 2023;135 022;0,0010;
февраль 2023;132 242;0,0011;
март 2023;156 054;0,0012;
апрель 2023;164 790;0,0014;
май 2023;184 663;0,0016;
июнь 2023;189 229;0,0018;
июль 2023;180 812;0,0017;
август 2023;180 754;0,0017;
сентябрь 2023;185 004;0,0017;
октябрь 2023;195 632;0,0016;
ноябрь 2023;173 313;0,0014;
декабрь 2023;137 854;0,0011;
январь 2024;145 031;0,0012;
февраль 2024;147 030;0,0013;
март 2024;150 547;0,0013;
апрель 2024;157 543;0,0014;
май 2024;176 482;0,0016;
июнь 2024;167 414;0,0017;
июль 2024;167 394;0,0017;
август 2024;162 030;0,0017;
сентябрь 2024;160 588;0,0016;
октябрь 2024;170 081;0,0015;
ноябрь 2024;153 254;0,0013;
декабрь 2024;134 577;0,0011;
январь 2025;128 966;0,0010;
февраль 2025;135 471;0,0011;
март 2025;147 981;0,0012;
апрель 2025;145 677;0,0012;
май 2025;149 382;0,0013;
июнь 2025;169 885;0,0016;
