Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Утеплитель напыляемый», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;5 685;0,000073;
февраль 2018;4 881;0,000062;
март 2018;5 888;0,000070;
апрель 2018;4 760;0,000062;
май 2018;7 860;0,000104;
июнь 2018;6 801;0,000098;
июль 2018;6 629;0,000094;
август 2018;8 749;0,000123;
сентябрь 2018;10 759;0,000135;
октябрь 2018;15 344;0,000166;
ноябрь 2018;12 572;0,000147;
декабрь 2018;8 607;0,000100;
январь 2019;7 905;0,000089;
февраль 2019;6 362;0,000075;
март 2019;6 081;0,000069;
апрель 2019;6 175;0,000074;
май 2019;5 986;0,000075;
июнь 2019;6 020;0,000083;
июль 2019;7 353;0,000100;
август 2019;8 089;0,000111;
сентябрь 2019;10 058;0,000127;
октябрь 2019;11 489;0,000129;
ноябрь 2019;11 388;0,000128;
декабрь 2019;7 773;0,000083;
январь 2020;8 025;0,000082;
февраль 2020;7 232;0,000078;
март 2020;6 606;0,000067;
апрель 2020;6 897;0,000057;
май 2020;8 366;0,000078;
июнь 2020;8 537;0,000095;
июль 2020;9 053;0,000107;
август 2020;10 169;0,000121;
сентябрь 2020;13 022;0,000137;
октябрь 2020;13 637;0,000126;
ноябрь 2020;14 068;0,000122;
декабрь 2020;12 699;0,000114;
январь 2021;11 575;0,000110;
февраль 2021;11 116;0,000111;
март 2021;9 887;0,000090;
апрель 2021;9 680;0,000089;
май 2021;10 149;0,000098;
июнь 2021;10 639;0,000107;
июль 2021;11 372;0,000117;
август 2021;15 247;0,000152;
сентябрь 2021;22 095;0,000206;
октябрь 2021;21 132;0,000185;
ноябрь 2021;20 235;0,000174;
декабрь 2021;16 462;0,000138;
январь 2022;14 592;0,000122;
февраль 2022;11 364;0,000096;
март 2022;10 185;0,000079;
апрель 2022;10 593;0,000088;
май 2022;11 192;0,000093;
июнь 2022;10 334;0,000096;
июль 2022;11 306;0,000108;
август 2022;13 709;0,000127;
сентябрь 2022;17 501;0,000149;
октябрь 2022;18 167;0,000146;
ноябрь 2022;20 069;0,000159;
декабрь 2022;18 050;0,000143;
январь 2023;17 746;0,000143;
февраль 2023;12 477;0,000109;
март 2023;13 103;0,000105;
апрель 2023;12 539;0,000108;
май 2023;12 423;0,000109;
июнь 2023;11 970;0,000116;
июль 2023;13 972;0,000138;
август 2023;15 769;0,000156;
сентябрь 2023;19 011;0,000176;
октябрь 2023;26 496;0,000222;
ноябрь 2023;22 437;0,000191;
декабрь 2023;21 957;0,000183;
январь 2024;20 875;0,000173;
февраль 2024;14 413;0,000128;
март 2024;13 024;0,000112;
апрель 2024;13 861;0,000127;
май 2024;16 358;0,000153;
июнь 2024;14 043;0,000150;
июль 2024;17 029;0,000182;
август 2024;18 455;0,000197;
сентябрь 2024;23 980;0,000241;
октябрь 2024;29 248;0,000260;
ноябрь 2024;24 160;0,000207;
декабрь 2024;17 918;0,000149;
январь 2025;15 702;0,000132;
февраль 2025;15 268;0,000133;
март 2025;14 760;0,000123;
апрель 2025;13 815;0,000121;
май 2025;11 869;0,000111;
июнь 2025;14 460;0,000136;
