Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Гидроизоляция для фундамента», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;2 305;0,000029;
февраль 2018;2 623;0,000033;
март 2018;3 376;0,000040;
апрель 2018;5 073;0,000066;
май 2018;7 536;0,000100;
июнь 2018;7 565;0,000109;
июль 2018;8 398;0,000120;
август 2018;8 175;0,000115;
сентябрь 2018;7 754;0,000097;
октябрь 2018;6 954;0,000075;
ноябрь 2018;3 516;0,000041;
декабрь 2018;2 097;0,000024;
январь 2019;2 349;0,000026;
февраль 2019;2 746;0,000032;
март 2019;4 154;0,000047;
апрель 2019;6 020;0,000072;
май 2019;7 729;0,000097;
июнь 2019;7 945;0,000109;
июль 2019;7 976;0,000108;
август 2019;7 575;0,000104;
сентябрь 2019;7 300;0,000092;
октябрь 2019;5 730;0,000064;
ноябрь 2019;4 039;0,000045;
декабрь 2019;3 375;0,000036;
январь 2020;3 473;0,000035;
февраль 2020;3 871;0,000042;
март 2020;5 329;0,000054;
апрель 2020;6 298;0,000052;
май 2020;9 207;0,000085;
июнь 2020;10 146;0,000113;
июль 2020;9 612;0,000114;
август 2020;9 290;0,000110;
сентябрь 2020;8 617;0,000090;
октябрь 2020;6 921;0,000064;
ноябрь 2020;4 573;0,000039;
декабрь 2020;3 430;0,000031;
январь 2021;3 453;0,000033;
февраль 2021;3 856;0,000038;
март 2021;5 610;0,000051;
апрель 2021;8 989;0,000083;
май 2021;11 954;0,000115;
июнь 2021;13 565;0,000136;
июль 2021;13 681;0,000141;
август 2021;13 218;0,000131;
сентябрь 2021;12 102;0,000112;
октябрь 2021;9 532;0,000083;
ноябрь 2021;5 759;0,000049;
декабрь 2021;3 978;0,000033;
январь 2022;4 295;0,000036;
февраль 2022;4 617;0,000039;
март 2022;5 988;0,000046;
апрель 2022;9 159;0,000076;
май 2022;11 979;0,000100;
июнь 2022;13 188;0,000123;
июль 2022;12 737;0,000122;
август 2022;13 214;0,000122;
сентябрь 2022;9 545;0,000081;
октябрь 2022;7 357;0,000059;
ноябрь 2022;4 627;0,000036;
декабрь 2022;3 342;0,000026;
январь 2023;3 564;0,000028;
февраль 2023;4 152;0,000036;
март 2023;7 150;0,000057;
апрель 2023;9 868;0,000085;
май 2023;12 954;0,000114;
июнь 2023;13 242;0,000129;
июль 2023;13 378;0,000132;
август 2023;13 607;0,000135;
сентябрь 2023;11 975;0,000111;
октябрь 2023;8 892;0,000074;
ноябрь 2023;5 460;0,000046;
декабрь 2023;3 558;0,000029;
январь 2024;3 873;0,000032;
февраль 2024;4 857;0,000043;
март 2024;6 407;0,000055;
апрель 2024;10 038;0,000092;
май 2024;12 048;0,000113;
июнь 2024;11 963;0,000128;
июль 2024;13 152;0,000141;
август 2024;12 706;0,000135;
сентябрь 2024;11 540;0,000116;
октябрь 2024;8 703;0,000077;
ноябрь 2024;5 228;0,000044;
декабрь 2024;3 820;0,000031;
январь 2025;4 362;0,000036;
февраль 2025;4 851;0,000042;
март 2025;6 908;0,000057;
апрель 2025;9 037;0,000079;
май 2025;10 437;0,000097;
июнь 2025;12 512;0,000118;
