Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Ондулин», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;37 408;0,00048;
февраль 2018;42 924;0,00055;
март 2018;57 493;0,00068;
апрель 2018;81 893;0,00108;
май 2018;119 146;0,00158;
июнь 2018;127 355;0,00183;
июль 2018;141 809;0,00202;
август 2018;134 994;0,00191;
сентябрь 2018;106 974;0,00134;
октябрь 2018;85 868;0,00093;
ноябрь 2018;48 567;0,00057;
декабрь 2018;30 237;0,00035;
январь 2019;35 862;0,00040;
февраль 2019;43 062;0,00051;
март 2019;61 828;0,00070;
апрель 2019;86 942;0,00105;
май 2019;110 791;0,00140;
июнь 2019;115 363;0,00159;
июль 2019;126 676;0,00172;
август 2019;111 800;0,00153;
сентябрь 2019;87 533;0,00111;
октябрь 2019;69 100;0,00078;
ноябрь 2019;42 580;0,00047;
декабрь 2019;32 659;0,00035;
январь 2020;46 510;0,00047;
февраль 2020;45 262;0,00049;
март 2020;62 966;0,00064;
апрель 2020;88 354;0,00073;
май 2020;152 419;0,00142;
июнь 2020;160 445;0,00179;
июль 2020;149 529;0,00177;
август 2020;131 723;0,00157;
сентябрь 2020;100 325;0,00105;
октябрь 2020;79 797;0,00074;
ноябрь 2020;52 984;0,00046;
декабрь 2020;33 226;0,00030;
январь 2021;39 020;0,00037;
февраль 2021;46 469;0,00046;
март 2021;77 611;0,00071;
апрель 2021;124 753;0,00115;
май 2021;187 791;0,00182;
июнь 2021;253 988;0,00256;
июль 2021;250 079;0,00257;
август 2021;235 943;0,00235;
сентябрь 2021;165 915;0,00154;
октябрь 2021;114 400;0,00100;
ноябрь 2021;74 259;0,00064;
декабрь 2021;47 377;0,00039;
январь 2022;54 383;0,00045;
февраль 2022;66 227;0,00056;
март 2022;101 296;0,00079;
апрель 2022;124 471;0,00104;
май 2022;180 227;0,00151;
июнь 2022;176 767;0,00164;
июль 2022;172 442;0,00165;
август 2022;155 457;0,00144;
сентябрь 2022;109 071;0,00093;
октябрь 2022;86 211;0,00069;
ноябрь 2022;53 966;0,00042;
декабрь 2022;32 583;0,00025;
январь 2023;38 037;0,00030;
февраль 2023;43 118;0,00037;
март 2023;68 722;0,00055;
апрель 2023;96 308;0,00083;
май 2023;126 804;0,00112;
июнь 2023;132 409;0,00129;
июль 2023;149 117;0,00147;
август 2023;146 840;0,00146;
сентябрь 2023;114 154;0,00106;
октябрь 2023;89 764;0,00075;
ноябрь 2023;56 245;0,00047;
декабрь 2023;30 345;0,00025;
январь 2024;35 374;0,00029;
февраль 2024;44 396;0,00039;
март 2024;66 159;0,00057;
апрель 2024;103 304;0,00095;
май 2024;137 259;0,00128;
июнь 2024;140 695;0,00150;
июль 2024;151 630;0,00162;
август 2024;137 691;0,00147;
сентябрь 2024;106 023;0,00106;
октябрь 2024;81 669;0,00072;
ноябрь 2024;52 825;0,00045;
декабрь 2024;31 913;0,00026;
январь 2025;37 720;0,00031;
февраль 2025;42 044;0,00036;
март 2025;65 948;0,00055;
апрель 2025;88 718;0,00077;
май 2025;112 646;0,00105;
июнь 2025;136 512;0,00129;
