Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Цементно», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;148 470;0,0019;
февраль 2018;164 756;0,0021;
март 2018;196 764;0,0023;
апрель 2018;215 252;0,0028;
май 2018;251 705;0,0033;
июнь 2018;236 512;0,0034;
июль 2018;240 326;0,0034;
август 2018;245 384;0,0034;
сентябрь 2018;230 070;0,0029;
октябрь 2018;253 335;0,0027;
ноябрь 2018;196 345;0,0023;
декабрь 2018;166 684;0,0019;
январь 2019;166 203;0,0018;
февраль 2019;189 646;0,0022;
март 2019;241 201;0,0027;
апрель 2019;260 704;0,0031;
май 2019;273 102;0,0034;
июнь 2019;269 790;0,0037;
июль 2019;285 164;0,0038;
август 2019;266 777;0,0036;
сентябрь 2019;240 740;0,0030;
октябрь 2019;251 448;0,0028;
ноябрь 2019;222 985;0,0025;
декабрь 2019;221 872;0,0023;
январь 2020;221 279;0,0022;
февраль 2020;223 599;0,0024;
март 2020;240 967;0,0024;
апрель 2020;314 252;0,0026;
май 2020;342 972;0,0031;
июнь 2020;331 081;0,0037;
июль 2020;295 638;0,0035;
август 2020;283 142;0,0033;
сентябрь 2020;285 797;0,0030;
октябрь 2020;289 806;0,0026;
ноябрь 2020;249 938;0,0021;
декабрь 2020;220 059;0,0019;
январь 2021;195 363;0,0018;
февраль 2021;210 607;0,0021;
март 2021;270 061;0,0024;
апрель 2021;339 198;0,0031;
май 2021;324 166;0,0031;
июнь 2021;352 905;0,0035;
июль 2021;339 364;0,0034;
август 2021;358 050;0,0035;
сентябрь 2021;332 230;0,0031;
октябрь 2021;309 236;0,0027;
ноябрь 2021;282 488;0,0024;
декабрь 2021;250 707;0,0021;
январь 2022;234 843;0,0019;
февраль 2022;257 575;0,0021;
март 2022;316 157;0,0024;
апрель 2022;350 160;0,0029;
май 2022;381 135;0,0031;
июнь 2022;391 835;0,0036;
июль 2022;367 487;0,0035;
август 2022;372 790;0,0034;
сентябрь 2022;322 603;0,0027;
октябрь 2022;304 916;0,0024;
ноябрь 2022;276 368;0,0021;
декабрь 2022;233 600;0,0018;
январь 2023;219 956;0,0017;
февраль 2023;239 155;0,0020;
март 2023;314 833;0,0025;
апрель 2023;355 237;0,0030;
май 2023;367 286;0,0032;
июнь 2023;373 128;0,0036;
июль 2023;366 936;0,0036;
август 2023;358 342;0,0035;
сентябрь 2023;336 011;0,0031;
октябрь 2023;331 944;0,0027;
ноябрь 2023;288 994;0,0024;
декабрь 2023;235 570;0,0019;
январь 2024;222 980;0,0018;
февраль 2024;261 764;0,0023;
март 2024;300 876;0,0026;
апрель 2024;375 231;0,0034;
май 2024;375 235;0,0035;
июнь 2024;350 342;0,0037;
июль 2024;368 871;0,0039;
август 2024;354 112;0,0037;
сентябрь 2024;337 279;0,0033;
октябрь 2024;336 116;0,0029;
ноябрь 2024;315 098;0,0027;
декабрь 2024;295 560;0,0024;
январь 2025;278 986;0,0023;
февраль 2025;305 779;0,0026;
март 2025;348 064;0,0029;
апрель 2025;381 313;0,0033;
май 2025;381 290;0,0035;
июнь 2025;419 834;0,0039;
