Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Плитка декоративная облицовочная», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;372;0,0000047;
февраль 2018;329;0,0000042;
март 2018;411;0,0000048;
апрель 2018;308;0,0000040;
май 2018;434;0,0000057;
июнь 2018;328;0,0000047;
июль 2018;360;0,0000051;
август 2018;401;0,0000056;
сентябрь 2018;336;0,0000042;
октябрь 2018;447;0,0000048;
ноябрь 2018;382;0,0000044;
декабрь 2018;343;0,0000040;
январь 2019;265;0,0000030;
февраль 2019;311;0,0000037;
март 2019;426;0,0000048;
апрель 2019;282;0,0000034;
май 2019;413;0,0000052;
июнь 2019;326;0,0000044;
июль 2019;373;0,0000050;
август 2019;398;0,0000054;
сентябрь 2019;333;0,0000042;
октябрь 2019;352;0,0000039;
ноябрь 2019;368;0,0000041;
декабрь 2019;355;0,0000038;
январь 2020;350;0,0000035;
февраль 2020;316;0,0000034;
март 2020;326;0,0000033;
апрель 2020;460;0,0000038;
май 2020;561;0,0000052;
июнь 2020;507;0,0000056;
июль 2020;353;0,0000041;
август 2020;296;0,0000035;
сентябрь 2020;291;0,0000030;
октябрь 2020;381;0,0000035;
ноябрь 2020;404;0,0000035;
декабрь 2020;389;0,0000035;
январь 2021;361;0,0000034;
февраль 2021;309;0,0000030;
март 2021;329;0,0000030;
апрель 2021;348;0,0000032;
май 2021;304;0,0000029;
июнь 2021;448;0,0000045;
июль 2021;326;0,0000033;
август 2021;300;0,0000029;
сентябрь 2021;294;0,0000027;
октябрь 2021;370;0,0000032;
ноябрь 2021;351;0,0000030;
декабрь 2021;373;0,0000031;
январь 2022;372;0,0000031;
февраль 2022;370;0,0000031;
март 2022;452;0,0000035;
апрель 2022;384;0,0000032;
май 2022;291;0,0000024;
июнь 2022;316;0,0000029;
июль 2022;302;0,0000028;
август 2022;293;0,0000027;
сентябрь 2022;258;0,0000022;
октябрь 2022;350;0,0000028;
ноябрь 2022;249;0,0000019;
декабрь 2022;256;0,0000020;
январь 2023;249;0,0000020;
февраль 2023;259;0,0000022;
март 2023;312;0,0000025;
апрель 2023;220;0,0000019;
май 2023;262;0,0000023;
июнь 2023;237;0,0000023;
июль 2023;247;0,0000024;
август 2023;220;0,0000021;
сентябрь 2023;240;0,0000022;
октябрь 2023;221;0,0000018;
ноябрь 2023;237;0,0000020;
декабрь 2023;227;0,0000019;
январь 2024;308;0,0000025;
февраль 2024;304;0,0000027;
март 2024;227;0,0000019;
апрель 2024;236;0,0000021;
май 2024;246;0,0000023;
июнь 2024;206;0,0000022;
июль 2024;221;0,0000023;
август 2024;206;0,0000022;
сентябрь 2024;193;0,0000019;
октябрь 2024;269;0,0000023;
ноябрь 2024;238;0,0000020;
декабрь 2024;233;0,0000019;
январь 2025;190;0,0000016;
февраль 2025;307;0,0000026;
март 2025;262;0,0000021;
апрель 2025;193;0,0000016;
май 2025;235;0,0000022;
июнь 2025;265;0,0000025;
