Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Доски», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;3 139 282;0,040;
февраль 2018;3 186 788;0,041;
март 2018;3 579 374;0,042;
апрель 2018;3 437 798;0,045;
май 2018;3 658 572;0,048;
июнь 2018;3 308 167;0,047;
июль 2018;3 603 426;0,051;
август 2018;3 766 107;0,053;
сентябрь 2018;3 885 996;0,049;
октябрь 2018;4 297 724;0,046;
ноябрь 2018;3 682 470;0,043;
декабрь 2018;3 362 019;0,039;
январь 2019;3 530 658;0,040;
февраль 2019;3 636 647;0,043;
март 2019;3 906 431;0,044;
апрель 2019;3 796 613;0,045;
май 2019;3 774 554;0,047;
июнь 2019;3 563 805;0,049;
июль 2019;3 730 683;0,050;
август 2019;3 701 177;0,050;
сентябрь 2019;3 759 279;0,047;
октябрь 2019;4 102 748;0,046;
ноябрь 2019;3 867 782;0,043;
декабрь 2019;3 829 482;0,041;
январь 2020;4 070 967;0,041;
февраль 2020;4 162 403;0,045;
март 2020;4 385 896;0,044;
апрель 2020;5 333 455;0,044;
май 2020;5 898 122;0,054;
июнь 2020;5 116 196;0,057;
июль 2020;4 945 249;0,058;
август 2020;4 848 957;0,057;
сентябрь 2020;4 994 300;0,052;
октябрь 2020;5 514 039;0,051;
ноябрь 2020;5 380 199;0,046;
декабрь 2020;4 862 401;0,043;
январь 2021;4 655 516;0,044;
февраль 2021;4 469 688;0,044;
март 2021;5 311 215;0,048;
апрель 2021;5 950 201;0,055;
май 2021;6 055 937;0,058;
июнь 2021;5 947 202;0,059;
июль 2021;5 638 608;0,058;
август 2021;5 718 737;0,057;
сентябрь 2021;5 427 340;0,050;
октябрь 2021;5 611 324;0,049;
ноябрь 2021;5 275 750;0,045;
декабрь 2021;5 081 439;0,042;
январь 2022;5 147 746;0,043;
февраль 2022;5 087 273;0,043;
март 2022;5 787 963;0,045;
апрель 2022;5 644 116;0,047;
май 2022;6 102 919;0,051;
июнь 2022;5 491 523;0,051;
июль 2022;5 474 942;0,052;
август 2022;5 683 414;0,052;
сентябрь 2022;4 971 697;0,042;
октябрь 2022;5 253 304;0,042;
ноябрь 2022;4 823 512;0,038;
декабрь 2022;4 321 446;0,034;
январь 2023;4 389 098;0,035;
февраль 2023;4 343 614;0,038;
март 2023;5 042 867;0,040;
апрель 2023;5 136 390;0,044;
май 2023;5 218 752;0,046;
июнь 2023;4 663 892;0,045;
июль 2023;4 609 391;0,045;
август 2023;4 679 721;0,046;
сентябрь 2023;4 623 198;0,042;
октябрь 2023;5 428 653;0,045;
ноябрь 2023;4 414 702;0,037;
декабрь 2023;3 878 333;0,032;
январь 2024;4 007 413;0,033;
февраль 2024;4 057 911;0,036;
март 2024;4 377 891;0,037;
апрель 2024;4 702 195;0,043;
май 2024;4 764 274;0,044;
июнь 2024;4 127 175;0,044;
июль 2024;4 239 941;0,045;
август 2024;4 091 804;0,043;
сентябрь 2024;4 214 574;0,042;
октябрь 2024;4 530 756;0,040;
ноябрь 2024;4 242 222;0,036;
декабрь 2024;4 045 727;0,033;
январь 2025;4 065 413;0,034;
февраль 2025;4 113 188;0,036;
март 2025;4 568 079;0,038;
апрель 2025;4 799 381;0,042;
май 2025;4 683 809;0,043;
июнь 2025;4 547 619;0,043;
