Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Мебельные щиты», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;70 722;0,00091;
февраль 2018;73 408;0,00094;
март 2018;79 212;0,00094;
апрель 2018;63 714;0,00084;
май 2018;56 614;0,00075;
июнь 2018;54 874;0,00079;
июль 2018;62 197;0,00088;
август 2018;67 822;0,00096;
сентябрь 2018;68 597;0,00086;
октябрь 2018;82 862;0,00089;
ноябрь 2018;84 686;0,00099;
декабрь 2018;67 932;0,00079;
январь 2019;75 729;0,00086;
февраль 2019;77 402;0,00092;
март 2019;81 532;0,00092;
апрель 2019;68 209;0,00082;
май 2019;63 618;0,00080;
июнь 2019;58 947;0,00081;
июль 2019;73 963;0,00100;
август 2019;70 011;0,00096;
сентябрь 2019;73 308;0,00093;
октябрь 2019;99 221;0,00112;
ноябрь 2019;106 006;0,00119;
декабрь 2019;88 355;0,00095;
январь 2020;97 928;0,00100;
февраль 2020;94 151;0,00102;
март 2020;87 145;0,00088;
апрель 2020;76 518;0,00064;
май 2020;93 859;0,00087;
июнь 2020;89 542;0,00100;
июль 2020;88 507;0,00105;
август 2020;95 255;0,00113;
сентябрь 2020;87 907;0,00092;
октябрь 2020;109 923;0,00102;
ноябрь 2020;118 332;0,00103;
декабрь 2020;110 397;0,00099;
январь 2021;115 808;0,00110;
февраль 2021;107 456;0,00107;
март 2021;118 797;0,00109;
апрель 2021;102 947;0,00095;
май 2021;94 271;0,00091;
июнь 2021;94 287;0,00095;
июль 2021;95 766;0,00098;
август 2021;114 802;0,00114;
сентябрь 2021;105 970;0,00098;
октябрь 2021;110 228;0,00096;
ноябрь 2021;121 616;0,00104;
декабрь 2021;107 830;0,00091;
январь 2022;119 322;0,00100;
февраль 2022;105 873;0,00089;
март 2022;120 007;0,00094;
апрель 2022;113 168;0,00094;
май 2022;104 638;0,00087;
июнь 2022;96 268;0,00089;
июль 2022;98 223;0,00094;
август 2022;105 841;0,00098;
сентябрь 2022;94 940;0,00081;
октябрь 2022;96 104;0,00077;
ноябрь 2022;110 225;0,00087;
декабрь 2022;94 357;0,00075;
январь 2023;101 705;0,00082;
февраль 2023;99 704;0,00087;
март 2023;107 073;0,00086;
апрель 2023;86 180;0,00074;
май 2023;82 433;0,00072;
июнь 2023;79 643;0,00077;
июль 2023;85 182;0,00084;
август 2023;84 628;0,00084;
сентябрь 2023;88 387;0,00082;
октябрь 2023;107 489;0,00090;
ноябрь 2023;104 725;0,00089;
декабрь 2023;89 353;0,00074;
январь 2024;97 550;0,00080;
февраль 2024;95 505;0,00085;
март 2024;90 977;0,00078;
апрель 2024;77 321;0,00071;
май 2024;76 397;0,00071;
июнь 2024;66 753;0,00071;
июль 2024;72 291;0,00077;
август 2024;78 097;0,00083;
сентябрь 2024;72 334;0,00072;
октябрь 2024;85 130;0,00075;
ноябрь 2024;101 592;0,00087;
декабрь 2024;94 071;0,00078;
январь 2025;108 805;0,00091;
февраль 2025;100 659;0,00088;
март 2025;94 307;0,00078;
апрель 2025;80 399;0,00070;
май 2025;75 974;0,00071;
июнь 2025;89 360;0,00084;
