Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Песок», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 467 641;0,018;
февраль 2018;1 409 847;0,018;
март 2018;1 869 546;0,022;
апрель 2018;1 665 880;0,021;
май 2018;1 833 565;0,024;
июнь 2018;1 755 046;0,025;
июль 2018;1 771 069;0,025;
август 2018;1 689 305;0,023;
сентябрь 2018;1 564 358;0,019;
октябрь 2018;1 693 054;0,018;
ноябрь 2018;1 507 926;0,017;
декабрь 2018;1 615 433;0,018;
январь 2019;1 559 939;0,017;
февраль 2019;1 536 773;0,018;
март 2019;1 652 296;0,018;
апрель 2019;1 804 323;0,021;
май 2019;1 816 457;0,022;
июнь 2019;1 837 902;0,025;
июль 2019;1 954 927;0,026;
август 2019;1 662 308;0,022;
сентябрь 2019;1 961 367;0,024;
октябрь 2019;1 629 235;0,018;
ноябрь 2019;1 570 322;0,017;
декабрь 2019;1 579 135;0,017;
январь 2020;1 677 744;0,017;
февраль 2020;1 861 030;0,020;
март 2020;1 839 513;0,018;
апрель 2020;2 646 952;0,022;
май 2020;3 100 217;0,028;
июнь 2020;2 906 230;0,032;
июль 2020;2 327 797;0,027;
август 2020;2 018 540;0,024;
сентябрь 2020;1 989 843;0,020;
октябрь 2020;2 207 755;0,020;
ноябрь 2020;2 116 383;0,018;
декабрь 2020;2 168 102;0,019;
январь 2021;1 830 054;0,017;
февраль 2021;1 736 289;0,017;
март 2021;2 004 878;0,018;
апрель 2021;2 331 224;0,021;
май 2021;2 418 026;0,023;
июнь 2021;2 530 225;0,025;
июль 2021;2 619 770;0,027;
август 2021;2 466 023;0,024;
сентябрь 2021;2 129 929;0,019;
октябрь 2021;2 279 243;0,020;
ноябрь 2021;2 208 475;0,019;
декабрь 2021;2 084 576;0,017;
январь 2022;2 032 947;0,017;
февраль 2022;2 278 957;0,019;
март 2022;3 639 449;0,028;
апрель 2022;3 172 697;0,026;
май 2022;2 908 920;0,024;
июнь 2022;2 813 767;0,026;
июль 2022;2 768 739;0,026;
август 2022;2 895 172;0,026;
сентябрь 2022;2 429 910;0,020;
октябрь 2022;2 399 019;0,019;
ноябрь 2022;2 305 453;0,018;
декабрь 2022;1 998 681;0,015;
январь 2023;1 990 868;0,016;
февраль 2023;1 909 759;0,016;
март 2023;2 323 818;0,018;
апрель 2023;2 592 272;0,022;
май 2023;2 853 002;0,025;
июнь 2023;2 570 541;0,025;
июль 2023;2 588 451;0,025;
август 2023;2 331 891;0,023;
сентябрь 2023;2 136 829;0,019;
октябрь 2023;2 084 477;0,017;
ноябрь 2023;1 985 536;0,016;
декабрь 2023;1 945 076;0,016;
январь 2024;2 056 443;0,017;
февраль 2024;2 061 001;0,018;
март 2024;2 182 381;0,018;
апрель 2024;2 428 095;0,022;
май 2024;2 626 363;0,024;
июнь 2024;2 461 737;0,026;
июль 2024;2 494 840;0,026;
август 2024;2 151 865;0,023;
сентябрь 2024;2 128 761;0,021;
октябрь 2024;2 274 567;0,020;
ноябрь 2024;2 207 796;0,018;
декабрь 2024;2 157 625;0,017;
январь 2025;2 116 541;0,017;
февраль 2025;2 121 517;0,018;
март 2025;2 368 377;0,019;
апрель 2025;2 790 246;0,024;
май 2025;2 713 200;0,025;
июнь 2025;2 698 452;0,025;
