Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Миксеры строительные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;8 743;0,00011;
февраль 2018;8 602;0,00011;
март 2018;9 920;0,00011;
апрель 2018;9 972;0,00013;
май 2018;10 837;0,00014;
июнь 2018;11 928;0,00017;
июль 2018;12 310;0,00017;
август 2018;13 229;0,00018;
сентябрь 2018;11 707;0,00014;
октябрь 2018;12 540;0,00013;
ноябрь 2018;9 915;0,00011;
декабрь 2018;8 781;0,00010;
январь 2019;10 264;0,00011;
февраль 2019;11 762;0,00014;
март 2019;12 931;0,00014;
апрель 2019;14 928;0,00018;
май 2019;14 398;0,00018;
июнь 2019;12 575;0,00017;
июль 2019;14 210;0,00019;
август 2019;13 416;0,00018;
сентябрь 2019;12 893;0,00016;
октябрь 2019;12 598;0,00014;
ноябрь 2019;11 919;0,00013;
декабрь 2019;11 191;0,00012;
январь 2020;13 315;0,00013;
февраль 2020;14 461;0,00015;
март 2020;15 005;0,00015;
апрель 2020;16 073;0,00013;
май 2020;21 423;0,00019;
июнь 2020;20 454;0,00022;
июль 2020;21 007;0,00024;
август 2020;22 985;0,00027;
сентябрь 2020;22 699;0,00023;
октябрь 2020;22 711;0,00021;
ноябрь 2020;20 442;0,00017;
декабрь 2020;17 221;0,00015;
январь 2021;18 370;0,00017;
февраль 2021;19 450;0,00019;
март 2021;23 178;0,00021;
апрель 2021;26 680;0,00024;
май 2021;26 750;0,00025;
июнь 2021;29 648;0,00029;
июль 2021;29 840;0,00030;
август 2021;32 189;0,00032;
сентябрь 2021;28 932;0,00027;
октябрь 2021;27 117;0,00023;
ноябрь 2021;24 302;0,00020;
декабрь 2021;22 028;0,00018;
январь 2022;23 773;0,00019;
февраль 2022;25 265;0,00021;
март 2022;30 366;0,00023;
апрель 2022;33 158;0,00027;
май 2022;35 336;0,00029;
июнь 2022;34 446;0,00032;
июль 2022;32 583;0,00031;
август 2022;32 728;0,00030;
сентябрь 2022;27 545;0,00023;
октябрь 2022;25 434;0,00020;
ноябрь 2022;24 723;0,00019;
декабрь 2022;20 716;0,00016;
январь 2023;22 895;0,00018;
февраль 2023;24 575;0,00021;
март 2023;30 544;0,00024;
апрель 2023;31 211;0,00027;
май 2023;33 225;0,00029;
июнь 2023;34 671;0,00033;
июль 2023;33 164;0,00032;
август 2023;33 402;0,00033;
сентябрь 2023;32 673;0,00030;
октябрь 2023;36 117;0,00030;
ноябрь 2023;28 641;0,00024;
декабрь 2023;24 016;0,00020;
январь 2024;24 880;0,00020;
февраль 2024;28 794;0,00025;
март 2024;30 389;0,00026;
апрель 2024;33 485;0,00030;
май 2024;34 918;0,00032;
июнь 2024;31 782;0,00034;
июль 2024;33 161;0,00035;
август 2024;30 245;0,00032;
сентябрь 2024;27 743;0,00027;
октябрь 2024;26 508;0,00023;
ноябрь 2024;23 234;0,00019;
декабрь 2024;20 873;0,00017;
январь 2025;23 834;0,00020;
февраль 2025;25 789;0,00022;
март 2025;29 414;0,00024;
апрель 2025;30 601;0,00026;
май 2025;30 382;0,00028;
июнь 2025;31 873;0,00030;
