Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Лестницы строительные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 657;0,000021;
февраль 2018;2 028;0,000026;
март 2018;2 576;0,000030;
апрель 2018;2 747;0,000036;
май 2018;3 037;0,000040;
июнь 2018;2 854;0,000041;
июль 2018;3 067;0,000043;
август 2018;3 825;0,000054;
сентябрь 2018;3 628;0,000045;
октябрь 2018;3 272;0,000035;
ноябрь 2018;2 544;0,000029;
декабрь 2018;2 027;0,000023;
январь 2019;2 092;0,000023;
февраль 2019;2 486;0,000029;
март 2019;4 786;0,000054;
апрель 2019;5 226;0,000063;
май 2019;4 513;0,000057;
июнь 2019;4 395;0,000060;
июль 2019;4 457;0,000060;
август 2019;3 158;0,000043;
сентябрь 2019;2 910;0,000036;
октябрь 2019;3 079;0,000034;
ноябрь 2019;2 693;0,000030;
декабрь 2019;2 759;0,000029;
январь 2020;2 743;0,000028;
февраль 2020;2 979;0,000032;
март 2020;2 984;0,000030;
апрель 2020;3 719;0,000031;
май 2020;4 921;0,000045;
июнь 2020;5 416;0,000060;
июль 2020;4 873;0,000057;
август 2020;4 639;0,000055;
сентябрь 2020;4 560;0,000048;
октябрь 2020;4 633;0,000043;
ноябрь 2020;4 467;0,000038;
декабрь 2020;3 799;0,000034;
январь 2021;3 417;0,000032;
февраль 2021;3 870;0,000038;
март 2021;4 424;0,000040;
апрель 2021;4 939;0,000045;
май 2021;4 824;0,000046;
июнь 2021;5 025;0,000050;
июль 2021;5 001;0,000051;
август 2021;5 066;0,000050;
сентябрь 2021;4 733;0,000044;
октябрь 2021;4 396;0,000038;
ноябрь 2021;3 925;0,000033;
декабрь 2021;3 626;0,000030;
январь 2022;3 213;0,000026;
февраль 2022;4 068;0,000034;
март 2022;4 041;0,000031;
апрель 2022;4 422;0,000036;
май 2022;4 358;0,000036;
июнь 2022;4 556;0,000042;
июль 2022;4 620;0,000044;
август 2022;4 637;0,000043;
сентябрь 2022;3 581;0,000030;
октябрь 2022;3 658;0,000029;
ноябрь 2022;3 739;0,000029;
декабрь 2022;3 175;0,000025;
январь 2023;2 810;0,000022;
февраль 2023;3 044;0,000026;
март 2023;3 786;0,000030;
апрель 2023;4 397;0,000038;
май 2023;4 222;0,000037;
июнь 2023;4 540;0,000044;
июль 2023;5 295;0,000052;
август 2023;5 152;0,000051;
сентябрь 2023;4 327;0,000040;
октябрь 2023;4 868;0,000040;
ноябрь 2023;4 521;0,000038;
декабрь 2023;3 582;0,000030;
январь 2024;3 090;0,000025;
февраль 2024;3 587;0,000031;
март 2024;3 904;0,000033;
апрель 2024;4 396;0,000040;
май 2024;4 092;0,000038;
июнь 2024;4 242;0,000045;
июль 2024;4 211;0,000045;
август 2024;4 253;0,000045;
сентябрь 2024;3 868;0,000038;
октябрь 2024;4 654;0,000041;
ноябрь 2024;4 288;0,000036;
декабрь 2024;4 012;0,000033;
январь 2025;3 405;0,000028;
февраль 2025;3 735;0,000032;
март 2025;4 322;0,000036;
апрель 2025;4 434;0,000038;
май 2025;4 249;0,000039;
июнь 2025;5 136;0,000048;
