Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Швеллеры», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;144 826;0,0018;
февраль 2018;168 580;0,0021;
март 2018;193 508;0,0023;
апрель 2018;202 790;0,0026;
май 2018;211 756;0,0028;
июнь 2018;198 971;0,0028;
июль 2018;210 102;0,0030;
август 2018;214 697;0,0030;
сентябрь 2018;208 564;0,0026;
октябрь 2018;246 119;0,0026;
ноябрь 2018;192 536;0,0022;
декабрь 2018;164 532;0,0019;
январь 2019;156 061;0,0017;
февраль 2019;180 615;0,0021;
март 2019;199 631;0,0022;
апрель 2019;218 307;0,0026;
май 2019;202 775;0,0025;
июнь 2019;204 291;0,0028;
июль 2019;213 689;0,0029;
август 2019;204 339;0,0028;
сентябрь 2019;203 816;0,0025;
октябрь 2019;223 639;0,0025;
ноябрь 2019;195 771;0,0022;
декабрь 2019;188 630;0,0020;
январь 2020;195 808;0,0020;
февраль 2020;202 703;0,0022;
март 2020;224 675;0,0022;
апрель 2020;210 661;0,0017;
май 2020;244 436;0,0022;
июнь 2020;243 075;0,0027;
июль 2020;229 950;0,0027;
август 2020;220 886;0,0026;
сентябрь 2020;230 774;0,0024;
октябрь 2020;239 578;0,0022;
ноябрь 2020;226 836;0,0019;
декабрь 2020;212 181;0,0019;
январь 2021;180 894;0,0017;
февраль 2021;212 471;0,0021;
март 2021;254 546;0,0023;
апрель 2021;284 061;0,0026;
май 2021;263 643;0,0025;
июнь 2021;280 700;0,0028;
июль 2021;257 510;0,0026;
август 2021;268 907;0,0026;
сентябрь 2021;262 043;0,0024;
октябрь 2021;250 616;0,0022;
ноябрь 2021;243 402;0,0021;
декабрь 2021;232 163;0,0019;
январь 2022;207 104;0,0017;
февраль 2022;233 208;0,0019;
март 2022;261 438;0,0020;
апрель 2022;280 863;0,0023;
май 2022;280 622;0,0023;
июнь 2022;294 011;0,0027;
июль 2022;268 774;0,0025;
август 2022;278 838;0,0025;
сентябрь 2022;250 286;0,0021;
октябрь 2022;246 659;0,0019;
ноябрь 2022;245 233;0,0019;
декабрь 2022;210 476;0,0016;
январь 2023;189 332;0,0015;
февраль 2023;213 869;0,0018;
март 2023;264 914;0,0021;
апрель 2023;261 108;0,0022;
май 2023;274 150;0,0024;
июнь 2023;266 205;0,0025;
июль 2023;254 833;0,0025;
август 2023;251 541;0,0025;
сентябрь 2023;243 354;0,0022;
октябрь 2023;263 431;0,0022;
ноябрь 2023;244 766;0,0020;
декабрь 2023;204 376;0,0017;
январь 2024;194 526;0,0016;
февраль 2024;238 563;0,0021;
март 2024;259 230;0,0022;
апрель 2024;279 120;0,0025;
май 2024;275 730;0,0025;
июнь 2024;251 755;0,0026;
июль 2024;263 877;0,0028;
август 2024;250 904;0,0026;
сентябрь 2024;250 246;0,0025;
октябрь 2024;282 539;0,0025;
ноябрь 2024;264 962;0,0022;
декабрь 2024;248 559;0,0020;
январь 2025;227 353;0,0019;
февраль 2025;269 097;0,0023;
март 2025;290 221;0,0024;
апрель 2025;299 957;0,0026;
май 2025;269 465;0,0025;
июнь 2025;289 819;0,0027;
