Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Круг металлический», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 834;0,000023;
февраль 2018;1 922;0,000024;
март 2018;2 313;0,000027;
апрель 2018;2 233;0,000029;
май 2018;2 268;0,000030;
июнь 2018;1 997;0,000028;
июль 2018;2 028;0,000029;
август 2018;2 225;0,000031;
сентябрь 2018;2 169;0,000027;
октябрь 2018;2 650;0,000028;
ноябрь 2018;2 399;0,000028;
декабрь 2018;2 384;0,000027;
январь 2019;2 171;0,000024;
февраль 2019;2 589;0,000030;
март 2019;2 736;0,000031;
апрель 2019;2 619;0,000031;
май 2019;2 281;0,000028;
июнь 2019;2 210;0,000030;
июль 2019;2 342;0,000031;
август 2019;2 355;0,000032;
сентябрь 2019;2 314;0,000029;
октябрь 2019;2 866;0,000032;
ноябрь 2019;2 785;0,000031;
декабрь 2019;2 531;0,000027;
январь 2020;2 659;0,000027;
февраль 2020;2 847;0,000030;
март 2020;2 887;0,000029;
апрель 2020;3 870;0,000032;
май 2020;3 935;0,000036;
июнь 2020;3 453;0,000038;
июль 2020;2 828;0,000033;
август 2020;2 534;0,000030;
сентябрь 2020;2 704;0,000028;
октябрь 2020;2 929;0,000027;
ноябрь 2020;3 322;0,000028;
декабрь 2020;3 594;0,000032;
январь 2021;2 856;0,000027;
февраль 2021;2 926;0,000029;
март 2021;3 584;0,000032;
апрель 2021;3 738;0,000034;
май 2021;3 771;0,000036;
июнь 2021;3 559;0,000035;
июль 2021;3 327;0,000034;
август 2021;3 334;0,000033;
сентябрь 2021;3 486;0,000032;
октябрь 2021;3 933;0,000034;
ноябрь 2021;3 683;0,000031;
декабрь 2021;3 629;0,000030;
январь 2022;3 467;0,000029;
февраль 2022;3 619;0,000030;
март 2022;6 885;0,000054;
апрель 2022;5 534;0,000046;
май 2022;4 286;0,000035;
июнь 2022;3 724;0,000034;
июль 2022;3 792;0,000036;
август 2022;3 790;0,000035;
сентябрь 2022;3 352;0,000028;
октябрь 2022;3 838;0,000031;
ноябрь 2022;4 241;0,000033;
декабрь 2022;3 949;0,000031;
январь 2023;3 686;0,000029;
февраль 2023;3 921;0,000034;
март 2023;4 431;0,000035;
апрель 2023;4 253;0,000036;
май 2023;4 457;0,000039;
июнь 2023;4 054;0,000039;
июль 2023;3 960;0,000039;
август 2023;3 657;0,000036;
сентябрь 2023;3 649;0,000033;
октябрь 2023;4 077;0,000034;
ноябрь 2023;4 182;0,000035;
декабрь 2023;3 815;0,000031;
январь 2024;3 841;0,000031;
февраль 2024;4 065;0,000036;
март 2024;3 980;0,000034;
апрель 2024;4 303;0,000039;
май 2024;4 382;0,000041;
июнь 2024;3 917;0,000041;
июль 2024;3 690;0,000039;
август 2024;3 341;0,000035;
сентябрь 2024;3 637;0,000036;
октябрь 2024;4 033;0,000035;
ноябрь 2024;4 388;0,000037;
декабрь 2024;4 467;0,000037;
январь 2025;4 524;0,000038;
февраль 2025;4 578;0,000040;
март 2025;4 592;0,000038;
апрель 2025;4 546;0,000039;
май 2025;4 496;0,000042;
июнь 2025;4 597;0,000043;
