Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Гипс, алебастр», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;327 388;0,0042;
февраль 2018;333 310;0,0043;
март 2018;366 803;0,0043;
апрель 2018;311 361;0,0041;
май 2018;307 188;0,0040;
июнь 2018;289 728;0,0041;
июль 2018;296 339;0,0042;
август 2018;292 119;0,0041;
сентябрь 2018;299 921;0,0037;
октябрь 2018;351 250;0,0038;
ноябрь 2018;369 364;0,0043;
декабрь 2018;349 321;0,0040;
январь 2019;380 132;0,0043;
февраль 2019;376 168;0,0044;
март 2019;394 821;0,0044;
апрель 2019;357 450;0,0043;
май 2019;347 883;0,0043;
июнь 2019;322 462;0,0044;
июль 2019;327 777;0,0044;
август 2019;306 376;0,0042;
сентябрь 2019;303 374;0,0038;
октябрь 2019;355 472;0,0040;
ноябрь 2019;380 698;0,0042;
декабрь 2019;394 599;0,0042;
январь 2020;420 511;0,0043;
февраль 2020;402 873;0,0043;
март 2020;385 296;0,0039;
апрель 2020;409 494;0,0034;
май 2020;402 673;0,0037;
июнь 2020;370 676;0,0041;
июль 2020;349 464;0,0041;
август 2020;338 214;0,0040;
сентябрь 2020;349 961;0,0036;
октябрь 2020;389 458;0,0036;
ноябрь 2020;421 797;0,0036;
декабрь 2020;426 068;0,0038;
январь 2021;422 558;0,0040;
февраль 2021;416 834;0,0041;
март 2021;462 349;0,0042;
апрель 2021;442 770;0,0041;
май 2021;408 392;0,0039;
июнь 2021;404 935;0,0040;
июль 2021;386 276;0,0039;
август 2021;396 839;0,0039;
сентябрь 2021;393 094;0,0036;
октябрь 2021;437 582;0,0038;
ноябрь 2021;462 657;0,0039;
декабрь 2021;485 510;0,0040;
январь 2022;527 103;0,0044;
февраль 2022;498 316;0,0042;
март 2022;549 159;0,0043;
апрель 2022;529 386;0,0044;
май 2022;519 864;0,0043;
июнь 2022;488 933;0,0045;
июль 2022;480 467;0,0046;
август 2022;476 443;0,0044;
сентябрь 2022;435 876;0,0037;
октябрь 2022;515 780;0,0041;
ноябрь 2022;527 461;0,0041;
декабрь 2022;526 412;0,0041;
январь 2023;578 062;0,0046;
февраль 2023;569 116;0,0049;
март 2023;625 591;0,0050;
апрель 2023;546 552;0,0047;
май 2023;526 406;0,0046;
июнь 2023;487 236;0,0047;
июль 2023;493 681;0,0048;
август 2023;485 941;0,0048;
сентябрь 2023;475 904;0,0044;
октябрь 2023;543 186;0,0045;
ноябрь 2023;550 389;0,0046;
декабрь 2023;547 322;0,0045;
январь 2024;581 667;0,0048;
февраль 2024;574 293;0,0051;
март 2024;573 509;0,0049;
апрель 2024;515 568;0,0047;
май 2024;483 344;0,0045;
июнь 2024;442 226;0,0047;
июль 2024;439 074;0,0047;
август 2024;414 237;0,0044;
сентябрь 2024;418 988;0,0042;
октябрь 2024;496 945;0,0044;
ноябрь 2024;530 381;0,0045;
декабрь 2024;544 688;0,0045;
январь 2025;571 008;0,0048;
февраль 2025;540 846;0,0047;
март 2025;550 850;0,0045;
апрель 2025;515 059;0,0045;
май 2025;482 937;0,0045;
июнь 2025;488 071;0,0046;
