Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Полосы стальные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;12 833;0,00016;
февраль 2018;15 645;0,00020;
март 2018;17 378;0,00020;
апрель 2018;18 356;0,00024;
май 2018;18 442;0,00024;
июнь 2018;17 817;0,00025;
июль 2018;17 864;0,00025;
август 2018;19 586;0,00027;
сентябрь 2018;17 829;0,00022;
октябрь 2018;22 437;0,00024;
ноябрь 2018;17 728;0,00020;
декабрь 2018;15 163;0,00017;
январь 2019;14 610;0,00016;
февраль 2019;16 361;0,00019;
март 2019;18 131;0,00020;
апрель 2019;21 674;0,00026;
май 2019;16 744;0,00021;
июнь 2019;16 181;0,00022;
июль 2019;17 813;0,00024;
август 2019;15 803;0,00021;
сентябрь 2019;15 900;0,00020;
октябрь 2019;17 742;0,00020;
ноябрь 2019;15 884;0,00017;
декабрь 2019;15 946;0,00017;
январь 2020;16 430;0,00016;
февраль 2020;17 279;0,00018;
март 2020;16 773;0,00017;
апрель 2020;16 535;0,00013;
май 2020;18 280;0,00017;
июнь 2020;17 387;0,00019;
июль 2020;16 888;0,00020;
август 2020;16 103;0,00019;
сентябрь 2020;16 932;0,00017;
октябрь 2020;17 763;0,00016;
ноябрь 2020;17 108;0,00014;
декабрь 2020;15 822;0,00014;
январь 2021;13 910;0,00013;
февраль 2021;16 656;0,00016;
март 2021;19 054;0,00017;
апрель 2021;21 122;0,00019;
май 2021;17 778;0,00017;
июнь 2021;19 936;0,00020;
июль 2021;18 032;0,00018;
август 2021;18 975;0,00018;
сентябрь 2021;20 031;0,00018;
октябрь 2021;19 164;0,00016;
ноябрь 2021;18 399;0,00015;
декабрь 2021;17 850;0,00015;
январь 2022;17 612;0,00014;
февраль 2022;22 077;0,00018;
март 2022;20 863;0,00016;
апрель 2022;22 264;0,00018;
май 2022;20 378;0,00017;
июнь 2022;20 727;0,00019;
июль 2022;18 670;0,00017;
август 2022;20 123;0,00018;
сентябрь 2022;18 028;0,00015;
октябрь 2022;17 440;0,00014;
ноябрь 2022;18 136;0,00014;
декабрь 2022;15 471;0,00012;
январь 2023;14 737;0,00011;
февраль 2023;16 301;0,00014;
март 2023;19 949;0,00016;
апрель 2023;19 003;0,00016;
май 2023;19 421;0,00017;
июнь 2023;18 385;0,00017;
июль 2023;16 742;0,00016;
август 2023;17 581;0,00017;
сентябрь 2023;17 973;0,00016;
октябрь 2023;18 937;0,00015;
ноябрь 2023;17 831;0,00015;
декабрь 2023;15 325;0,00012;
январь 2024;14 731;0,00012;
февраль 2024;18 826;0,00016;
март 2024;19 758;0,00017;
апрель 2024;20 577;0,00018;
май 2024;20 443;0,00019;
июнь 2024;17 825;0,00019;
июль 2024;20 338;0,00021;
август 2024;18 743;0,00020;
сентябрь 2024;18 035;0,00018;
октябрь 2024;21 683;0,00019;
ноябрь 2024;21 185;0,00018;
декабрь 2024;20 176;0,00016;
январь 2025;18 037;0,00015;
февраль 2025;22 682;0,00019;
март 2025;22 877;0,00019;
апрель 2025;23 938;0,00021;
май 2025;19 955;0,00018;
июнь 2025;21 369;0,00020;
