Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Тазы и ведра», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;256;0,0000032;
февраль 2018;325;0,0000041;
март 2018;411;0,0000048;
апрель 2018;349;0,0000046;
май 2018;389;0,0000051;
июнь 2018;440;0,0000063;
июль 2018;350;0,0000050;
август 2018;356;0,0000050;
сентябрь 2018;356;0,0000044;
октябрь 2018;484;0,0000052;
ноябрь 2018;370;0,0000043;
декабрь 2018;327;0,0000038;
январь 2019;436;0,0000049;
февраль 2019;420;0,0000050;
март 2019;485;0,0000055;
апрель 2019;656;0,0000079;
май 2019;498;0,0000062;
июнь 2019;601;0,0000082;
июль 2019;529;0,0000071;
август 2019;518;0,0000071;
сентябрь 2019;2 080;0,0000264;
октябрь 2019;3 489;0,0000394;
ноябрь 2019;3 700;0,0000416;
декабрь 2019;6 288;0,0000677;
январь 2020;5 404;0,0000555;
февраль 2020;2 816;0,0000306;
март 2020;3 274;0,0000333;
апрель 2020;3 217;0,0000269;
май 2020;2 848;0,0000265;
июнь 2020;2 524;0,0000283;
июль 2020;1 242;0,0000147;
август 2020;537;0,0000064;
сентябрь 2020;733;0,0000077;
октябрь 2020;736;0,0000068;
ноябрь 2020;706;0,0000061;
декабрь 2020;717;0,0000064;
январь 2021;706;0,0000067;
февраль 2021;696;0,0000069;
март 2021;737;0,0000067;
апрель 2021;960;0,0000089;
май 2021;894;0,0000086;
июнь 2021;1 071;0,0000107;
июль 2021;1 447;0,0000149;
август 2021;1 100;0,0000109;
сентябрь 2021;1 307;0,0000122;
октябрь 2021;1 100;0,0000096;
ноябрь 2021;960;0,0000082;
декабрь 2021;862;0,0000072;
январь 2022;1 154;0,0000096;
февраль 2022;971;0,0000082;
март 2022;936;0,0000073;
апрель 2022;706;0,0000059;
май 2022;730;0,0000061;
июнь 2022;697;0,0000065;
июль 2022;846;0,0000081;
август 2022;709;0,0000065;
сентябрь 2022;555;0,0000047;
октябрь 2022;526;0,0000042;
ноябрь 2022;687;0,0000054;
декабрь 2022;482;0,0000038;
январь 2023;518;0,0000042;
февраль 2023;635;0,0000055;
март 2023;901;0,0000072;
апрель 2023;713;0,0000061;
май 2023;701;0,0000061;
июнь 2023;685;0,0000066;
июль 2023;640;0,0000063;
август 2023;702;0,0000069;
сентябрь 2023;570;0,0000053;
октябрь 2023;787;0,0000065;
ноябрь 2023;640;0,0000054;
декабрь 2023;592;0,0000049;
январь 2024;636;0,0000052;
февраль 2024;763;0,0000067;
март 2024;635;0,0000055;
апрель 2024;676;0,0000062;
май 2024;903;0,0000084;
июнь 2024;750;0,0000080;
июль 2024;627;0,0000067;
август 2024;540;0,0000057;
сентябрь 2024;531;0,0000053;
октябрь 2024;919;0,0000081;
ноябрь 2024;746;0,0000064;
декабрь 2024;597;0,0000049;
январь 2025;694;0,0000058;
февраль 2025;903;0,0000079;
март 2025;871;0,0000072;
апрель 2025;967;0,0000084;
май 2025;884;0,0000082;
июнь 2025;870;0,0000082;
