Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Секции заборные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 799;0,000023;
февраль 2018;2 075;0,000026;
март 2018;3 004;0,000035;
апрель 2018;4 208;0,000055;
май 2018;5 081;0,000067;
июнь 2018;4 160;0,000059;
июль 2018;3 557;0,000050;
август 2018;3 911;0,000055;
сентябрь 2018;3 232;0,000040;
октябрь 2018;3 415;0,000037;
ноябрь 2018;2 076;0,000024;
декабрь 2018;1 392;0,000016;
январь 2019;1 810;0,000020;
февраль 2019;2 470;0,000029;
март 2019;3 684;0,000041;
апрель 2019;5 488;0,000066;
май 2019;5 256;0,000066;
июнь 2019;4 145;0,000057;
июль 2019;3 940;0,000053;
август 2019;3 638;0,000050;
сентябрь 2019;3 502;0,000044;
октябрь 2019;3 201;0,000036;
ноябрь 2019;2 433;0,000027;
декабрь 2019;2 440;0,000026;
январь 2020;2 767;0,000028;
февраль 2020;3 436;0,000037;
март 2020;4 359;0,000044;
апрель 2020;5 669;0,000047;
май 2020;6 852;0,000063;
июнь 2020;5 209;0,000058;
июль 2020;6 467;0,000076;
август 2020;4 534;0,000054;
сентябрь 2020;3 769;0,000039;
октябрь 2020;3 579;0,000033;
ноябрь 2020;3 433;0,000029;
декабрь 2020;2 493;0,000022;
январь 2021;2 155;0,000020;
февраль 2021;2 373;0,000023;
март 2021;3 963;0,000036;
апрель 2021;6 685;0,000062;
май 2021;6 479;0,000062;
июнь 2021;5 308;0,000053;
июль 2021;4 723;0,000048;
август 2021;4 229;0,000042;
сентябрь 2021;3 638;0,000033;
октябрь 2021;3 333;0,000029;
ноябрь 2021;2 784;0,000024;
декабрь 2021;1 925;0,000016;
январь 2022;1 987;0,000016;
февраль 2022;2 590;0,000021;
март 2022;3 540;0,000027;
апрель 2022;5 281;0,000044;
май 2022;5 870;0,000049;
июнь 2022;4 378;0,000040;
июль 2022;3 925;0,000037;
август 2022;3 443;0,000031;
сентябрь 2022;3 003;0,000025;
октябрь 2022;2 618;0,000021;
ноябрь 2022;2 186;0,000017;
декабрь 2022;1 432;0,000011;
январь 2023;1 796;0,000014;
февраль 2023;1 996;0,000017;
март 2023;3 533;0,000028;
апрель 2023;4 607;0,000039;
май 2023;4 801;0,000042;
июнь 2023;3 904;0,000038;
июль 2023;3 629;0,000035;
август 2023;3 424;0,000034;
сентябрь 2023;3 236;0,000030;
октябрь 2023;3 045;0,000025;
ноябрь 2023;2 553;0,000021;
декабрь 2023;1 451;0,000012;
январь 2024;1 554;0,000012;
февраль 2024;2 192;0,000019;
март 2024;3 382;0,000029;
апрель 2024;4 921;0,000045;
май 2024;4 527;0,000042;
июнь 2024;3 731;0,000039;
июль 2024;3 696;0,000039;
август 2024;3 123;0,000033;
сентябрь 2024;2 915;0,000029;
октябрь 2024;2 594;0,000023;
ноябрь 2024;1 999;0,000017;
декабрь 2024;1 615;0,000013;
январь 2025;2 119;0,000017;
февраль 2025;2 523;0,000022;
март 2025;3 887;0,000032;
апрель 2025;4 383;0,000038;
май 2025;4 410;0,000041;
июнь 2025;4 430;0,000041;
