Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Керамзит», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;167 697;0,00215;
февраль 2018;110 039;0,00141;
март 2018;138 884;0,00165;
апрель 2018;136 151;0,00179;
май 2018;154 232;0,00205;
июнь 2018;150 133;0,00216;
июль 2018;159 085;0,00227;
август 2018;157 395;0,00222;
сентябрь 2018;151 865;0,00191;
октябрь 2018;158 241;0,00171;
ноябрь 2018;127 847;0,00150;
декабрь 2018;97 603;0,00114;
январь 2019;108 625;0,00123;
февраль 2019;114 316;0,00136;
март 2019;146 852;0,00167;
апрель 2019;162 260;0,00196;
май 2019;154 613;0,00195;
июнь 2019;159 965;0,00220;
июль 2019;169 961;0,00231;
август 2019;186 488;0,00256;
сентябрь 2019;154 108;0,00195;
октябрь 2019;151 302;0,00171;
ноябрь 2019;139 222;0,00156;
декабрь 2019;138 992;0,00149;
январь 2020;162 352;0,00166;
февраль 2020;158 823;0,00172;
март 2020;158 475;0,00161;
апрель 2020;176 479;0,00147;
май 2020;216 356;0,00201;
июнь 2020;202 966;0,00227;
июль 2020;190 576;0,00226;
август 2020;180 616;0,00215;
сентябрь 2020;164 593;0,00173;
октябрь 2020;168 661;0,00156;
ноябрь 2020;160 277;0,00139;
декабрь 2020;134 134;0,00121;
январь 2021;150 503;0,00144;
февраль 2021;147 978;0,00148;
март 2021;177 315;0,00162;
апрель 2021;178 559;0,00165;
май 2021;183 606;0,00177;
июнь 2021;198 318;0,00199;
июль 2021;231 171;0,00238;
август 2021;239 044;0,00238;
сентябрь 2021;212 280;0,00198;
октябрь 2021;209 495;0,00184;
ноябрь 2021;179 934;0,00155;
декабрь 2021;136 975;0,00115;
январь 2022;142 567;0,00119;
февраль 2022;147 622;0,00124;
март 2022;188 128;0,00147;
апрель 2022;193 464;0,00161;
май 2022;214 184;0,00179;
июнь 2022;204 025;0,00190;
июль 2022;191 541;0,00183;
август 2022;189 989;0,00176;
сентябрь 2022;162 621;0,00139;
октябрь 2022;167 093;0,00135;
ноябрь 2022;138 448;0,00109;
декабрь 2022;116 080;0,00092;
январь 2023;121 536;0,00098;
февраль 2023;130 306;0,00114;
март 2023;157 107;0,00126;
апрель 2023;173 194;0,00150;
май 2023;179 530;0,00158;
июнь 2023;172 354;0,00168;
июль 2023;173 784;0,00172;
август 2023;166 339;0,00165;
сентябрь 2023;161 280;0,00149;
октябрь 2023;157 442;0,00131;
ноябрь 2023;133 091;0,00113;
декабрь 2023;99 381;0,00083;
январь 2024;112 739;0,00093;
февраль 2024;121 196;0,00107;
март 2024;159 054;0,00137;
апрель 2024;166 326;0,00153;
май 2024;177 541;0,00166;
июнь 2024;157 161;0,00168;
июль 2024;164 323;0,00176;
август 2024;157 505;0,00168;
сентябрь 2024;152 940;0,00153;
октябрь 2024;164 606;0,00146;
ноябрь 2024;141 935;0,00122;
декабрь 2024;115 038;0,00095;
январь 2025;132 512;0,00111;
февраль 2025;133 522;0,00117;
март 2025;153 589;0,00128;
апрель 2025;158 234;0,00138;
май 2025;167 364;0,00156;
июнь 2025;179 037;0,00169;
