Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Столбы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;450 527;0,0058;
февраль 2018;626 927;0,0080;
март 2018;573 104;0,0068;
апрель 2018;678 429;0,0089;
май 2018;831 011;0,0110;
июнь 2018;661 097;0,0095;
июль 2018;602 729;0,0086;
август 2018;608 038;0,0086;
сентябрь 2018;669 213;0,0084;
октябрь 2018;726 495;0,0078;
ноябрь 2018;578 273;0,0068;
декабрь 2018;494 018;0,0057;
январь 2019;560 770;0,0063;
февраль 2019;650 482;0,0077;
март 2019;720 623;0,0082;
апрель 2019;871 242;0,0105;
май 2019;927 841;0,0117;
июнь 2019;726 477;0,0100;
июль 2019;680 163;0,0092;
август 2019;642 731;0,0088;
сентябрь 2019;691 375;0,0087;
октябрь 2019;709 130;0,0080;
ноябрь 2019;628 174;0,0070;
декабрь 2019;614 820;0,0066;
январь 2020;680 024;0,0069;
февраль 2020;787 653;0,0085;
март 2020;847 898;0,0086;
апрель 2020;1 346 513;0,0112;
май 2020;1 459 261;0,0136;
июнь 2020;1 041 324;0,0116;
июль 2020;894 356;0,0106;
август 2020;814 320;0,0097;
сентябрь 2020;912 784;0,0096;
октябрь 2020;961 389;0,0089;
ноябрь 2020;950 278;0,0082;
декабрь 2020;845 543;0,0076;
январь 2021;759 282;0,0072;
февраль 2021;894 125;0,0089;
март 2021;966 009;0,0088;
апрель 2021;1 146 078;0,0106;
май 2021;1 256 340;0,0121;
июнь 2021;1 071 257;0,0107;
июль 2021;970 772;0,0100;
август 2021;953 473;0,0095;
сентябрь 2021;1 023 284;0,0095;
октябрь 2021;1 022 736;0,0089;
ноябрь 2021;921 435;0,0079;
декабрь 2021;848 049;0,0071;
январь 2022;850 468;0,0071;
февраль 2022;1 087 230;0,0092;
март 2022;1 094 418;0,0085;
апрель 2022;1 250 200;0,0104;
май 2022;1 530 716;0,0128;
июнь 2022;1 195 035;0,0111;
июль 2022;1 113 838;0,0106;
август 2022;1 154 268;0,0107;
сентябрь 2022;1 185 578;0,0101;
октябрь 2022;1 354 438;0,0109;
ноябрь 2022;1 115 004;0,0088;
декабрь 2022;971 451;0,0077;
январь 2023;955 199;0,0077;
февраль 2023;1 131 267;0,0099;
март 2023;1 246 795;0,0100;
апрель 2023;1 393 845;0,0120;
май 2023;1 496 148;0,0132;
июнь 2023;1 229 754;0,0119;
июль 2023;1 102 339;0,0109;
август 2023;1 066 488;0,0106;
сентябрь 2023;1 134 566;0,0105;
октябрь 2023;1 168 550;0,0097;
ноябрь 2023;977 607;0,0083;
декабрь 2023;899 262;0,0075;
январь 2024;965 625;0,0080;
февраль 2024;1 187 170;0,0105;
март 2024;1 285 811;0,0111;
апрель 2024;1 400 071;0,0129;
май 2024;1 472 412;0,0138;
июнь 2024;1 140 885;0,0122;
июль 2024;1 122 936;0,0120;
август 2024;1 034 795;0,0110;
сентябрь 2024;1 130 658;0,0113;
октябрь 2024;1 173 439;0,0104;
ноябрь 2024;1 044 453;0,0089;
декабрь 2024;976 499;0,0081;
январь 2025;1 016 215;0,0085;
февраль 2025;1 324 486;0,0116;
март 2025;1 353 020;0,0112;
апрель 2025;1 420 166;0,0124;
май 2025;1 412 049;0,0132;
июнь 2025;1 264 317;0,0119;
