Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Комплектующие для забора», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;395;0,0000050;
февраль 2018;385;0,0000049;
март 2018;589;0,0000070;
апрель 2018;995;0,0000131;
май 2018;1 578;0,0000210;
июнь 2018;1 076;0,0000155;
июль 2018;1 030;0,0000147;
август 2018;1 118;0,0000158;
сентябрь 2018;822;0,0000103;
октябрь 2018;711;0,0000077;
ноябрь 2018;294;0,0000034;
декабрь 2018;169;0,0000019;
январь 2019;289;0,0000032;
февраль 2019;407;0,0000048;
март 2019;658;0,0000074;
апрель 2019;1 096;0,0000132;
май 2019;1 276;0,0000161;
июнь 2019;1 019;0,0000140;
июль 2019;972;0,0000132;
август 2019;821;0,0000112;
сентябрь 2019;726;0,0000092;
октябрь 2019;491;0,0000055;
ноябрь 2019;362;0,0000040;
декабрь 2019;302;0,0000032;
январь 2020;371;0,0000038;
февраль 2020;482;0,0000052;
март 2020;886;0,0000090;
апрель 2020;1 128;0,0000094;
май 2020;1 598;0,0000149;
июнь 2020;1 201;0,0000134;
июль 2020;1 027;0,0000121;
август 2020;960;0,0000114;
сентябрь 2020;741;0,0000078;
октябрь 2020;642;0,0000059;
ноябрь 2020;418;0,0000036;
декабрь 2020;222;0,0000020;
январь 2021;331;0,0000031;
февраль 2021;366;0,0000036;
март 2021;741;0,0000068;
апрель 2021;1 094;0,0000101;
май 2021;1 310;0,0000126;
июнь 2021;953;0,0000096;
июль 2021;890;0,0000091;
август 2021;877;0,0000087;
сентябрь 2021;705;0,0000065;
октябрь 2021;597;0,0000052;
ноябрь 2021;423;0,0000036;
декабрь 2021;239;0,0000020;
январь 2022;291;0,0000024;
февраль 2022;436;0,0000036;
март 2022;541;0,0000042;
апрель 2022;961;0,0000080;
май 2022;1 272;0,0000106;
июнь 2022;1 073;0,0000100;
июль 2022;1 104;0,0000105;
август 2022;892;0,0000082;
сентябрь 2022;524;0,0000044;
октябрь 2022;452;0,0000036;
ноябрь 2022;304;0,0000024;
декабрь 2022;195;0,0000015;
январь 2023;279;0,0000022;
февраль 2023;320;0,0000028;
март 2023;484;0,0000038;
апрель 2023;852;0,0000073;
май 2023;995;0,0000087;
июнь 2023;749;0,0000073;
июль 2023;707;0,0000070;
август 2023;643;0,0000064;
сентябрь 2023;517;0,0000048;
октябрь 2023;554;0,0000046;
ноябрь 2023;436;0,0000037;
декабрь 2023;143;0,0000011;
январь 2024;242;0,0000020;
февраль 2024;274;0,0000024;
март 2024;492;0,0000042;
апрель 2024;969;0,0000089;
май 2024;1 100;0,0000103;
июнь 2024;872;0,0000093;
июль 2024;734;0,0000078;
август 2024;602;0,0000064;
сентябрь 2024;628;0,0000063;
октябрь 2024;495;0,0000044;
ноябрь 2024;285;0,0000024;
декабрь 2024;222;0,0000018;
январь 2025;244;0,0000020;
февраль 2025;406;0,0000035;
март 2025;600;0,0000050;
апрель 2025;759;0,0000066;
май 2025;895;0,0000083;
июнь 2025;741;0,0000070;
