Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Профнастил», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;250 187;0,0032;
февраль 2018;300 913;0,0038;
март 2018;410 745;0,0048;
апрель 2018;622 947;0,0082;
май 2018;812 823;0,0108;
июнь 2018;737 839;0,0106;
июль 2018;756 822;0,0108;
август 2018;812 155;0,0115;
сентябрь 2018;598 980;0,0075;
октябрь 2018;671 572;0,0072;
ноябрь 2018;347 669;0,0040;
декабрь 2018;203 775;0,0023;
январь 2019;249 937;0,0028;
февраль 2019;300 845;0,0035;
март 2019;459 588;0,0052;
апрель 2019;658 462;0,0079;
май 2019;739 854;0,0093;
июнь 2019;660 933;0,0091;
июль 2019;672 355;0,0091;
август 2019;594 861;0,0081;
сентябрь 2019;541 140;0,0068;
октябрь 2019;493 404;0,0055;
ноябрь 2019;348 284;0,0039;
декабрь 2019;341 255;0,0036;
январь 2020;398 200;0,0040;
февраль 2020;391 867;0,0042;
март 2020;537 707;0,0054;
апрель 2020;736 488;0,0061;
май 2020;1 094 643;0,0102;
июнь 2020;976 034;0,0109;
июль 2020;859 393;0,0102;
август 2020;775 370;0,0092;
сентябрь 2020;693 813;0,0073;
октябрь 2020;629 082;0,0058;
ноябрь 2020;464 703;0,0040;
декабрь 2020;336 246;0,0030;
январь 2021;357 277;0,0034;
февраль 2021;380 939;0,0038;
март 2021;532 717;0,0048;
апрель 2021;908 153;0,0084;
май 2021;1 008 637;0,0097;
июнь 2021;975 607;0,0098;
июль 2021;898 495;0,0092;
август 2021;848 947;0,0084;
сентябрь 2021;685 342;0,0063;
октябрь 2021;591 897;0,0052;
ноябрь 2021;447 026;0,0038;
декабрь 2021;329 112;0,0027;
январь 2022;352 728;0,0029;
февраль 2022;398 480;0,0033;
март 2022;580 710;0,0045;
апрель 2022;728 906;0,0060;
май 2022;913 791;0,0076;
июнь 2022;847 113;0,0079;
июль 2022;813 962;0,0078;
август 2022;791 602;0,0073;
сентябрь 2022;617 009;0,0052;
октябрь 2022;503 115;0,0040;
ноябрь 2022;365 578;0,0028;
декабрь 2022;235 340;0,0018;
январь 2023;275 488;0,0022;
февраль 2023;325 340;0,0028;
март 2023;521 824;0,0041;
апрель 2023;730 923;0,0063;
май 2023;811 714;0,0071;
июнь 2023;745 336;0,0072;
июль 2023;750 905;0,0074;
август 2023;754 015;0,0075;
сентябрь 2023;650 806;0,0060;
октябрь 2023;568 236;0,0047;
ноябрь 2023;397 700;0,0033;
декабрь 2023;218 917;0,0018;
январь 2024;240 118;0,0019;
февраль 2024;321 166;0,0028;
март 2024;444 184;0,0038;
апрель 2024;684 136;0,0063;
май 2024;752 905;0,0070;
июнь 2024;663 235;0,0071;
июль 2024;684 281;0,0073;
август 2024;650 163;0,0069;
сентябрь 2024;580 628;0,0058;
октябрь 2024;496 742;0,0044;
ноябрь 2024;362 781;0,0031;
декабрь 2024;277 065;0,0023;
январь 2025;287 273;0,0024;
февраль 2025;315 898;0,0027;
март 2025;455 576;0,0038;
апрель 2025;586 556;0,0051;
май 2025;658 914;0,0061;
июнь 2025;723 844;0,0068;
