Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Реечный потолок», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;48 556;0,00062;
февраль 2018;50 491;0,00065;
март 2018;58 020;0,00069;
апрель 2018;62 151;0,00082;
май 2018;45 385;0,00060;
июнь 2018;50 495;0,00072;
июль 2018;53 696;0,00076;
август 2018;55 842;0,00079;
сентябрь 2018;52 461;0,00066;
октябрь 2018;66 082;0,00071;
ноябрь 2018;56 869;0,00066;
декабрь 2018;49 933;0,00058;
январь 2019;50 642;0,00057;
февраль 2019;51 983;0,00061;
март 2019;70 712;0,00080;
апрель 2019;50 483;0,00061;
май 2019;44 343;0,00056;
июнь 2019;46 053;0,00063;
июль 2019;53 180;0,00072;
август 2019;49 919;0,00068;
сентябрь 2019;45 599;0,00057;
октябрь 2019;51 911;0,00058;
ноябрь 2019;54 368;0,00061;
декабрь 2019;67 391;0,00072;
январь 2020;63 501;0,00065;
февраль 2020;58 710;0,00063;
март 2020;50 745;0,00051;
апрель 2020;47 842;0,00040;
май 2020;50 653;0,00047;
июнь 2020;51 909;0,00058;
июль 2020;56 551;0,00067;
август 2020;53 030;0,00063;
сентябрь 2020;52 001;0,00054;
октябрь 2020;56 968;0,00052;
ноябрь 2020;61 684;0,00053;
декабрь 2020;55 240;0,00049;
январь 2021;56 196;0,00053;
февраль 2021;51 843;0,00051;
март 2021;55 554;0,00051;
апрель 2021;51 797;0,00048;
май 2021;46 843;0,00045;
июнь 2021;48 561;0,00048;
июль 2021;51 427;0,00053;
август 2021;56 255;0,00056;
сентябрь 2021;52 418;0,00048;
октябрь 2021;53 099;0,00046;
ноябрь 2021;56 496;0,00048;
декабрь 2021;52 956;0,00044;
январь 2022;53 502;0,00044;
февраль 2022;52 237;0,00044;
март 2022;54 348;0,00042;
апрель 2022;51 682;0,00043;
май 2022;45 132;0,00037;
июнь 2022;45 161;0,00042;
июль 2022;46 378;0,00044;
август 2022;49 090;0,00045;
сентябрь 2022;43 495;0,00037;
октябрь 2022;46 081;0,00037;
ноябрь 2022;49 141;0,00038;
декабрь 2022;42 711;0,00033;
январь 2023;43 869;0,00035;
февраль 2023;45 609;0,00039;
март 2023;50 483;0,00040;
апрель 2023;41 336;0,00035;
май 2023;40 436;0,00035;
июнь 2023;42 080;0,00041;
июль 2023;45 141;0,00044;
август 2023;45 724;0,00045;
сентябрь 2023;40 759;0,00037;
октябрь 2023;47 335;0,00039;
ноябрь 2023;48 055;0,00040;
декабрь 2023;39 662;0,00033;
январь 2024;42 308;0,00035;
февраль 2024;46 619;0,00041;
март 2024;45 980;0,00039;
апрель 2024;41 090;0,00037;
май 2024;39 299;0,00036;
июнь 2024;37 643;0,00040;
июль 2024;42 083;0,00045;
август 2024;40 502;0,00043;
сентябрь 2024;38 081;0,00038;
октябрь 2024;44 161;0,00039;
ноябрь 2024;47 995;0,00041;
декабрь 2024;45 031;0,00037;
январь 2025;47 673;0,00040;
февраль 2025;47 605;0,00041;
март 2025;47 148;0,00039;
апрель 2025;42 516;0,00037;
май 2025;38 984;0,00036;
июнь 2025;45 082;0,00042;
