Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Потолки грильято», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;16 173;0,00020;
февраль 2018;19 587;0,00025;
март 2018;23 388;0,00027;
апрель 2018;27 546;0,00036;
май 2018;17 231;0,00022;
июнь 2018;17 700;0,00025;
июль 2018;19 679;0,00028;
август 2018;19 886;0,00028;
сентябрь 2018;20 496;0,00025;
октябрь 2018;28 880;0,00031;
ноябрь 2018;23 562;0,00027;
декабрь 2018;20 154;0,00023;
январь 2019;19 905;0,00022;
февраль 2019;22 584;0,00026;
март 2019;25 580;0,00029;
апрель 2019;24 372;0,00029;
май 2019;19 385;0,00024;
июнь 2019;18 343;0,00025;
июль 2019;20 971;0,00028;
август 2019;20 164;0,00027;
сентябрь 2019;20 880;0,00026;
октябрь 2019;23 241;0,00026;
ноябрь 2019;24 733;0,00027;
декабрь 2019;41 827;0,00045;
январь 2020;32 868;0,00033;
февраль 2020;29 113;0,00031;
март 2020;22 111;0,00022;
апрель 2020;15 531;0,00013;
май 2020;18 148;0,00016;
июнь 2020;19 615;0,00021;
июль 2020;20 166;0,00023;
август 2020;20 174;0,00024;
сентябрь 2020;23 421;0,00024;
октябрь 2020;22 409;0,00020;
ноябрь 2020;24 677;0,00021;
декабрь 2020;22 747;0,00020;
январь 2021;21 918;0,00020;
февраль 2021;22 471;0,00022;
март 2021;25 344;0,00023;
апрель 2021;24 653;0,00022;
май 2021;22 633;0,00021;
июнь 2021;24 718;0,00024;
июль 2021;23 410;0,00024;
август 2021;25 463;0,00025;
сентябрь 2021;24 733;0,00023;
октябрь 2021;24 379;0,00021;
ноябрь 2021;24 857;0,00021;
декабрь 2021;24 081;0,00020;
январь 2022;22 440;0,00018;
февраль 2022;24 222;0,00020;
март 2022;22 986;0,00018;
апрель 2022;21 722;0,00018;
май 2022;18 660;0,00015;
июнь 2022;20 329;0,00018;
июль 2022;20 743;0,00019;
август 2022;22 942;0,00021;
сентябрь 2022;21 370;0,00018;
октябрь 2022;21 527;0,00017;
ноябрь 2022;23 303;0,00018;
декабрь 2022;19 799;0,00015;
январь 2023;19 796;0,00016;
февраль 2023;21 793;0,00019;
март 2023;25 188;0,00020;
апрель 2023;21 756;0,00018;
май 2023;20 722;0,00018;
июнь 2023;21 997;0,00021;
июль 2023;22 692;0,00022;
август 2023;24 328;0,00024;
сентябрь 2023;22 503;0,00020;
октябрь 2023;25 313;0,00021;
ноябрь 2023;25 346;0,00021;
декабрь 2023;22 098;0,00018;
январь 2024;22 963;0,00019;
февраль 2024;26 202;0,00023;
март 2024;25 177;0,00021;
апрель 2024;24 000;0,00022;
май 2024;22 425;0,00021;
июнь 2024;20 836;0,00022;
июль 2024;23 443;0,00025;
август 2024;22 146;0,00023;
сентябрь 2024;21 622;0,00021;
октябрь 2024;25 859;0,00023;
ноябрь 2024;27 563;0,00023;
декабрь 2024;25 515;0,00021;
январь 2025;25 627;0,00021;
февраль 2025;28 598;0,00025;
март 2025;29 013;0,00024;
апрель 2025;25 756;0,00022;
май 2025;22 558;0,00021;
июнь 2025;26 065;0,00024;
