Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Панели ПВХ», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;212 461;0,0027;
февраль 2018;204 898;0,0026;
март 2018;231 176;0,0027;
апрель 2018;194 529;0,0025;
май 2018;203 476;0,0027;
июнь 2018;222 766;0,0032;
июль 2018;248 804;0,0035;
август 2018;247 343;0,0035;
сентябрь 2018;234 887;0,0029;
октябрь 2018;270 653;0,0029;
ноябрь 2018;248 579;0,0029;
декабрь 2018;200 147;0,0023;
январь 2019;218 700;0,0024;
февраль 2019;215 281;0,0025;
март 2019;241 681;0,0027;
апрель 2019;215 500;0,0026;
май 2019;202 910;0,0025;
июнь 2019;212 247;0,0029;
июль 2019;253 947;0,0034;
август 2019;240 520;0,0033;
сентябрь 2019;215 231;0,0027;
октябрь 2019;244 795;0,0027;
ноябрь 2019;242 260;0,0027;
декабрь 2019;222 735;0,0024;
январь 2020;255 279;0,0026;
февраль 2020;242 189;0,0026;
март 2020;238 121;0,0024;
апрель 2020;250 358;0,0020;
май 2020;302 782;0,0028;
июнь 2020;309 016;0,0034;
июль 2020;311 619;0,0036;
август 2020;299 262;0,0035;
сентябрь 2020;269 429;0,0028;
октябрь 2020;297 627;0,0027;
ноябрь 2020;307 406;0,0026;
декабрь 2020;255 435;0,0023;
январь 2021;267 743;0,0025;
февраль 2021;241 502;0,0024;
март 2021;270 206;0,0024;
апрель 2021;275 068;0,0025;
май 2021;257 570;0,0024;
июнь 2021;279 471;0,0028;
июль 2021;305 721;0,0031;
август 2021;334 955;0,0033;
сентябрь 2021;306 622;0,0028;
октябрь 2021;304 329;0,0026;
ноябрь 2021;315 786;0,0027;
декабрь 2021;257 868;0,0021;
январь 2022;273 556;0,0022;
февраль 2022;247 751;0,0020;
март 2022;284 764;0,0022;
апрель 2022;277 815;0,0023;
май 2022;279 497;0,0023;
июнь 2022;273 302;0,0025;
июль 2022;287 629;0,0027;
август 2022;283 544;0,0026;
сентябрь 2022;236 195;0,0020;
октябрь 2022;251 555;0,0020;
ноябрь 2022;266 876;0,0021;
декабрь 2022;211 980;0,0016;
январь 2023;229 847;0,0018;
февраль 2023;235 675;0,0020;
март 2023;262 978;0,0021;
апрель 2023;225 239;0,0019;
май 2023;229 327;0,0020;
июнь 2023;247 486;0,0024;
июль 2023;281 422;0,0027;
август 2023;258 328;0,0025;
сентябрь 2023;238 456;0,0022;
октябрь 2023;266 335;0,0022;
ноябрь 2023;264 932;0,0022;
декабрь 2023;200 272;0,0016;
январь 2024;212 580;0,0017;
февраль 2024;215 678;0,0019;
март 2024;226 562;0,0019;
апрель 2024;217 464;0,0020;
май 2024;210 533;0,0019;
июнь 2024;207 272;0,0022;
июль 2024;229 549;0,0024;
август 2024;232 712;0,0024;
сентябрь 2024;206 842;0,0020;
октябрь 2024;224 957;0,0020;
ноябрь 2024;234 374;0,0020;
декабрь 2024;203 375;0,0016;
январь 2025;219 891;0,0018;
февраль 2025;214 905;0,0018;
март 2025;220 373;0,0018;
апрель 2025;206 375;0,0018;
май 2025;199 570;0,0018;
июнь 2025;231 201;0,0021;
