Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Полимерпесчаная плитка», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;2 314;0,000029;
февраль 2018;2 903;0,000037;
март 2018;3 530;0,000041;
апрель 2018;6 779;0,000089;
май 2018;9 379;0,000124;
июнь 2018;8 338;0,000120;
июль 2018;7 853;0,000112;
август 2018;7 275;0,000103;
сентябрь 2018;5 995;0,000075;
октябрь 2018;4 756;0,000051;
ноябрь 2018;2 500;0,000029;
декабрь 2018;1 556;0,000018;
январь 2019;3 261;0,000037;
февраль 2019;3 841;0,000045;
март 2019;5 638;0,000064;
апрель 2019;9 485;0,000114;
май 2019;9 761;0,000123;
июнь 2019;8 484;0,000117;
июль 2019;8 100;0,000110;
август 2019;6 564;0,000090;
сентябрь 2019;5 675;0,000072;
октябрь 2019;4 907;0,000055;
ноябрь 2019;3 121;0,000035;
декабрь 2019;2 619;0,000028;
январь 2020;3 441;0,000035;
февраль 2020;4 181;0,000045;
март 2020;6 731;0,000068;
апрель 2020;9 517;0,000079;
май 2020;16 424;0,000153;
июнь 2020;14 755;0,000165;
июль 2020;11 359;0,000134;
август 2020;8 967;0,000106;
сентябрь 2020;8 244;0,000086;
октябрь 2020;5 378;0,000049;
ноябрь 2020;3 960;0,000034;
декабрь 2020;2 343;0,000021;
январь 2021;2 526;0,000024;
февраль 2021;3 326;0,000033;
март 2021;4 948;0,000045;
апрель 2021;12 306;0,000114;
май 2021;15 664;0,000151;
июнь 2021;13 548;0,000136;
июль 2021;10 270;0,000105;
август 2021;9 252;0,000092;
сентябрь 2021;6 746;0,000062;
октябрь 2021;5 642;0,000049;
ноябрь 2021;4 113;0,000035;
декабрь 2021;2 764;0,000023;
январь 2022;2 595;0,000021;
февраль 2022;3 355;0,000028;
март 2022;8 023;0,000062;
апрель 2022;11 872;0,000099;
май 2022;15 295;0,000128;
июнь 2022;12 595;0,000117;
июль 2022;11 091;0,000106;
август 2022;10 460;0,000097;
сентябрь 2022;5 989;0,000051;
октябрь 2022;4 657;0,000037;
ноябрь 2022;3 416;0,000027;
декабрь 2022;2 146;0,000017;
январь 2023;2 618;0,000021;
февраль 2023;3 269;0,000028;
март 2023;7 275;0,000058;
апрель 2023;11 725;0,000101;
май 2023;13 836;0,000122;
июнь 2023;11 434;0,000111;
июль 2023;9 984;0,000098;
август 2023;8 878;0,000088;
сентябрь 2023;7 571;0,000070;
октябрь 2023;5 251;0,000044;
ноябрь 2023;3 313;0,000028;
декабрь 2023;1 809;0,000015;
январь 2024;2 299;0,000019;
февраль 2024;3 422;0,000030;
март 2024;5 648;0,000048;
апрель 2024;15 481;0,000142;
май 2024;13 797;0,000129;
июнь 2024;11 229;0,000120;
июль 2024;9 889;0,000106;
август 2024;8 055;0,000086;
сентябрь 2024;7 232;0,000072;
октябрь 2024;4 975;0,000044;
ноябрь 2024;2 808;0,000024;
декабрь 2024;1 730;0,000014;
январь 2025;2 840;0,000023;
февраль 2025;3 185;0,000027;
март 2025;7 059;0,000058;
апрель 2025;9 969;0,000087;
май 2025;10 655;0,000099;
июнь 2025;10 826;0,000102;
