Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Инфракрасные обогреватели», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;152 195;0,00195;
февраль 2018;115 843;0,00149;
март 2018;108 396;0,00128;
апрель 2018;84 750;0,00111;
май 2018;70 094;0,00093;
июнь 2018;67 675;0,00097;
июль 2018;59 206;0,00084;
август 2018;80 304;0,00113;
сентябрь 2018;168 417;0,00212;
октябрь 2018;221 751;0,00240;
ноябрь 2018;237 715;0,00279;
декабрь 2018;188 355;0,00220;
январь 2019;142 665;0,00162;
февраль 2019;104 050;0,00124;
март 2019;82 950;0,00094;
апрель 2019;72 748;0,00088;
май 2019;58 783;0,00074;
июнь 2019;39 051;0,00053;
июль 2019;54 831;0,00074;
август 2019;86 016;0,00118;
сентябрь 2019;180 909;0,00229;
октябрь 2019;165 059;0,00186;
ноябрь 2019;213 816;0,00240;
декабрь 2019;142 840;0,00153;
январь 2020;113 431;0,00116;
февраль 2020;97 520;0,00106;
март 2020;84 601;0,00086;
апрель 2020;100 126;0,00083;
май 2020;109 178;0,00101;
июнь 2020;56 181;0,00062;
июль 2020;49 130;0,00058;
август 2020;84 948;0,00101;
сентябрь 2020;168 476;0,00177;
октябрь 2020;199 117;0,00185;
ноябрь 2020;257 422;0,00224;
декабрь 2020;246 220;0,00222;
январь 2021;183 555;0,00175;
февраль 2021;140 116;0,00140;
март 2021;93 649;0,00086;
апрель 2021;92 454;0,00085;
май 2021;68 944;0,00066;
июнь 2021;46 376;0,00046;
июль 2021;49 181;0,00050;
август 2021;97 649;0,00097;
сентябрь 2021;265 436;0,00247;
октябрь 2021;198 796;0,00174;
ноябрь 2021;215 887;0,00186;
декабрь 2021;236 387;0,00199;
январь 2022;148 395;0,00124;
февраль 2022;91 175;0,00077;
март 2022;94 698;0,00074;
апрель 2022;87 745;0,00073;
май 2022;104 287;0,00087;
июнь 2022;50 108;0,00046;
июль 2022;46 115;0,00044;
август 2022;71 523;0,00066;
сентябрь 2022;192 763;0,00164;
октябрь 2022;158 028;0,00127;
ноябрь 2022;224 351;0,00177;
декабрь 2022;182 656;0,00145;
январь 2023;133 044;0,00107;
февраль 2023;82 986;0,00072;
март 2023;69 326;0,00055;
апрель 2023;62 945;0,00054;
май 2023;73 365;0,00064;
июнь 2023;58 394;0,00056;
июль 2023;43 075;0,00042;
август 2023;78 048;0,00077;
сентябрь 2023;134 677;0,00125;
октябрь 2023;230 789;0,00193;
ноябрь 2023;201 244;0,00171;
декабрь 2023;197 929;0,00165;
январь 2024;168 385;0,00139;
февраль 2024;89 811;0,00079;
март 2024;64 665;0,00056;
апрель 2024;54 147;0,00049;
май 2024;79 806;0,00074;
июнь 2024;34 494;0,00036;
июль 2024;36 617;0,00039;
август 2024;57 187;0,00061;
сентябрь 2024;97 776;0,00098;
октябрь 2024;155 271;0,00138;
ноябрь 2024;156 494;0,00134;
декабрь 2024;137 021;0,00114;
январь 2025;82 563;0,00069;
февраль 2025;78 837;0,00069;
март 2025;56 583;0,00047;
апрель 2025;52 716;0,00046;
май 2025;55 256;0,00051;
июнь 2025;36 187;0,00034;
