Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Вентиляторы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 156 262;0,014;
февраль 2018;1 156 007;0,014;
март 2018;1 289 967;0,015;
апрель 2018;1 339 053;0,017;
май 2018;1 559 549;0,020;
июнь 2018;1 671 744;0,024;
июль 2018;2 088 254;0,029;
август 2018;1 551 977;0,021;
сентябрь 2018;1 235 771;0,015;
октябрь 2018;1 414 713;0,015;
ноябрь 2018;1 310 639;0,015;
декабрь 2018;1 257 263;0,014;
январь 2019;1 307 601;0,014;
февраль 2019;1 277 414;0,015;
март 2019;1 374 622;0,015;
апрель 2019;1 472 632;0,017;
май 2019;1 693 724;0,021;
июнь 2019;2 311 755;0,031;
июль 2019;1 580 241;0,021;
август 2019;1 373 891;0,018;
сентябрь 2019;1 223 120;0,015;
октябрь 2019;1 317 188;0,014;
ноябрь 2019;1 362 773;0,015;
декабрь 2019;1 348 901;0,014;
январь 2020;1 389 072;0,014;
февраль 2020;1 366 944;0,014;
март 2020;1 394 465;0,014;
апрель 2020;1 368 701;0,011;
май 2020;1 768 939;0,016;
июнь 2020;2 682 551;0,030;
июль 2020;3 105 449;0,036;
август 2020;1 604 259;0,019;
сентябрь 2020;1 453 155;0,015;
октябрь 2020;1 515 712;0,014;
ноябрь 2020;1 633 609;0,014;
декабрь 2020;1 666 467;0,015;
январь 2021;1 663 840;0,015;
февраль 2021;1 640 664;0,016;
март 2021;1 775 500;0,016;
апрель 2021;1 906 192;0,017;
май 2021;2 413 832;0,023;
июнь 2021;5 520 358;0,055;
июль 2021;5 152 249;0,053;
август 2021;2 508 333;0,025;
сентябрь 2021;1 882 257;0,017;
октябрь 2021;1 738 515;0,015;
ноябрь 2021;1 887 541;0,016;
декабрь 2021;1 983 380;0,016;
январь 2022;1 928 931;0,016;
февраль 2022;1 800 194;0,015;
март 2022;2 141 225;0,016;
апрель 2022;2 294 183;0,019;
май 2022;2 370 295;0,019;
июнь 2022;3 434 980;0,032;
июль 2022;3 327 912;0,031;
август 2022;2 926 200;0,027;
сентябрь 2022;1 894 183;0,016;
октябрь 2022;1 853 673;0,014;
ноябрь 2022;2 119 756;0,016;
декабрь 2022;2 061 761;0,016;
январь 2023;2 089 911;0,016;
февраль 2023;1 829 055;0,016;
март 2023;2 163 025;0,017;
апрель 2023;2 222 278;0,019;
май 2023;2 635 690;0,023;
июнь 2023;2 969 213;0,028;
июль 2023;3 221 870;0,031;
август 2023;3 074 468;0,030;
сентябрь 2023;1 918 067;0,017;
октябрь 2023;2 095 714;0,017;
ноябрь 2023;2 100 468;0,017;
декабрь 2023;2 102 770;0,017;
январь 2024;2 190 042;0,018;
февраль 2024;2 015 665;0,017;
март 2024;2 117 745;0,018;
апрель 2024;2 444 044;0,022;
май 2024;2 540 610;0,023;
июнь 2024;3 954 044;0,042;
июль 2024;4 672 098;0,050;
август 2024;2 225 045;0,023;
сентябрь 2024;1 893 332;0,019;
октябрь 2024;2 011 661;0,017;
ноябрь 2024;2 091 647;0,017;
декабрь 2024;2 130 441;0,017;
январь 2025;2 063 743;0,017;
февраль 2025;2 068 272;0,018;
март 2025;2 253 999;0,018;
апрель 2025;2 512 670;0,022;
май 2025;2 563 111;0,024;
июнь 2025;3 271 403;0,030;
