Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Кондиционеры», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 025 654;0,013;
февраль 2018;1 074 441;0,013;
март 2018;1 429 533;0,017;
апрель 2018;2 145 990;0,028;
май 2018;3 620 403;0,048;
июнь 2018;4 186 032;0,060;
июль 2018;5 278 817;0,075;
август 2018;2 886 688;0,040;
сентябрь 2018;1 570 707;0,019;
октябрь 2018;1 612 182;0,017;
ноябрь 2018;1 293 969;0,015;
декабрь 2018;1 084 651;0,012;
январь 2019;1 168 909;0,013;
февраль 2019;1 294 469;0,015;
март 2019;1 802 789;0,020;
апрель 2019;2 698 156;0,032;
май 2019;4 132 208;0,052;
июнь 2019;6 697 025;0,092;
июль 2019;3 225 005;0,043;
август 2019;2 205 865;0,030;
сентябрь 2019;1 699 607;0,021;
октябрь 2019;1 461 518;0,016;
ноябрь 2019;1 359 565;0,015;
декабрь 2019;1 335 522;0,014;
январь 2020;1 487 648;0,015;
февраль 2020;1 486 945;0,016;
март 2020;1 868 792;0,019;
апрель 2020;1 922 320;0,016;
май 2020;3 787 681;0,035;
июнь 2020;7 478 341;0,083;
июль 2020;8 016 244;0,095;
август 2020;2 631 917;0,031;
сентябрь 2020;1 891 267;0,019;
октябрь 2020;1 559 119;0,014;
ноябрь 2020;1 582 404;0,013;
декабрь 2020;1 451 793;0,013;
январь 2021;1 508 726;0,014;
февраль 2021;1 565 573;0,015;
март 2021;2 135 265;0,019;
апрель 2021;3 297 290;0,030;
май 2021;6 205 533;0,060;
июнь 2021;13 798 136;0,139;
июль 2021;13 017 823;0,134;
август 2021;5 576 447;0,055;
сентябрь 2021;3 179 482;0,029;
октябрь 2021;2 369 925;0,020;
ноябрь 2021;2 149 535;0,018;
декабрь 2021;2 109 676;0,017;
январь 2022;2 254 044;0,018;
февраль 2022;2 666 276;0,022;
март 2022;4 049 751;0,031;
апрель 2022;4 540 883;0,037;
май 2022;5 353 688;0,044;
июнь 2022;9 937 079;0,092;
июль 2022;9 211 938;0,088;
август 2022;7 585 737;0,070;
сентябрь 2022;3 163 930;0,027;
октябрь 2022;2 191 694;0,017;
ноябрь 2022;2 143 526;0,016;
декабрь 2022;1 943 865;0,015;
январь 2023;2 137 065;0,017;
февраль 2023;2 100 676;0,018;
март 2023;3 178 947;0,025;
апрель 2023;4 809 182;0,041;
май 2023;7 675 570;0,067;
июнь 2023;8 540 633;0,083;
июль 2023;9 816 022;0,097;
август 2023;9 077 475;0,090;
сентябрь 2023;3 080 527;0,028;
октябрь 2023;2 547 123;0,021;
ноябрь 2023;2 097 568;0,017;
декабрь 2023;1 904 209;0,015;
январь 2024;2 142 529;0,017;
февраль 2024;2 419 757;0,021;
март 2024;3 307 488;0,028;
апрель 2024;5 734 197;0,052;
май 2024;6 670 091;0,062;
июнь 2024;12 140 909;0,130;
июль 2024;13 662 357;0,146;
август 2024;4 303 839;0,046;
сентябрь 2024;2 944 996;0,029;
октябрь 2024;2 680 728;0,023;
ноябрь 2024;2 303 720;0,019;
декабрь 2024;2 217 784;0,018;
январь 2025;2 393 373;0,020;
февраль 2025;2 692 197;0,023;
март 2025;3 768 922;0,031;
апрель 2025;5 909 669;0,051;
май 2025;6 831 592;0,063;
июнь 2025;9 276 825;0,087;
