Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Печи отопительные, камины», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;43 876;0,00056;
февраль 2018;39 743;0,00051;
март 2018;42 087;0,00050;
апрель 2018;34 492;0,00045;
май 2018;30 250;0,00040;
июнь 2018;30 765;0,00044;
июль 2018;29 715;0,00042;
август 2018;35 018;0,00049;
сентябрь 2018;42 014;0,00053;
октябрь 2018;49 647;0,00053;
ноябрь 2018;42 590;0,00050;
декабрь 2018;35 937;0,00042;
январь 2019;36 671;0,00041;
февраль 2019;31 524;0,00037;
март 2019;31 285;0,00035;
апрель 2019;26 888;0,00032;
май 2019;25 885;0,00032;
июнь 2019;27 348;0,00037;
июль 2019;32 279;0,00043;
август 2019;35 077;0,00048;
сентябрь 2019;40 655;0,00051;
октябрь 2019;40 270;0,00045;
ноябрь 2019;40 393;0,00045;
декабрь 2019;35 727;0,00038;
январь 2020;38 567;0,00039;
февраль 2020;32 328;0,00035;
март 2020;33 731;0,00034;
апрель 2020;39 989;0,00033;
май 2020;41 005;0,00038;
июнь 2020;31 291;0,00035;
июль 2020;29 860;0,00035;
август 2020;35 750;0,00042;
сентябрь 2020;41 684;0,00043;
октябрь 2020;48 403;0,00044;
ноябрь 2020;51 676;0,00045;
декабрь 2020;45 554;0,00041;
январь 2021;44 269;0,00042;
февраль 2021;37 520;0,00037;
март 2021;34 687;0,00031;
апрель 2021;34 132;0,00031;
май 2021;29 048;0,00028;
июнь 2021;28 189;0,00028;
июль 2021;29 156;0,00030;
август 2021;38 156;0,00038;
сентябрь 2021;49 693;0,00046;
октябрь 2021;47 065;0,00041;
ноябрь 2021;46 578;0,00040;
декабрь 2021;41 580;0,00035;
январь 2022;41 349;0,00034;
февраль 2022;31 664;0,00026;
март 2022;41 425;0,00032;
апрель 2022;33 890;0,00028;
май 2022;32 821;0,00027;
июнь 2022;27 226;0,00025;
июль 2022;27 992;0,00026;
август 2022;33 462;0,00031;
сентябрь 2022;49 589;0,00042;
октябрь 2022;52 921;0,00042;
ноябрь 2022;51 774;0,00041;
декабрь 2022;40 985;0,00032;
январь 2023;38 279;0,00031;
февраль 2023;30 581;0,00026;
март 2023;28 526;0,00022;
апрель 2023;25 094;0,00021;
май 2023;24 682;0,00021;
июнь 2023;24 208;0,00023;
июль 2023;25 636;0,00025;
август 2023;29 757;0,00029;
сентябрь 2023;33 023;0,00030;
октябрь 2023;43 112;0,00036;
ноябрь 2023;39 151;0,00033;
декабрь 2023;33 754;0,00028;
январь 2024;39 398;0,00032;
февраль 2024;28 590;0,00025;
март 2024;26 090;0,00022;
апрель 2024;23 348;0,00021;
май 2024;26 053;0,00024;
июнь 2024;19 307;0,00020;
июль 2024;20 893;0,00022;
август 2024;26 977;0,00028;
сентябрь 2024;31 039;0,00031;
октябрь 2024;40 071;0,00035;
ноябрь 2024;39 787;0,00034;
декабрь 2024;34 118;0,00028;
январь 2025;32 370;0,00027;
февраль 2025;29 301;0,00025;
март 2025;25 409;0,00021;
апрель 2025;21 762;0,00019;
май 2025;21 214;0,00019;
июнь 2025;21 437;0,00020;
