Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Электрические проточные водонагреватели», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;23 567;0,00030;
февраль 2018;22 108;0,00028;
март 2018;25 361;0,00030;
апрель 2018;30 769;0,00040;
май 2018;79 080;0,00105;
июнь 2018;68 959;0,00099;
июль 2018;61 462;0,00087;
август 2018;39 712;0,00056;
сентябрь 2018;25 340;0,00031;
октябрь 2018;27 580;0,00029;
ноябрь 2018;24 507;0,00028;
декабрь 2018;22 205;0,00025;
январь 2019;22 996;0,00026;
февраль 2019;22 721;0,00027;
март 2019;27 192;0,00030;
апрель 2019;37 677;0,00045;
май 2019;87 119;0,00110;
июнь 2019;74 415;0,00102;
июль 2019;64 013;0,00087;
август 2019;37 104;0,00051;
сентябрь 2019;25 385;0,00032;
октябрь 2019;22 648;0,00025;
ноябрь 2019;23 244;0,00026;
декабрь 2019;24 915;0,00026;
январь 2020;30 764;0,00031;
февраль 2020;26 541;0,00028;
март 2020;29 142;0,00029;
апрель 2020;29 148;0,00024;
май 2020;69 309;0,00064;
июнь 2020;73 361;0,00082;
июль 2020;86 491;0,00102;
август 2020;51 710;0,00061;
сентябрь 2020;27 933;0,00029;
октябрь 2020;27 988;0,00026;
ноябрь 2020;32 119;0,00028;
декабрь 2020;32 765;0,00029;
январь 2021;31 050;0,00029;
февраль 2021;29 250;0,00029;
март 2021;33 687;0,00030;
апрель 2021;41 622;0,00038;
май 2021;93 953;0,00091;
июнь 2021;93 731;0,00094;
июль 2021;73 982;0,00076;
август 2021;53 159;0,00053;
сентябрь 2021;36 068;0,00033;
октябрь 2021;28 674;0,00025;
ноябрь 2021;28 061;0,00024;
декабрь 2021;26 746;0,00022;
январь 2022;28 423;0,00023;
февраль 2022;27 028;0,00022;
март 2022;40 358;0,00031;
апрель 2022;40 471;0,00033;
май 2022;109 556;0,00091;
июнь 2022;96 443;0,00089;
июль 2022;71 303;0,00068;
август 2022;42 196;0,00039;
сентябрь 2022;25 433;0,00021;
октябрь 2022;21 473;0,00017;
ноябрь 2022;23 752;0,00018;
декабрь 2022;22 024;0,00017;
январь 2023;22 965;0,00018;
февраль 2023;23 760;0,00020;
март 2023;27 908;0,00022;
апрель 2023;35 541;0,00030;
май 2023;91 248;0,00080;
июнь 2023;88 974;0,00086;
июль 2023;72 150;0,00071;
август 2023;42 079;0,00041;
сентябрь 2023;28 426;0,00026;
октябрь 2023;35 223;0,00029;
ноябрь 2023;29 081;0,00024;
декабрь 2023;24 989;0,00020;
январь 2024;27 707;0,00022;
февраль 2024;27 419;0,00024;
март 2024;26 306;0,00022;
апрель 2024;37 467;0,00034;
май 2024;89 102;0,00083;
июнь 2024;80 710;0,00086;
июль 2024;68 156;0,00073;
август 2024;39 220;0,00041;
сентябрь 2024;22 915;0,00023;
октябрь 2024;21 913;0,00019;
ноябрь 2024;21 339;0,00018;
декабрь 2024;20 305;0,00016;
январь 2025;20 260;0,00017;
февраль 2025;21 275;0,00018;
март 2025;23 110;0,00019;
апрель 2025;28 997;0,00025;
май 2025;83 669;0,00078;
июнь 2025;85 461;0,00080;
