Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Бойлеры косвенного нагрева», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;41 758;0,00053;
февраль 2018;39 471;0,00050;
март 2018;43 542;0,00051;
апрель 2018;36 288;0,00047;
май 2018;39 276;0,00052;
июнь 2018;39 067;0,00056;
июль 2018;42 043;0,00060;
август 2018;49 100;0,00069;
сентябрь 2018;55 131;0,00069;
октябрь 2018;67 108;0,00072;
ноябрь 2018;58 295;0,00068;
декабрь 2018;52 946;0,00061;
январь 2019;54 450;0,00061;
февраль 2019;52 334;0,00062;
март 2019;55 038;0,00062;
апрель 2019;49 008;0,00059;
май 2019;46 558;0,00058;
июнь 2019;43 049;0,00059;
июль 2019;49 461;0,00067;
август 2019;60 516;0,00083;
сентябрь 2019;60 019;0,00076;
октябрь 2019;63 731;0,00072;
ноябрь 2019;58 121;0,00065;
декабрь 2019;62 787;0,00067;
январь 2020;65 764;0,00067;
февраль 2020;55 902;0,00060;
март 2020;61 408;0,00062;
апрель 2020;51 769;0,00043;
май 2020;59 121;0,00055;
июнь 2020;56 416;0,00063;
июль 2020;58 217;0,00069;
август 2020;64 760;0,00077;
сентябрь 2020;73 393;0,00077;
октябрь 2020;80 092;0,00074;
ноябрь 2020;82 990;0,00072;
декабрь 2020;78 892;0,00071;
январь 2021;76 217;0,00073;
февраль 2021;73 778;0,00073;
март 2021;74 349;0,00068;
апрель 2021;69 738;0,00064;
май 2021;66 918;0,00064;
июнь 2021;67 736;0,00068;
июль 2021;69 943;0,00072;
август 2021;85 544;0,00085;
сентябрь 2021;98 886;0,00092;
октябрь 2021;88 906;0,00078;
ноябрь 2021;90 366;0,00077;
декабрь 2021;87 413;0,00073;
январь 2022;88 339;0,00074;
февраль 2022;82 189;0,00069;
март 2022;139 094;0,00109;
апрель 2022;96 272;0,00080;
май 2022;90 435;0,00075;
июнь 2022;87 471;0,00081;
июль 2022;81 043;0,00077;
август 2022;88 655;0,00082;
сентябрь 2022;98 906;0,00084;
октябрь 2022;99 539;0,00080;
ноябрь 2022;109 996;0,00087;
декабрь 2022;100 125;0,00079;
январь 2023;110 664;0,00089;
февраль 2023;95 254;0,00083;
март 2023;87 829;0,00070;
апрель 2023;73 542;0,00063;
май 2023;78 271;0,00069;
июнь 2023;78 168;0,00076;
июль 2023;86 541;0,00085;
август 2023;91 017;0,00090;
сентябрь 2023;96 063;0,00089;
октябрь 2023;110 666;0,00092;
ноябрь 2023;100 700;0,00085;
декабрь 2023;88 139;0,00073;
январь 2024;90 992;0,00075;
февраль 2024;85 575;0,00076;
март 2024;81 946;0,00071;
апрель 2024;74 897;0,00069;
май 2024;81 560;0,00076;
июнь 2024;73 719;0,00078;
июль 2024;79 622;0,00085;
август 2024;83 830;0,00089;
сентябрь 2024;90 038;0,00090;
октябрь 2024;107 147;0,00095;
ноябрь 2024;102 417;0,00088;
декабрь 2024;97 005;0,00080;
январь 2025;93 204;0,00078;
февраль 2025;90 432;0,00079;
март 2025;86 099;0,00071;
апрель 2025;80 062;0,00070;
май 2025;79 444;0,00074;
июнь 2025;93 056;0,00088;
