Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Мотопомпы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;55 339;0,00071;
февраль 2018;61 143;0,00078;
март 2018;80 187;0,00095;
апрель 2018;97 395;0,00128;
май 2018;102 923;0,00136;
июнь 2018;111 285;0,00160;
июль 2018;145 773;0,00208;
август 2018;78 584;0,00111;
сентябрь 2018;60 703;0,00076;
октябрь 2018;71 290;0,00077;
ноябрь 2018;52 544;0,00061;
декабрь 2018;42 990;0,00050;
январь 2019;49 471;0,00056;
февраль 2019;61 964;0,00073;
март 2019;78 181;0,00089;
апрель 2019;87 437;0,00105;
май 2019;93 069;0,00117;
июнь 2019;100 462;0,00138;
июль 2019;75 704;0,00102;
август 2019;59 823;0,00082;
сентябрь 2019;53 728;0,00068;
октябрь 2019;54 421;0,00061;
ноябрь 2019;49 894;0,00056;
декабрь 2019;53 728;0,00057;
январь 2020;56 543;0,00058;
февраль 2020;62 253;0,00067;
март 2020;79 870;0,00081;
апрель 2020;86 418;0,00072;
май 2020;127 880;0,00119;
июнь 2020;114 691;0,00128;
июль 2020;96 063;0,00114;
август 2020;69 232;0,00082;
сентябрь 2020;61 761;0,00065;
октябрь 2020;60 703;0,00056;
ноябрь 2020;55 664;0,00048;
декабрь 2020;50 958;0,00046;
январь 2021;51 659;0,00049;
февраль 2021;60 420;0,00060;
март 2021;90 930;0,00083;
апрель 2021;118 848;0,00110;
май 2021;118 031;0,00114;
июнь 2021;136 435;0,00137;
июль 2021;116 330;0,00119;
август 2021;88 669;0,00088;
сентябрь 2021;69 528;0,00064;
октябрь 2021;64 100;0,00056;
ноябрь 2021;67 801;0,00058;
декабрь 2021;58 282;0,00049;
январь 2022;59 592;0,00049;
февраль 2022;76 553;0,00064;
март 2022;92 758;0,00072;
апрель 2022;118 247;0,00098;
май 2022;120 427;0,00100;
июнь 2022;122 870;0,00114;
июль 2022;105 078;0,00100;
август 2022;87 754;0,00081;
сентябрь 2022;64 567;0,00055;
октябрь 2022;60 512;0,00048;
ноябрь 2022;66 571;0,00052;
декабрь 2022;52 271;0,00041;
январь 2023;57 515;0,00046;
февраль 2023;61 698;0,00054;
март 2023;110 307;0,00088;
апрель 2023;102 839;0,00089;
май 2023;135 037;0,00119;
июнь 2023;132 386;0,00129;
июль 2023;89 438;0,00088;
август 2023;77 049;0,00076;
сентябрь 2023;67 313;0,00062;
октябрь 2023;71 781;0,00060;
ноябрь 2023;65 506;0,00055;
декабрь 2023;56 747;0,00047;
январь 2024;62 177;0,00051;
февраль 2024;77 937;0,00069;
март 2024;98 461;0,00085;
апрель 2024;124 973;0,00115;
май 2024;115 648;0,00108;
июнь 2024;107 448;0,00115;
июль 2024;101 029;0,00108;
август 2024;75 185;0,00080;
сентябрь 2024;64 942;0,00065;
октябрь 2024;63 411;0,00056;
ноябрь 2024;60 209;0,00051;
декабрь 2024;56 468;0,00047;
январь 2025;58 886;0,00049;
февраль 2025;64 891;0,00056;
март 2025;86 515;0,00072;
апрель 2025;93 520;0,00082;
май 2025;100 177;0,00093;
июнь 2025;99 845;0,00094;
