Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Скважинные насосы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;30 632;0,00039;
февраль 2018;33 763;0,00043;
март 2018;43 847;0,00052;
апрель 2018;56 347;0,00074;
май 2018;78 153;0,00104;
июнь 2018;72 844;0,00104;
июль 2018;66 711;0,00095;
август 2018;60 662;0,00085;
сентябрь 2018;50 420;0,00063;
октябрь 2018;55 004;0,00059;
ноябрь 2018;41 483;0,00048;
декабрь 2018;33 064;0,00038;
январь 2019;35 858;0,00040;
февраль 2019;39 042;0,00046;
март 2019;49 957;0,00056;
апрель 2019;67 291;0,00081;
май 2019;81 805;0,00103;
июнь 2019;83 009;0,00114;
июль 2019;62 513;0,00085;
август 2019;49 543;0,00068;
сентябрь 2019;48 113;0,00061;
октябрь 2019;51 633;0,00058;
ноябрь 2019;41 444;0,00046;
декабрь 2019;39 482;0,00042;
январь 2020;44 806;0,00046;
февраль 2020;43 690;0,00047;
март 2020;59 538;0,00060;
апрель 2020;85 235;0,00071;
май 2020;117 087;0,00109;
июнь 2020;111 191;0,00124;
июль 2020;97 843;0,00116;
август 2020;74 968;0,00089;
сентябрь 2020;63 662;0,00067;
октябрь 2020;66 239;0,00061;
ноябрь 2020;61 840;0,00053;
декабрь 2020;55 899;0,00050;
январь 2021;62 357;0,00059;
февраль 2021;53 761;0,00053;
март 2021;72 529;0,00066;
апрель 2021;100 616;0,00093;
май 2021;128 248;0,00124;
июнь 2021;137 693;0,00138;
июль 2021;136 033;0,00140;
август 2021;108 767;0,00108;
сентябрь 2021;86 774;0,00081;
октябрь 2021;79 982;0,00070;
ноябрь 2021;69 675;0,00060;
декабрь 2021;58 797;0,00049;
январь 2022;56 572;0,00047;
февраль 2022;60 053;0,00050;
март 2022;109 316;0,00085;
апрель 2022;122 964;0,00102;
май 2022;152 456;0,00127;
июнь 2022;138 457;0,00129;
июль 2022;132 022;0,00126;
август 2022;120 594;0,00111;
сентябрь 2022;83 138;0,00071;
октябрь 2022;75 988;0,00061;
ноябрь 2022;66 821;0,00052;
декабрь 2022;53 358;0,00042;
январь 2023;57 605;0,00046;
февраль 2023;55 270;0,00048;
март 2023;78 176;0,00062;
апрель 2023;107 794;0,00093;
май 2023;142 897;0,00126;
июнь 2023;134 511;0,00131;
июль 2023;111 971;0,00111;
август 2023;99 092;0,00098;
сентябрь 2023;80 798;0,00075;
октябрь 2023;83 031;0,00069;
ноябрь 2023;67 757;0,00057;
декабрь 2023;54 209;0,00045;
январь 2024;58 567;0,00048;
февраль 2024;58 293;0,00051;
март 2024;70 962;0,00061;
апрель 2024;109 428;0,00100;
май 2024;128 229;0,00120;
июнь 2024;122 238;0,00130;
июль 2024;116 938;0,00125;
август 2024;84 486;0,00090;
сентябрь 2024;77 714;0,00078;
октябрь 2024;77 219;0,00068;
ноябрь 2024;65 049;0,00055;
декабрь 2024;56 272;0,00046;
январь 2025;56 288;0,00047;
февраль 2025;56 942;0,00049;
март 2025;80 250;0,00066;
апрель 2025;100 514;0,00088;
май 2025;119 203;0,00111;
июнь 2025;123 918;0,00117;
