Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Трубы из нержавеющей стали и фитинги», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;101;0,00000130;
февраль 2018;115;0,00000148;
март 2018;120;0,00000142;
апрель 2018;90;0,00000118;
май 2018;115;0,00000153;
июнь 2018;136;0,00000196;
июль 2018;81;0,00000115;
август 2018;109;0,00000154;
сентябрь 2018;122;0,00000153;
октябрь 2018;140;0,00000151;
ноябрь 2018;110;0,00000129;
декабрь 2018;85;0,00000099;
январь 2019;128;0,00000145;
февраль 2019;149;0,00000177;
март 2019;131;0,00000149;
апрель 2019;156;0,00000188;
май 2019;93;0,00000117;
июнь 2019;82;0,00000113;
июль 2019;124;0,00000168;
август 2019;184;0,00000253;
сентябрь 2019;139;0,00000176;
октябрь 2019;132;0,00000149;
ноябрь 2019;140;0,00000157;
декабрь 2019;92;0,00000099;
январь 2020;131;0,00000134;
февраль 2020;125;0,00000135;
март 2020;106;0,00000107;
апрель 2020;94;0,00000078;
май 2020;92;0,00000085;
июнь 2020;131;0,00000146;
июль 2020;147;0,00000174;
август 2020;116;0,00000138;
сентябрь 2020;124;0,00000130;
октябрь 2020;172;0,00000159;
ноябрь 2020;134;0,00000116;
декабрь 2020;151;0,00000136;
январь 2021;109;0,00000104;
февраль 2021;115;0,00000115;
март 2021;118;0,00000108;
апрель 2021;141;0,00000130;
май 2021;60;0,00000058;
июнь 2021;109;0,00000109;
июль 2021;91;0,00000093;
август 2021;139;0,00000138;
сентябрь 2021;144;0,00000134;
октябрь 2021;153;0,00000134;
ноябрь 2021;97;0,00000083;
декабрь 2021;114;0,00000096;
январь 2022;155;0,00000130;
февраль 2022;123;0,00000104;
март 2022;104;0,00000081;
апрель 2022;90;0,00000075;
май 2022;89;0,00000074;
июнь 2022;99;0,00000092;
июль 2022;78;0,00000074;
август 2022;96;0,00000089;
сентябрь 2022;100;0,00000085;
октябрь 2022;115;0,00000092;
ноябрь 2022;93;0,00000073;
декабрь 2022;92;0,00000073;
январь 2023;116;0,00000094;
февраль 2023;89;0,00000077;
март 2023;141;0,00000113;
апрель 2023;103;0,00000089;
май 2023;89;0,00000078;
июнь 2023;217;0,00000211;
июль 2023;95;0,00000094;
август 2023;86;0,00000085;
сентябрь 2023;91;0,00000084;
октябрь 2023;118;0,00000098;
ноябрь 2023;133;0,00000113;
декабрь 2023;72;0,00000060;
январь 2024;125;0,00000103;
февраль 2024;93;0,00000082;
март 2024;142;0,00000123;
апрель 2024;106;0,00000097;
май 2024;104;0,00000097;
июнь 2024;112;0,00000119;
июль 2024;135;0,00000145;
август 2024;134;0,00000143;
сентябрь 2024;104;0,00000104;
октябрь 2024;146;0,00000130;
ноябрь 2024;131;0,00000112;
декабрь 2024;143;0,00000119;
январь 2025;147;0,00000123;
февраль 2025;153;0,00000134;
март 2025;184;0,00000153;
апрель 2025;152;0,00000133;
май 2025;186;0,00000174;
июнь 2025;127;0,00000120;
