Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Крепления для труб», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;11 834;0,00015;
февраль 2018;13 479;0,00017;
март 2018;15 601;0,00018;
апрель 2018;15 589;0,00020;
май 2018;16 689;0,00022;
июнь 2018;15 721;0,00022;
июль 2018;16 297;0,00023;
август 2018;17 874;0,00025;
сентябрь 2018;17 867;0,00022;
октябрь 2018;22 110;0,00023;
ноябрь 2018;16 594;0,00019;
декабрь 2018;14 433;0,00016;
январь 2019;14 216;0,00016;
февраль 2019;16 443;0,00019;
март 2019;17 270;0,00019;
апрель 2019;18 367;0,00022;
май 2019;17 058;0,00021;
июнь 2019;18 322;0,00025;
июль 2019;24 628;0,00033;
август 2019;22 955;0,00031;
сентябрь 2019;24 140;0,00030;
октябрь 2019;19 385;0,00021;
ноябрь 2019;16 703;0,00018;
декабрь 2019;15 588;0,00016;
январь 2020;15 223;0,00015;
февраль 2020;17 668;0,00019;
март 2020;18 232;0,00018;
апрель 2020;18 089;0,00015;
май 2020;21 791;0,00020;
июнь 2020;22 351;0,00025;
июль 2020;20 761;0,00024;
август 2020;20 462;0,00024;
сентябрь 2020;21 117;0,00022;
октябрь 2020;21 361;0,00019;
ноябрь 2020;20 135;0,00017;
декабрь 2020;17 947;0,00016;
январь 2021;16 761;0,00016;
февраль 2021;19 001;0,00019;
март 2021;22 497;0,00020;
апрель 2021;25 366;0,00023;
май 2021;23 300;0,00022;
июнь 2021;25 031;0,00025;
июль 2021;25 315;0,00026;
август 2021;26 876;0,00026;
сентябрь 2021;26 877;0,00025;
октябрь 2021;24 453;0,00021;
ноябрь 2021;23 864;0,00020;
декабрь 2021;21 988;0,00018;
январь 2022;19 491;0,00016;
февраль 2022;22 137;0,00018;
март 2022;24 791;0,00019;
апрель 2022;26 676;0,00022;
май 2022;27 428;0,00022;
июнь 2022;27 510;0,00025;
июль 2022;26 249;0,00025;
август 2022;28 016;0,00026;
сентябрь 2022;24 533;0,00020;
октябрь 2022;24 515;0,00019;
ноябрь 2022;24 969;0,00019;
декабрь 2022;20 802;0,00016;
январь 2023;20 313;0,00016;
февраль 2023;22 537;0,00019;
март 2023;26 943;0,00021;
апрель 2023;26 802;0,00023;
май 2023;30 258;0,00026;
июнь 2023;29 546;0,00028;
июль 2023;29 590;0,00029;
август 2023;28 914;0,00028;
сентябрь 2023;27 895;0,00025;
октябрь 2023;30 184;0,00025;
ноябрь 2023;27 581;0,00023;
декабрь 2023;22 492;0,00018;
январь 2024;22 119;0,00018;
февраль 2024;25 725;0,00022;
март 2024;27 743;0,00024;
апрель 2024;31 609;0,00029;
май 2024;31 365;0,00029;
июнь 2024;29 435;0,00031;
июль 2024;30 751;0,00033;
август 2024;29 568;0,00031;
сентябрь 2024;28 197;0,00028;
октябрь 2024;32 590;0,00029;
ноябрь 2024;30 609;0,00026;
декабрь 2024;27 585;0,00022;
январь 2025;26 704;0,00022;
февраль 2025;30 233;0,00026;
март 2025;32 733;0,00027;
апрель 2025;34 797;0,00030;
май 2025;33 992;0,00031;
июнь 2025;37 118;0,00035;
