Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Материалы для герметизации», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;558;0,0000071;
февраль 2018;717;0,0000092;
март 2018;765;0,0000091;
апрель 2018;866;0,0000114;
май 2018;797;0,0000106;
июнь 2018;711;0,0000102;
июль 2018;748;0,0000107;
август 2018;782;0,0000110;
сентябрь 2018;663;0,0000083;
октябрь 2018;908;0,0000098;
ноябрь 2018;680;0,0000080;
декабрь 2018;621;0,0000072;
январь 2019;514;0,0000058;
февраль 2019;689;0,0000082;
март 2019;766;0,0000087;
апрель 2019;712;0,0000086;
май 2019;820;0,0000103;
июнь 2019;776;0,0000107;
июль 2019;841;0,0000114;
август 2019;686;0,0000094;
сентябрь 2019;710;0,0000090;
октябрь 2019;805;0,0000090;
ноябрь 2019;693;0,0000078;
декабрь 2019;903;0,0000097;
январь 2020;898;0,0000092;
февраль 2020;853;0,0000092;
март 2020;957;0,0000097;
апрель 2020;1 284;0,0000107;
май 2020;1 266;0,0000118;
июнь 2020;1 191;0,0000133;
июль 2020;975;0,0000115;
август 2020;807;0,0000096;
сентябрь 2020;855;0,0000090;
октябрь 2020;946;0,0000087;
ноябрь 2020;1 084;0,0000094;
декабрь 2020;1 173;0,0000106;
январь 2021;688;0,0000065;
февраль 2021;717;0,0000071;
март 2021;1 092;0,0000100;
апрель 2021;1 214;0,0000112;
май 2021;934;0,0000090;
июнь 2021;1 095;0,0000110;
июль 2021;817;0,0000084;
август 2021;769;0,0000076;
сентябрь 2021;930;0,0000086;
октябрь 2021;871;0,0000076;
ноябрь 2021;1 022;0,0000088;
декабрь 2021;935;0,0000078;
январь 2022;855;0,0000071;
февраль 2022;834;0,0000070;
март 2022;828;0,0000064;
апрель 2022;906;0,0000075;
май 2022;1 008;0,0000084;
июнь 2022;1 039;0,0000096;
июль 2022;786;0,0000075;
август 2022;838;0,0000077;
сентябрь 2022;935;0,0000079;
октябрь 2022;904;0,0000073;
ноябрь 2022;1 114;0,0000088;
декабрь 2022;961;0,0000076;
январь 2023;777;0,0000063;
февраль 2023;818;0,0000071;
март 2023;1 061;0,0000085;
апрель 2023;939;0,0000081;
май 2023;1 161;0,0000102;
июнь 2023;1 070;0,0000104;
июль 2023;792;0,0000078;
август 2023;896;0,0000089;
сентябрь 2023;865;0,0000080;
октябрь 2023;1 361;0,0000114;
ноябрь 2023;1 162;0,0000099;
декабрь 2023;1 110;0,0000092;
январь 2024;993;0,0000082;
февраль 2024;892;0,0000079;
март 2024;1 090;0,0000094;
апрель 2024;1 045;0,0000096;
май 2024;1 056;0,0000099;
июнь 2024;1 084;0,0000116;
июль 2024;977;0,0000104;
август 2024;791;0,0000084;
сентябрь 2024;890;0,0000089;
октябрь 2024;1 142;0,0000101;
ноябрь 2024;1 466;0,0000126;
декабрь 2024;1 560;0,0000130;
январь 2025;1 129;0,0000095;
февраль 2025;1 488;0,0000130;
март 2025;1 595;0,0000133;
апрель 2025;1 393;0,0000122;
май 2025;1 424;0,0000133;
июнь 2025;1 630;0,0000154;
