Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Фасонные элементы для канализации», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;0;0;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;0;0;
июль 2018;0;0;
август 2018;0;0;
сентябрь 2018;0;0;
октябрь 2018;0;0;
ноябрь 2018;0;0;
декабрь 2018;0;0;
январь 2019;0;0;
февраль 2019;0;0;
март 2019;0;0;
апрель 2019;0;0;
май 2019;0;0;
июнь 2019;0;0;
июль 2019;0;0;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;0;0;
ноябрь 2019;0;0;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;0;0;
май 2020;0;0;
июнь 2020;0;0;
июль 2020;0;0;
август 2020;0;0;
сентябрь 2020;0;0;
октябрь 2020;0;0;
ноябрь 2020;19;0,000000165;
декабрь 2020;10;0,000000090;
январь 2021;15;0,000000143;
февраль 2021;25;0,000000250;
март 2021;19;0,000000174;
апрель 2021;21;0,000000194;
май 2021;11;0,000000106;
июнь 2021;20;0,000000201;
июль 2021;20;0,000000206;
август 2021;0;0;
сентябрь 2021;0;0;
октябрь 2021;0;0;
ноябрь 2021;0;0;
декабрь 2021;0;0;
январь 2022;0;0;
февраль 2022;0;0;
март 2022;0;0;
апрель 2022;0;0;
май 2022;0;0;
июнь 2022;0;0;
июль 2022;0;0;
август 2022;0;0;
сентябрь 2022;0;0;
октябрь 2022;0;0;
ноябрь 2022;0;0;
декабрь 2022;0;0;
январь 2023;0;0;
февраль 2023;0;0;
март 2023;0;0;
апрель 2023;0;0;
май 2023;0;0;
июнь 2023;0;0;
июль 2023;0;0;
август 2023;0;0;
сентябрь 2023;0;0;
октябрь 2023;0;0;
ноябрь 2023;20;0,000000170;
декабрь 2023;12;0,000000100;
январь 2024;9;0,000000074;
февраль 2024;20;0,000000178;
март 2024;17;0,000000147;
апрель 2024;19;0,000000175;
май 2024;25;0,000000234;
июнь 2024;26;0,000000278;
июль 2024;12;0,000000128;
август 2024;27;0,000000288;
сентябрь 2024;12;0,000000120;
октябрь 2024;11;0,000000097;
ноябрь 2024;24;0,000000206;
декабрь 2024;8;0,000000066;
январь 2025;21;0,000000176;
февраль 2025;20;0,000000175;
март 2025;26;0,000000216;
апрель 2025;10;0,000000087;
май 2025;19;0,000000177;
июнь 2025;26;0,000000246;
