Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Сливные трапы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;2 810;0,000036;
февраль 2018;2 995;0,000038;
март 2018;3 056;0,000036;
апрель 2018;2 961;0,000039;
май 2018;3 305;0,000043;
июнь 2018;3 736;0,000053;
июль 2018;4 734;0,000067;
август 2018;4 165;0,000059;
сентябрь 2018;3 688;0,000046;
октябрь 2018;4 404;0,000047;
ноябрь 2018;3 445;0,000040;
декабрь 2018;2 753;0,000032;
январь 2019;3 118;0,000035;
февраль 2019;3 626;0,000043;
март 2019;4 015;0,000045;
апрель 2019;3 616;0,000043;
май 2019;3 539;0,000044;
июнь 2019;4 028;0,000055;
июль 2019;4 499;0,000061;
август 2019;4 011;0,000055;
сентябрь 2019;3 677;0,000046;
октябрь 2019;3 711;0,000041;
ноябрь 2019;3 473;0,000039;
декабрь 2019;3 123;0,000033;
январь 2020;3 596;0,000036;
февраль 2020;3 477;0,000037;
март 2020;3 535;0,000035;
апрель 2020;3 794;0,000031;
май 2020;4 564;0,000042;
июнь 2020;4 608;0,000051;
июль 2020;4 687;0,000055;
август 2020;4 539;0,000054;
сентябрь 2020;4 517;0,000047;
октябрь 2020;4 293;0,000039;
ноябрь 2020;4 364;0,000038;
декабрь 2020;3 642;0,000032;
январь 2021;3 696;0,000035;
февраль 2021;3 644;0,000036;
март 2021;4 182;0,000038;
апрель 2021;4 506;0,000041;
май 2021;4 684;0,000045;
июнь 2021;5 033;0,000050;
июль 2021;5 082;0,000052;
август 2021;5 217;0,000052;
сентябрь 2021;4 943;0,000046;
октябрь 2021;4 447;0,000039;
ноябрь 2021;4 302;0,000037;
декабрь 2021;3 829;0,000032;
январь 2022;4 231;0,000035;
февраль 2022;3 969;0,000033;
март 2022;4 718;0,000037;
апрель 2022;4 700;0,000039;
май 2022;5 041;0,000042;
июнь 2022;5 033;0,000046;
июль 2022;5 151;0,000049;
август 2022;5 120;0,000047;
сентябрь 2022;4 591;0,000039;
октябрь 2022;4 297;0,000034;
ноябрь 2022;4 309;0,000034;
декабрь 2022;3 681;0,000029;
январь 2023;3 820;0,000030;
февраль 2023;3 902;0,000034;
март 2023;4 549;0,000036;
апрель 2023;4 214;0,000036;
май 2023;4 814;0,000042;
июнь 2023;6 025;0,000058;
июль 2023;5 324;0,000052;
август 2023;5 781;0,000057;
сентябрь 2023;5 237;0,000048;
октябрь 2023;6 456;0,000054;
ноябрь 2023;6 087;0,000051;
декабрь 2023;3 901;0,000032;
январь 2024;3 707;0,000030;
февраль 2024;4 162;0,000037;
март 2024;4 149;0,000035;
апрель 2024;4 454;0,000041;
май 2024;4 927;0,000046;
июнь 2024;4 914;0,000052;
июль 2024;5 383;0,000057;
август 2024;4 839;0,000051;
сентябрь 2024;4 563;0,000045;
октябрь 2024;4 678;0,000041;
ноябрь 2024;4 623;0,000039;
декабрь 2024;3 982;0,000033;
январь 2025;4 229;0,000035;
февраль 2025;4 509;0,000039;
март 2025;4 915;0,000041;
апрель 2025;4 763;0,000041;
май 2025;4 619;0,000043;
июнь 2025;5 224;0,000049;
