Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Газовые котлы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;812 202;0,0104;
февраль 2018;736 638;0,0095;
март 2018;759 405;0,0090;
апрель 2018;624 511;0,0082;
май 2018;605 348;0,0080;
июнь 2018;612 251;0,0088;
июль 2018;671 823;0,0096;
август 2018;827 380;0,0117;
сентябрь 2018;1 099 899;0,0138;
октябрь 2018;1 380 141;0,0149;
ноябрь 2018;1 122 934;0,0132;
декабрь 2018;942 237;0,0110;
январь 2019;924 091;0,0104;
февраль 2019;789 916;0,0094;
март 2019;758 547;0,0086;
апрель 2019;693 997;0,0083;
май 2019;643 787;0,0081;
июнь 2019;610 155;0,0084;
июль 2019;742 308;0,0100;
август 2019;831 074;0,0114;
сентябрь 2019;1 100 673;0,0139;
октябрь 2019;1 126 876;0,0127;
ноябрь 2019;1 139 793;0,0128;
декабрь 2019;992 216;0,0106;
январь 2020;943 415;0,0097;
февраль 2020;845 962;0,0092;
март 2020;801 519;0,0081;
апрель 2020;658 032;0,0055;
май 2020;793 786;0,0074;
июнь 2020;760 222;0,0085;
июль 2020;798 802;0,0094;
август 2020;973 219;0,0116;
сентябрь 2020;1 212 782;0,0127;
октябрь 2020;1 398 744;0,0130;
ноябрь 2020;1 501 582;0,0130;
декабрь 2020;1 420 121;0,0128;
январь 2021;1 398 677;0,0133;
февраль 2021;1 281 056;0,0128;
март 2021;1 152 943;0,0105;
апрель 2021;1 057 321;0,0098;
май 2021;931 871;0,0090;
июнь 2021;980 474;0,0098;
июль 2021;1 026 739;0,0105;
август 2021;1 296 965;0,0129;
сентябрь 2021;1 967 323;0,0183;
октябрь 2021;1 608 181;0,0141;
ноябрь 2021;1 585 605;0,0136;
декабрь 2021;1 686 496;0,0142;
январь 2022;1 511 620;0,0126;
февраль 2022;1 199 040;0,0101;
март 2022;1 931 871;0,0151;
апрель 2022;1 346 452;0,0112;
май 2022;1 247 300;0,0104;
июнь 2022;1 131 275;0,0105;
июль 2022;1 157 307;0,0110;
август 2022;1 299 958;0,0120;
сентябрь 2022;1 909 715;0,0163;
октябрь 2022;1 756 570;0,0142;
ноябрь 2022;1 920 262;0,0152;
декабрь 2022;1 749 723;0,0139;
январь 2023;1 775 042;0,0144;
февраль 2023;1 312 568;0,0115;
март 2023;1 304 505;0,0104;
апрель 2023;1 120 119;0,0097;
май 2023;1 098 275;0,0097;
июнь 2023;1 078 044;0,0105;
июль 2023;1 143 608;0,0113;
август 2023;1 349 532;0,0134;
сентябрь 2023;1 645 339;0,0152;
октябрь 2023;2 246 641;0,0188;
ноябрь 2023;1 945 529;0,0165;
декабрь 2023;1 986 467;0,0166;
январь 2024;2 026 192;0,0168;
февраль 2024;1 415 767;0,0126;
март 2024;1 249 708;0,0108;
апрель 2024;1 134 628;0,0104;
май 2024;1 131 456;0,0106;
июнь 2024;965 279;0,0103;
июль 2024;1 058 390;0,0113;
август 2024;1 236 394;0,0132;
сентябрь 2024;1 529 120;0,0153;
октябрь 2024;2 099 961;0,0187;
ноябрь 2024;1 919 755;0,0165;
декабрь 2024;1 715 619;0,0142;
январь 2025;1 460 307;0,0123;
февраль 2025;1 426 533;0,0125;
март 2025;1 251 329;0,0104;
апрель 2025;1 123 703;0,0098;
май 2025;1 023 440;0,0095;
июнь 2025;1 050 211;0,0099;
