Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Электрические котлы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;97 892;0,00126;
февраль 2018;86 164;0,00111;
март 2018;89 011;0,00105;
апрель 2018;68 256;0,00090;
май 2018;68 136;0,00090;
июнь 2018;66 755;0,00096;
июль 2018;73 842;0,00105;
август 2018;99 225;0,00140;
сентябрь 2018;138 181;0,00174;
октябрь 2018;174 387;0,00189;
ноябрь 2018;154 438;0,00181;
декабрь 2018;123 388;0,00144;
январь 2019;122 284;0,00138;
февраль 2019;96 394;0,00114;
март 2019;89 813;0,00102;
апрель 2019;79 169;0,00095;
май 2019;70 389;0,00089;
июнь 2019;64 974;0,00089;
июль 2019;86 236;0,00117;
август 2019;98 337;0,00135;
сентябрь 2019;145 347;0,00184;
октябрь 2019;156 382;0,00176;
ноябрь 2019;163 612;0,00184;
декабрь 2019;130 791;0,00141;
январь 2020;125 474;0,00129;
февраль 2020;109 177;0,00118;
март 2020;101 708;0,00103;
апрель 2020;110 271;0,00092;
май 2020;115 238;0,00107;
июнь 2020;92 540;0,00103;
июль 2020;95 050;0,00112;
август 2020;127 896;0,00152;
сентябрь 2020;173 916;0,00183;
октябрь 2020;215 741;0,00200;
ноябрь 2020;241 451;0,00210;
декабрь 2020;206 667;0,00186;
январь 2021;181 775;0,00174;
февраль 2021;152 282;0,00152;
март 2021;134 350;0,00123;
апрель 2021;123 571;0,00114;
май 2021;108 012;0,00104;
июнь 2021;101 578;0,00102;
июль 2021;111 880;0,00115;
август 2021;166 442;0,00166;
сентябрь 2021;261 712;0,00244;
октябрь 2021;237 008;0,00208;
ноябрь 2021;231 115;0,00199;
декабрь 2021;222 141;0,00187;
январь 2022;177 555;0,00148;
февраль 2022;140 040;0,00118;
март 2022;174 163;0,00136;
апрель 2022;124 675;0,00104;
май 2022;125 631;0,00105;
июнь 2022;109 095;0,00101;
июль 2022;117 974;0,00113;
август 2022;146 511;0,00135;
сентябрь 2022;229 892;0,00196;
октябрь 2022;223 749;0,00180;
ноябрь 2022;242 739;0,00192;
декабрь 2022;195 505;0,00155;
январь 2023;174 526;0,00141;
февраль 2023;127 104;0,00111;
март 2023;117 997;0,00094;
апрель 2023;99 043;0,00085;
май 2023;101 872;0,00090;
июнь 2023;97 546;0,00095;
июль 2023;111 980;0,00111;
август 2023;134 465;0,00133;
сентябрь 2023;183 650;0,00170;
октябрь 2023;274 651;0,00230;
ноябрь 2023;232 159;0,00197;
декабрь 2023;206 082;0,00172;
январь 2024;200 425;0,00166;
февраль 2024;139 674;0,00124;
март 2024;116 477;0,00100;
апрель 2024;103 170;0,00095;
май 2024;108 440;0,00101;
июнь 2024;86 813;0,00092;
июль 2024;96 069;0,00103;
август 2024;124 641;0,00133;
сентябрь 2024;170 442;0,00171;
октябрь 2024;251 842;0,00224;
ноябрь 2024;230 687;0,00198;
декабрь 2024;192 760;0,00160;
январь 2025;154 923;0,00130;
февраль 2025;150 059;0,00131;
март 2025;120 375;0,00100;
апрель 2025;107 016;0,00093;
май 2025;101 893;0,00095;
июнь 2025;94 578;0,00089;
