Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Группы безопасности», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;58 838;0,00075;
февраль 2018;65 267;0,00084;
март 2018;65 451;0,00077;
апрель 2018;80 544;0,00106;
май 2018;58 479;0,00077;
июнь 2018;43 999;0,00063;
июль 2018;40 661;0,00058;
август 2018;50 137;0,00071;
сентябрь 2018;99 961;0,00126;
октябрь 2018;104 761;0,00113;
ноябрь 2018;91 404;0,00107;
декабрь 2018;68 951;0,00080;
январь 2019;74 674;0,00084;
февраль 2019;80 738;0,00096;
март 2019;75 306;0,00085;
апрель 2019;84 622;0,00102;
май 2019;61 720;0,00078;
июнь 2019;52 440;0,00072;
июль 2019;48 784;0,00066;
август 2019;58 442;0,00080;
сентябрь 2019;106 574;0,00135;
октябрь 2019;99 989;0,00113;
ноябрь 2019;93 233;0,00105;
декабрь 2019;79 516;0,00085;
январь 2020;84 487;0,00086;
февраль 2020;100 783;0,00109;
март 2020;87 242;0,00088;
апрель 2020;83 744;0,00070;
май 2020;83 943;0,00078;
июнь 2020;73 297;0,00082;
июль 2020;63 053;0,00074;
август 2020;79 870;0,00095;
сентябрь 2020;141 946;0,00149;
октябрь 2020;130 621;0,00121;
ноябрь 2020;131 613;0,00114;
декабрь 2020;115 976;0,00104;
январь 2021;108 771;0,00104;
февраль 2021;124 045;0,00124;
март 2021;125 398;0,00115;
апрель 2021;145 769;0,00135;
май 2021;106 184;0,00102;
июнь 2021;98 559;0,00099;
июль 2021;74 064;0,00076;
август 2021;92 038;0,00091;
сентябрь 2021;172 967;0,00161;
октябрь 2021;138 998;0,00122;
ноябрь 2021;143 154;0,00123;
декабрь 2021;125 379;0,00105;
январь 2022;117 304;0,00098;
февраль 2022;128 131;0,00108;
март 2022;137 368;0,00107;
апрель 2022;150 419;0,00125;
май 2022;115 481;0,00096;
июнь 2022;97 315;0,00090;
июль 2022;73 814;0,00070;
август 2022;90 359;0,00083;
сентябрь 2022;163 922;0,00140;
октябрь 2022;150 492;0,00121;
ноябрь 2022;157 026;0,00124;
декабрь 2022;127 815;0,00101;
январь 2023;122 318;0,00099;
февраль 2023;127 495;0,00111;
март 2023;137 035;0,00110;
апрель 2023;141 059;0,00122;
май 2023;114 508;0,00101;
июнь 2023;96 354;0,00093;
июль 2023;77 349;0,00076;
август 2023;90 022;0,00089;
сентябрь 2023;163 169;0,00151;
октябрь 2023;153 965;0,00129;
ноябрь 2023;138 116;0,00117;
декабрь 2023;118 436;0,00099;
январь 2024;127 472;0,00105;
февраль 2024;139 834;0,00124;
март 2024;125 143;0,00108;
апрель 2024;145 055;0,00133;
май 2024;121 052;0,00113;
июнь 2024;90 991;0,00097;
июль 2024;80 784;0,00086;
август 2024;90 549;0,00096;
сентябрь 2024;165 226;0,00166;
октябрь 2024;170 304;0,00151;
ноябрь 2024;150 991;0,00129;
декабрь 2024;136 589;0,00113;
январь 2025;128 568;0,00108;
февраль 2025;149 798;0,00131;
март 2025;142 185;0,00118;
апрель 2025;149 959;0,00131;
май 2025;115 794;0,00108;
июнь 2025;102 015;0,00096;
