Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Стальные радиаторы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;34 610;0,00044;
февраль 2018;35 018;0,00045;
март 2018;36 251;0,00043;
апрель 2018;30 046;0,00039;
май 2018;31 097;0,00041;
июнь 2018;33 040;0,00047;
июль 2018;35 550;0,00050;
август 2018;43 160;0,00061;
сентябрь 2018;46 105;0,00058;
октябрь 2018;56 412;0,00061;
ноябрь 2018;47 949;0,00056;
декабрь 2018;41 576;0,00048;
январь 2019;40 014;0,00045;
февраль 2019;42 262;0,00050;
март 2019;38 032;0,00043;
апрель 2019;33 008;0,00039;
май 2019;32 513;0,00041;
июнь 2019;32 210;0,00044;
июль 2019;40 330;0,00054;
август 2019;44 102;0,00060;
сентябрь 2019;51 120;0,00064;
октябрь 2019;49 709;0,00056;
ноябрь 2019;48 872;0,00055;
декабрь 2019;40 389;0,00043;
январь 2020;39 401;0,00040;
февраль 2020;39 288;0,00042;
март 2020;37 642;0,00038;
апрель 2020;32 714;0,00027;
май 2020;37 418;0,00034;
июнь 2020;40 068;0,00044;
июль 2020;45 586;0,00054;
август 2020;51 060;0,00060;
сентябрь 2020;60 314;0,00063;
октябрь 2020;60 384;0,00056;
ноябрь 2020;62 061;0,00054;
декабрь 2020;59 404;0,00053;
январь 2021;54 041;0,00051;
февраль 2021;53 344;0,00053;
март 2021;54 079;0,00049;
апрель 2021;47 672;0,00044;
май 2021;42 641;0,00041;
июнь 2021;51 530;0,00051;
июль 2021;55 754;0,00057;
август 2021;70 090;0,00069;
сентябрь 2021;87 913;0,00082;
октябрь 2021;69 629;0,00061;
ноябрь 2021;66 994;0,00057;
декабрь 2021;66 997;0,00056;
январь 2022;59 054;0,00049;
февраль 2022;52 911;0,00044;
март 2022;70 072;0,00054;
апрель 2022;52 095;0,00043;
май 2022;48 428;0,00040;
июнь 2022;51 235;0,00047;
июль 2022;52 468;0,00050;
август 2022;59 217;0,00054;
сентябрь 2022;71 502;0,00061;
октябрь 2022;62 744;0,00050;
ноябрь 2022;69 325;0,00054;
декабрь 2022;61 285;0,00048;
январь 2023;56 239;0,00045;
февраль 2023;49 267;0,00043;
март 2023;50 957;0,00040;
апрель 2023;43 810;0,00037;
май 2023;46 273;0,00040;
июнь 2023;50 734;0,00049;
июль 2023;53 053;0,00052;
август 2023;60 734;0,00060;
сентябрь 2023;67 138;0,00062;
октябрь 2023;79 176;0,00066;
ноябрь 2023;67 170;0,00057;
декабрь 2023;58 866;0,00049;
январь 2024;61 415;0,00050;
февраль 2024;54 392;0,00048;
март 2024;49 341;0,00042;
апрель 2024;45 705;0,00042;
май 2024;47 137;0,00044;
июнь 2024;43 800;0,00046;
июль 2024;51 725;0,00055;
август 2024;56 922;0,00060;
сентябрь 2024;61 488;0,00061;
октябрь 2024;72 581;0,00064;
ноябрь 2024;67 076;0,00057;
декабрь 2024;59 838;0,00049;
январь 2025;48 792;0,00041;
февраль 2025;53 246;0,00046;
март 2025;48 140;0,00040;
апрель 2025;43 917;0,00038;
май 2025;39 502;0,00037;
июнь 2025;46 862;0,00044;
