Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Балансировочные клапаны», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;20 151;0,00025;
февраль 2018;23 610;0,00030;
март 2018;24 476;0,00029;
апрель 2018;22 457;0,00029;
май 2018;20 309;0,00027;
июнь 2018;19 504;0,00028;
июль 2018;21 938;0,00031;
август 2018;25 425;0,00036;
сентябрь 2018;25 344;0,00031;
октябрь 2018;38 356;0,00041;
ноябрь 2018;31 468;0,00037;
декабрь 2018;26 696;0,00031;
январь 2019;24 789;0,00028;
февраль 2019;27 114;0,00032;
март 2019;25 713;0,00029;
апрель 2019;25 517;0,00030;
май 2019;18 876;0,00023;
июнь 2019;21 112;0,00029;
июль 2019;23 589;0,00032;
август 2019;22 641;0,00031;
сентябрь 2019;26 303;0,00033;
октябрь 2019;29 079;0,00032;
ноябрь 2019;28 771;0,00032;
декабрь 2019;27 849;0,00030;
январь 2020;25 481;0,00026;
февраль 2020;27 027;0,00029;
март 2020;24 870;0,00025;
апрель 2020;19 935;0,00016;
май 2020;20 521;0,00019;
июнь 2020;24 595;0,00027;
июль 2020;26 103;0,00030;
август 2020;23 867;0,00028;
сентябрь 2020;26 627;0,00028;
октябрь 2020;30 084;0,00027;
ноябрь 2020;31 168;0,00027;
декабрь 2020;30 790;0,00027;
январь 2021;24 300;0,00023;
февраль 2021;29 927;0,00029;
март 2021;30 933;0,00028;
апрель 2021;28 895;0,00026;
май 2021;23 593;0,00022;
июнь 2021;26 626;0,00026;
июль 2021;27 186;0,00028;
август 2021;28 434;0,00028;
сентябрь 2021;33 770;0,00031;
октябрь 2021;34 293;0,00030;
ноябрь 2021;34 192;0,00029;
декабрь 2021;34 456;0,00029;
январь 2022;26 506;0,00022;
февраль 2022;28 886;0,00024;
март 2022;37 632;0,00029;
апрель 2022;34 911;0,00029;
май 2022;29 567;0,00024;
июнь 2022;32 873;0,00030;
июль 2022;31 320;0,00030;
август 2022;33 355;0,00030;
сентябрь 2022;36 153;0,00030;
октябрь 2022;36 770;0,00029;
ноябрь 2022;40 068;0,00031;
декабрь 2022;36 724;0,00029;
январь 2023;31 793;0,00025;
февраль 2023;31 972;0,00028;
март 2023;37 036;0,00029;
апрель 2023;31 009;0,00026;
май 2023;31 303;0,00027;
июнь 2023;31 455;0,00030;
июль 2023;30 706;0,00030;
август 2023;32 661;0,00032;
сентябрь 2023;32 026;0,00029;
октябрь 2023;44 777;0,00037;
ноябрь 2023;39 830;0,00033;
декабрь 2023;37 498;0,00031;
январь 2024;33 644;0,00027;
февраль 2024;36 530;0,00032;
март 2024;33 599;0,00029;
апрель 2024;34 291;0,00031;
май 2024;31 894;0,00029;
июнь 2024;29 044;0,00031;
июль 2024;32 779;0,00035;
август 2024;32 341;0,00034;
сентябрь 2024;35 446;0,00035;
октябрь 2024;46 091;0,00041;
ноябрь 2024;45 608;0,00039;
декабрь 2024;42 436;0,00035;
январь 2025;34 208;0,00028;
февраль 2025;42 033;0,00036;
март 2025;37 729;0,00031;
апрель 2025;36 570;0,00032;
май 2025;29 824;0,00027;
июнь 2025;32 977;0,00031;
