Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Система антиобледенения», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;739;0,0000095;
февраль 2018;1 194;0,0000154;
март 2018;1 109;0,0000131;
апрель 2018;895;0,0000118;
май 2018;1 581;0,0000210;
июнь 2018;766;0,0000110;
июль 2018;838;0,0000119;
август 2018;931;0,0000131;
сентябрь 2018;1 168;0,0000147;
октябрь 2018;1 212;0,0000131;
ноябрь 2018;1 124;0,0000132;
декабрь 2018;1 000;0,0000116;
январь 2019;1 244;0,0000141;
февраль 2019;1 364;0,0000162;
март 2019;977;0,0000111;
апрель 2019;793;0,0000095;
май 2019;801;0,0000101;
июнь 2019;871;0,0000120;
июль 2019;1 026;0,0000139;
август 2019;1 032;0,0000141;
сентябрь 2019;1 467;0,0000186;
октябрь 2019;1 281;0,0000144;
ноябрь 2019;1 644;0,0000185;
декабрь 2019;1 420;0,0000153;
январь 2020;1 255;0,0000129;
февраль 2020;1 023;0,0000111;
март 2020;764;0,0000077;
апрель 2020;763;0,0000063;
май 2020;835;0,0000077;
июнь 2020;770;0,0000086;
июль 2020;772;0,0000091;
август 2020;844;0,0000100;
сентябрь 2020;889;0,0000093;
октябрь 2020;857;0,0000079;
ноябрь 2020;967;0,0000084;
декабрь 2020;901;0,0000081;
январь 2021;917;0,0000087;
февраль 2021;1 217;0,0000121;
март 2021;1 309;0,0000120;
апрель 2021;1 095;0,0000101;
май 2021;866;0,0000083;
июнь 2021;997;0,0000100;
июль 2021;970;0,0000099;
август 2021;1 051;0,0000104;
сентябрь 2021;1 245;0,0000116;
октябрь 2021;1 263;0,0000111;
ноябрь 2021;1 166;0,0000100;
декабрь 2021;1 263;0,0000106;
январь 2022;1 312;0,0000110;
февраль 2022;1 424;0,0000120;
март 2022;1 177;0,0000092;
апрель 2022;1 035;0,0000086;
май 2022;900;0,0000075;
июнь 2022;1 198;0,0000111;
июль 2022;1 196;0,0000114;
август 2022;1 410;0,0000130;
сентябрь 2022;1 569;0,0000134;
октябрь 2022;1 392;0,0000112;
ноябрь 2022;1 554;0,0000123;
декабрь 2022;1 400;0,0000111;
январь 2023;1 078;0,0000087;
февраль 2023;940;0,0000082;
март 2023;944;0,0000075;
апрель 2023;750;0,0000064;
май 2023;1 086;0,0000096;
июнь 2023;883;0,0000086;
июль 2023;955;0,0000094;
август 2023;1 118;0,0000111;
сентябрь 2023;1 402;0,0000130;
октябрь 2023;1 338;0,0000112;
ноябрь 2023;1 264;0,0000107;
декабрь 2023;1 338;0,0000112;
январь 2024;1 044;0,0000086;
февраль 2024;1 243;0,0000110;
март 2024;890;0,0000077;
апрель 2024;940;0,0000086;
май 2024;853;0,0000080;
июнь 2024;869;0,0000093;
июль 2024;945;0,0000101;
август 2024;923;0,0000098;
сентябрь 2024;1 064;0,0000107;
октябрь 2024;1 128;0,0000100;
ноябрь 2024;1 236;0,0000106;
декабрь 2024;1 296;0,0000108;
январь 2025;935;0,0000078;
февраль 2025;1 020;0,0000089;
март 2025;1 024;0,0000085;
апрель 2025;987;0,0000086;
май 2025;869;0,0000081;
июнь 2025;769;0,0000072;
