Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Электрические полотенцесушители», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;40 562;0,00052;
февраль 2018;37 436;0,00048;
март 2018;38 450;0,00045;
апрель 2018;33 411;0,00044;
май 2018;41 202;0,00054;
июнь 2018;40 166;0,00057;
июль 2018;40 682;0,00058;
август 2018;45 342;0,00064;
сентябрь 2018;56 660;0,00071;
октябрь 2018;59 068;0,00064;
ноябрь 2018;51 179;0,00060;
декабрь 2018;41 545;0,00048;
январь 2019;45 093;0,00051;
февраль 2019;49 013;0,00058;
март 2019;47 541;0,00054;
апрель 2019;41 192;0,00049;
май 2019;45 911;0,00058;
июнь 2019;42 247;0,00058;
июль 2019;62 256;0,00084;
август 2019;61 221;0,00084;
сентябрь 2019;66 733;0,00084;
октябрь 2019;61 785;0,00069;
ноябрь 2019;61 668;0,00069;
декабрь 2019;58 328;0,00062;
январь 2020;63 127;0,00064;
февраль 2020;55 385;0,00060;
март 2020;55 414;0,00056;
апрель 2020;44 935;0,00037;
май 2020;71 278;0,00066;
июнь 2020;71 933;0,00080;
июль 2020;76 933;0,00091;
август 2020;78 813;0,00093;
сентябрь 2020;95 517;0,00100;
октябрь 2020;96 254;0,00089;
ноябрь 2020;108 231;0,00094;
декабрь 2020;93 772;0,00084;
январь 2021;90 379;0,00086;
февраль 2021;85 297;0,00085;
март 2021;88 404;0,00081;
апрель 2021;75 561;0,00070;
май 2021;81 442;0,00078;
июнь 2021;87 564;0,00088;
июль 2021;93 237;0,00096;
август 2021;127 101;0,00126;
сентябрь 2021;144 180;0,00134;
октябрь 2021;107 140;0,00094;
ноябрь 2021;124 118;0,00107;
декабрь 2021;109 057;0,00092;
январь 2022;104 559;0,00087;
февраль 2022;98 008;0,00082;
март 2022;123 780;0,00097;
апрель 2022;97 275;0,00081;
май 2022;104 623;0,00087;
июнь 2022;89 199;0,00083;
июль 2022;85 401;0,00081;
август 2022;88 075;0,00081;
сентябрь 2022;112 626;0,00096;
октябрь 2022;98 873;0,00079;
ноябрь 2022;108 301;0,00085;
декабрь 2022;89 952;0,00071;
январь 2023;91 789;0,00074;
февраль 2023;84 667;0,00074;
март 2023;85 533;0,00068;
апрель 2023;76 146;0,00065;
май 2023;89 669;0,00079;
июнь 2023;88 506;0,00086;
июль 2023;91 914;0,00091;
август 2023;98 099;0,00097;
сентябрь 2023;112 307;0,00104;
октябрь 2023;135 620;0,00113;
ноябрь 2023;117 589;0,00100;
декабрь 2023;94 755;0,00079;
январь 2024;98 467;0,00081;
февраль 2024;90 843;0,00080;
март 2024;88 881;0,00077;
апрель 2024;83 124;0,00076;
май 2024;90 368;0,00084;
июнь 2024;80 581;0,00086;
июль 2024;85 353;0,00091;
август 2024;95 616;0,00102;
сентябрь 2024;93 368;0,00093;
октябрь 2024;112 179;0,00099;
ноябрь 2024;105 696;0,00090;
декабрь 2024;91 871;0,00076;
январь 2025;91 867;0,00077;
февраль 2025;88 948;0,00077;
март 2025;83 636;0,00069;
апрель 2025;78 341;0,00068;
май 2025;88 898;0,00083;
июнь 2025;101 553;0,00096;
