Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Печи отопительные дровяные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;2 584;0,000033;
февраль 2018;2 542;0,000032;
март 2018;2 445;0,000029;
апрель 2018;1 958;0,000025;
май 2018;1 812;0,000024;
июнь 2018;1 867;0,000026;
июль 2018;1 864;0,000026;
август 2018;2 453;0,000034;
сентябрь 2018;2 903;0,000036;
октябрь 2018;3 530;0,000038;
ноябрь 2018;2 994;0,000035;
декабрь 2018;2 166;0,000025;
январь 2019;2 215;0,000025;
февраль 2019;1 993;0,000023;
март 2019;1 708;0,000019;
апрель 2019;1 465;0,000017;
май 2019;1 440;0,000018;
июнь 2019;1 517;0,000020;
июль 2019;1 862;0,000025;
август 2019;2 100;0,000028;
сентябрь 2019;2 337;0,000029;
октябрь 2019;2 306;0,000026;
ноябрь 2019;2 465;0,000027;
декабрь 2019;2 055;0,000022;
январь 2020;2 374;0,000024;
февраль 2020;2 031;0,000022;
март 2020;2 211;0,000022;
апрель 2020;2 563;0,000021;
май 2020;2 508;0,000023;
июнь 2020;1 852;0,000020;
июль 2020;1 578;0,000018;
август 2020;2 240;0,000026;
сентябрь 2020;2 691;0,000028;
октябрь 2020;3 041;0,000028;
ноябрь 2020;3 354;0,000029;
декабрь 2020;2 794;0,000025;
январь 2021;2 965;0,000028;
февраль 2021;2 391;0,000023;
март 2021;2 106;0,000019;
апрель 2021;2 070;0,000019;
май 2021;1 730;0,000016;
июнь 2021;1 474;0,000014;
июль 2021;1 925;0,000019;
август 2021;2 491;0,000024;
сентябрь 2021;3 318;0,000030;
октябрь 2021;3 139;0,000027;
ноябрь 2021;3 142;0,000027;
декабрь 2021;2 714;0,000022;
январь 2022;2 846;0,000023;
февраль 2022;2 036;0,000017;
март 2022;2 527;0,000019;
апрель 2022;1 996;0,000016;
май 2022;2 052;0,000017;
июнь 2022;1 695;0,000015;
июль 2022;1 758;0,000016;
август 2022;2 198;0,000020;
сентябрь 2022;3 492;0,000029;
октябрь 2022;3 909;0,000031;
ноябрь 2022;3 545;0,000028;
декабрь 2022;2 720;0,000021;
январь 2023;3 004;0,000024;
февраль 2023;2 095;0,000018;
март 2023;1 957;0,000015;
апрель 2023;1 778;0,000015;
май 2023;1 698;0,000015;
июнь 2023;1 484;0,000014;
июль 2023;1 674;0,000016;
август 2023;1 862;0,000018;
сентябрь 2023;2 206;0,000020;
октябрь 2023;3 103;0,000026;
ноябрь 2023;2 793;0,000023;
декабрь 2023;2 218;0,000018;
январь 2024;2 881;0,000023;
февраль 2024;1 941;0,000017;
март 2024;1 799;0,000015;
апрель 2024;1 499;0,000013;
май 2024;1 766;0,000016;
июнь 2024;1 306;0,000013;
июль 2024;1 440;0,000015;
август 2024;2 169;0,000023;
сентябрь 2024;2 424;0,000024;
октябрь 2024;2 959;0,000026;
ноябрь 2024;3 338;0,000028;
декабрь 2024;2 880;0,000024;
январь 2025;2 753;0,000023;
февраль 2025;2 159;0,000018;
март 2025;1 878;0,000015;
апрель 2025;1 644;0,000014;
май 2025;1 666;0,000015;
июнь 2025;1 445;0,000013;
