Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Вентиляторы промышленные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;10 486;0,000134;
февраль 2018;10 312;0,000133;
март 2018;12 641;0,000150;
апрель 2018;12 303;0,000162;
май 2018;12 382;0,000164;
июнь 2018;11 606;0,000167;
июль 2018;14 227;0,000203;
август 2018;11 812;0,000167;
сентябрь 2018;10 328;0,000130;
октябрь 2018;12 632;0,000137;
ноябрь 2018;10 102;0,000118;
декабрь 2018;8 276;0,000096;
январь 2019;10 163;0,000115;
февраль 2019;9 142;0,000109;
март 2019;10 216;0,000116;
апрель 2019;8 933;0,000108;
май 2019;9 956;0,000125;
июнь 2019;12 103;0,000166;
июль 2019;9 474;0,000128;
август 2019;8 461;0,000116;
сентябрь 2019;8 049;0,000102;
октябрь 2019;9 494;0,000107;
ноябрь 2019;9 232;0,000104;
декабрь 2019;8 516;0,000091;
январь 2020;8 345;0,000085;
февраль 2020;9 174;0,000099;
март 2020;8 701;0,000088;
апрель 2020;7 125;0,000059;
май 2020;8 609;0,000080;
июнь 2020;11 960;0,000134;
июль 2020;12 745;0,000151;
август 2020;8 659;0,000103;
сентябрь 2020;8 526;0,000089;
октябрь 2020;8 723;0,000081;
ноябрь 2020;9 150;0,000079;
декабрь 2020;8 664;0,000078;
январь 2021;8 443;0,000080;
февраль 2021;9 540;0,000095;
март 2021;11 230;0,000103;
апрель 2021;11 852;0,000109;
май 2021;13 049;0,000126;
июнь 2021;19 584;0,000197;
июль 2021;18 298;0,000188;
август 2021;10 073;0,000100;
сентябрь 2021;7 850;0,000073;
октябрь 2021;7 414;0,000065;
ноябрь 2021;7 816;0,000067;
декабрь 2021;7 617;0,000064;
январь 2022;7 087;0,000059;
февраль 2022;7 206;0,000061;
март 2022;9 046;0,000070;
апрель 2022;10 036;0,000083;
май 2022;8 578;0,000071;
июнь 2022;11 880;0,000110;
июль 2022;10 002;0,000095;
август 2022;10 844;0,000100;
сентябрь 2022;6 697;0,000057;
октябрь 2022;6 832;0,000055;
ноябрь 2022;7 966;0,000063;
декабрь 2022;6 566;0,000052;
январь 2023;6 328;0,000051;
февраль 2023;6 602;0,000057;
март 2023;7 994;0,000064;
апрель 2023;8 069;0,000069;
май 2023;9 194;0,000081;
июнь 2023;11 125;0,000108;
июль 2023;12 310;0,000122;
август 2023;12 051;0,000119;
сентябрь 2023;8 304;0,000077;
октябрь 2023;9 194;0,000077;
ноябрь 2023;8 941;0,000076;
декабрь 2023;8 184;0,000068;
январь 2024;8 608;0,000071;
февраль 2024;9 665;0,000086;
март 2024;10 250;0,000088;
апрель 2024;12 048;0,000111;
май 2024;12 111;0,000113;
июнь 2024;20 707;0,000221;
июль 2024;27 660;0,000297;
август 2024;11 927;0,000127;
сентябрь 2024;10 489;0,000105;
октябрь 2024;12 206;0,000108;
ноябрь 2024;12 659;0,000108;
декабрь 2024;11 181;0,000093;
январь 2025;10 948;0,000092;
февраль 2025;12 592;0,000110;
март 2025;12 874;0,000107;
апрель 2025;13 946;0,000122;
май 2025;13 237;0,000123;
июнь 2025;18 004;0,000170;
