Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Система вентиляционных каналов», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;203;0,0000026;
февраль 2018;219;0,0000028;
март 2018;279;0,0000033;
апрель 2018;188;0,0000024;
май 2018;203;0,0000027;
июнь 2018;185;0,0000026;
июль 2018;193;0,0000027;
август 2018;185;0,0000026;
сентябрь 2018;164;0,0000020;
октябрь 2018;175;0,0000018;
ноябрь 2018;222;0,0000026;
декабрь 2018;203;0,0000023;
январь 2019;244;0,0000027;
февраль 2019;256;0,0000030;
март 2019;209;0,0000023;
апрель 2019;225;0,0000027;
май 2019;199;0,0000025;
июнь 2019;218;0,0000030;
июль 2019;182;0,0000024;
август 2019;158;0,0000021;
сентябрь 2019;154;0,0000019;
октябрь 2019;239;0,0000027;
ноябрь 2019;203;0,0000022;
декабрь 2019;286;0,0000030;
январь 2020;212;0,0000021;
февраль 2020;255;0,0000027;
март 2020;228;0,0000023;
апрель 2020;281;0,0000023;
май 2020;367;0,0000034;
июнь 2020;411;0,0000046;
июль 2020;210;0,0000024;
август 2020;207;0,0000024;
сентябрь 2020;231;0,0000024;
октябрь 2020;274;0,0000025;
ноябрь 2020;330;0,0000028;
декабрь 2020;397;0,0000035;
январь 2021;245;0,0000023;
февраль 2021;321;0,0000032;
март 2021;383;0,0000035;
апрель 2021;542;0,0000050;
май 2021;320;0,0000031;
июнь 2021;355;0,0000035;
июль 2021;258;0,0000026;
август 2021;225;0,0000022;
сентябрь 2021;289;0,0000026;
октябрь 2021;343;0,0000030;
ноябрь 2021;350;0,0000030;
декабрь 2021;365;0,0000030;
январь 2022;349;0,0000029;
февраль 2022;397;0,0000033;
март 2022;391;0,0000030;
апрель 2022;444;0,0000037;
май 2022;439;0,0000036;
июнь 2022;482;0,0000044;
июль 2022;325;0,0000031;
август 2022;326;0,0000030;
сентябрь 2022;368;0,0000031;
октябрь 2022;404;0,0000032;
ноябрь 2022;344;0,0000027;
декабрь 2022;379;0,0000030;
январь 2023;306;0,0000024;
февраль 2023;362;0,0000031;
март 2023;414;0,0000033;
апрель 2023;348;0,0000030;
май 2023;381;0,0000033;
июнь 2023;312;0,0000030;
июль 2023;277;0,0000027;
август 2023;258;0,0000025;
сентябрь 2023;285;0,0000026;
октябрь 2023;346;0,0000029;
ноябрь 2023;367;0,0000031;
декабрь 2023;316;0,0000026;
январь 2024;397;0,0000032;
февраль 2024;331;0,0000029;
март 2024;324;0,0000028;
апрель 2024;345;0,0000031;
май 2024;353;0,0000033;
июнь 2024;378;0,0000040;
июль 2024;297;0,0000031;
август 2024;202;0,0000021;
сентябрь 2024;264;0,0000026;
октябрь 2024;459;0,0000040;
ноябрь 2024;522;0,0000044;
декабрь 2024;605;0,0000050;
январь 2025;491;0,0000041;
февраль 2025;505;0,0000044;
март 2025;531;0,0000044;
апрель 2025;560;0,0000049;
май 2025;446;0,0000041;
июнь 2025;514;0,0000048;
