Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Решетки вентиляционные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;45 997;0,00059;
февраль 2018;50 137;0,00064;
март 2018;54 933;0,00065;
апрель 2018;48 527;0,00064;
май 2018;47 747;0,00063;
июнь 2018;48 386;0,00069;
июль 2018;55 530;0,00079;
август 2018;60 942;0,00086;
сентябрь 2018;58 593;0,00073;
октябрь 2018;68 008;0,00073;
ноябрь 2018;62 986;0,00074;
декабрь 2018;52 458;0,00061;
январь 2019;50 086;0,00056;
февраль 2019;53 800;0,00064;
март 2019;58 827;0,00066;
апрель 2019;56 580;0,00068;
май 2019;52 570;0,00066;
июнь 2019;53 946;0,00074;
июль 2019;71 476;0,00097;
август 2019;63 331;0,00087;
сентябрь 2019;62 113;0,00078;
октябрь 2019;80 835;0,00091;
ноябрь 2019;83 548;0,00094;
декабрь 2019;92 155;0,00099;
январь 2020;74 820;0,00076;
февраль 2020;75 318;0,00081;
март 2020;74 063;0,00075;
апрель 2020;59 233;0,00049;
май 2020;79 328;0,00073;
июнь 2020;85 119;0,00095;
июль 2020;72 869;0,00086;
август 2020;74 166;0,00088;
сентябрь 2020;74 900;0,00078;
октябрь 2020;79 495;0,00073;
ноябрь 2020;85 863;0,00074;
декабрь 2020;81 785;0,00074;
январь 2021;71 624;0,00068;
февраль 2021;76 759;0,00076;
март 2021;79 337;0,00072;
апрель 2021;77 877;0,00072;
май 2021;72 290;0,00070;
июнь 2021;81 054;0,00081;
июль 2021;86 538;0,00089;
август 2021;98 039;0,00097;
сентябрь 2021;96 121;0,00089;
октябрь 2021;91 675;0,00080;
ноябрь 2021;99 870;0,00086;
декабрь 2021;97 083;0,00081;
январь 2022;87 158;0,00073;
февраль 2022;84 722;0,00071;
март 2022;88 754;0,00069;
апрель 2022;91 626;0,00076;
май 2022;91 904;0,00077;
июнь 2022;101 101;0,00094;
июль 2022;95 621;0,00091;
август 2022;107 878;0,00100;
сентябрь 2022;97 103;0,00083;
октябрь 2022;95 302;0,00077;
ноябрь 2022;104 367;0,00082;
декабрь 2022;92 901;0,00073;
январь 2023;89 253;0,00072;
февраль 2023;85 344;0,00074;
март 2023;96 511;0,00077;
апрель 2023;84 962;0,00073;
май 2023;88 560;0,00078;
июнь 2023;91 429;0,00089;
июль 2023;98 602;0,00097;
август 2023;103 481;0,00103;
сентябрь 2023;99 007;0,00092;
октябрь 2023;113 343;0,00095;
ноябрь 2023;109 473;0,00093;
декабрь 2023;94 442;0,00079;
январь 2024;90 306;0,00074;
февраль 2024;92 354;0,00082;
март 2024;94 564;0,00081;
апрель 2024;96 455;0,00088;
май 2024;91 868;0,00086;
июнь 2024;88 893;0,00095;
июль 2024;101 028;0,00108;
август 2024;99 739;0,00106;
сентябрь 2024;96 032;0,00096;
октябрь 2024;107 019;0,00095;
ноябрь 2024;109 742;0,00094;
декабрь 2024;100 244;0,00083;
январь 2025;92 430;0,00077;
февраль 2025;117 712;0,00103;
март 2025;103 387;0,00086;
апрель 2025;96 513;0,00084;
май 2025;86 870;0,00081;
июнь 2025;101 790;0,00096;
