Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Баки расширительные для отопления», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;14 788;0,000190;
февраль 2018;13 299;0,000171;
март 2018;12 589;0,000149;
апрель 2018;9 144;0,000120;
май 2018;9 167;0,000122;
июнь 2018;9 938;0,000143;
июль 2018;12 243;0,000175;
август 2018;17 600;0,000249;
сентябрь 2018;25 831;0,000325;
октябрь 2018;28 692;0,000311;
ноябрь 2018;22 526;0,000265;
декабрь 2018;16 981;0,000198;
январь 2019;15 126;0,000171;
февраль 2019;11 938;0,000142;
март 2019;10 738;0,000122;
апрель 2019;9 844;0,000119;
май 2019;9 301;0,000117;
июнь 2019;9 566;0,000131;
июль 2019;12 045;0,000163;
август 2019;15 772;0,000216;
сентябрь 2019;21 492;0,000273;
октябрь 2019;21 539;0,000243;
ноябрь 2019;19 464;0,000219;
декабрь 2019;15 055;0,000162;
январь 2020;13 613;0,000139;
февраль 2020;12 270;0,000133;
март 2020;10 666;0,000108;
апрель 2020;9 934;0,000083;
май 2020;11 851;0,000110;
июнь 2020;11 361;0,000127;
июль 2020;13 101;0,000155;
август 2020;19 220;0,000229;
сентябрь 2020;26 425;0,000278;
октябрь 2020;28 074;0,000260;
ноябрь 2020;27 942;0,000243;
декабрь 2020;25 541;0,000231;
январь 2021;21 855;0,000209;
февраль 2021;19 248;0,000192;
март 2021;18 013;0,000165;
апрель 2021;15 374;0,000142;
май 2021;13 406;0,000129;
июнь 2021;15 516;0,000156;
июль 2021;17 709;0,000182;
август 2021;27 114;0,000270;
сентябрь 2021;44 292;0,000413;
октябрь 2021;33 504;0,000294;
ноябрь 2021;30 197;0,000260;
декабрь 2021;27 552;0,000232;
январь 2022;24 346;0,000204;
февраль 2022;17 531;0,000148;
март 2022;21 854;0,000171;
апрель 2022;17 320;0,000144;
май 2022;17 076;0,000143;
июнь 2022;16 242;0,000151;
июль 2022;18 503;0,000177;
август 2022;24 647;0,000228;
сентябрь 2022;39 873;0,000341;
октябрь 2022;33 826;0,000273;
ноябрь 2022;32 888;0,000260;
декабрь 2022;28 614;0,000227;
январь 2023;26 903;0,000218;
февраль 2023;19 093;0,000167;
март 2023;18 363;0,000147;
апрель 2023;14 418;0,000124;
май 2023;15 482;0,000136;
июнь 2023;17 341;0,000169;
июль 2023;19 494;0,000193;
август 2023;26 314;0,000261;
сентябрь 2023;37 011;0,000344;
октябрь 2023;46 315;0,000388;
ноябрь 2023;35 559;0,000302;
декабрь 2023;30 527;0,000255;
январь 2024;30 377;0,000251;
февраль 2024;21 627;0,000192;
март 2024;17 229;0,000149;
апрель 2024;15 061;0,000138;
май 2024;16 533;0,000155;
июнь 2024;15 250;0,000163;
июль 2024;18 167;0,000195;
август 2024;25 579;0,000273;
сентябрь 2024;34 448;0,000346;
октябрь 2024;42 095;0,000374;
ноябрь 2024;33 575;0,000288;
декабрь 2024;27 764;0,000231;
январь 2025;22 111;0,000186;
февраль 2025;21 420;0,000187;
март 2025;16 031;0,000133;
апрель 2025;13 924;0,000122;
май 2025;13 124;0,000122;
июнь 2025;14 551;0,000137;
