Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Шуруповерты», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;695 198;0,0089;
февраль 2018;792 079;0,0102;
март 2018;859 232;0,0102;
апрель 2018;762 255;0,0100;
май 2018;777 331;0,0103;
июнь 2018;732 848;0,0105;
июль 2018;755 912;0,0108;
август 2018;802 391;0,0113;
сентябрь 2018;842 557;0,0106;
октябрь 2018;994 692;0,0107;
ноябрь 2018;930 673;0,0109;
декабрь 2018;894 525;0,0104;
январь 2019;857 416;0,0097;
февраль 2019;952 590;0,0113;
март 2019;932 206;0,0106;
апрель 2019;914 886;0,0110;
май 2019;863 063;0,0109;
июнь 2019;786 503;0,0108;
июль 2019;855 787;0,0116;
август 2019;887 591;0,0122;
сентябрь 2019;962 847;0,0122;
октябрь 2019;1 057 919;0,0119;
ноябрь 2019;1 052 210;0,0118;
декабрь 2019;1 044 733;0,0112;
январь 2020;986 632;0,0101;
февраль 2020;1 116 125;0,0121;
март 2020;1 004 252;0,0102;
апрель 2020;1 025 170;0,0085;
май 2020;1 253 732;0,0116;
июнь 2020;1 172 321;0,0131;
июль 2020;1 103 199;0,0130;
август 2020;1 118 718;0,0133;
сентябрь 2020;1 151 979;0,0121;
октябрь 2020;1 277 117;0,0118;
ноябрь 2020;1 395 086;0,0121;
декабрь 2020;1 371 987;0,0124;
январь 2021;1 201 591;0,0115;
февраль 2021;1 322 539;0,0132;
март 2021;1 334 312;0,0122;
апрель 2021;1 284 833;0,0119;
май 2021;1 224 548;0,0118;
июнь 2021;1 143 667;0,0115;
июль 2021;1 132 921;0,0116;
август 2021;1 289 375;0,0128;
сентябрь 2021;1 316 440;0,0122;
октябрь 2021;1 386 283;0,0121;
ноябрь 2021;1 514 141;0,0130;
декабрь 2021;1 439 657;0,0121;
январь 2022;1 375 585;0,0115;
февраль 2022;1 420 139;0,0120;
март 2022;1 430 664;0,0112;
апрель 2022;1 401 867;0,0117;
май 2022;1 459 554;0,0122;
июнь 2022;1 235 073;0,0115;
июль 2022;1 215 051;0,0116;
август 2022;1 306 792;0,0121;
сентябрь 2022;1 227 780;0,0105;
октябрь 2022;1 362 458;0,0110;
ноябрь 2022;1 657 761;0,0131;
декабрь 2022;1 470 013;0,0116;
январь 2023;1 458 968;0,0118;
февраль 2023;1 719 085;0,0150;
март 2023;1 514 030;0,0121;
апрель 2023;1 355 412;0,0117;
май 2023;1 299 282;0,0114;
июнь 2023;1 256 125;0,0122;
июль 2023;1 231 385;0,0122;
август 2023;1 233 007;0,0122;
сентябрь 2023;1 333 243;0,0123;
октябрь 2023;1 690 610;0,0141;
ноябрь 2023;1 717 579;0,0146;
декабрь 2023;1 470 218;0,0123;
январь 2024;1 449 029;0,0120;
февраль 2024;1 623 677;0,0144;
март 2024;1 496 775;0,0129;
апрель 2024;1 376 145;0,0126;
май 2024;1 354 358;0,0127;
июнь 2024;1 141 319;0,0122;
июль 2024;1 168 155;0,0125;
август 2024;1 151 031;0,0123;
сентябрь 2024;1 207 874;0,0121;
октябрь 2024;1 421 095;0,0126;
ноябрь 2024;1 527 813;0,0131;
декабрь 2024;1 445 552;0,0120;
январь 2025;1 334 099;0,0112;
февраль 2025;1 416 878;0,0124;
март 2025;1 302 080;0,0108;
апрель 2025;1 199 823;0,0105;
май 2025;1 156 271;0,0108;
июнь 2025;1 158 859;0,0109;
