Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Клеевые пистолеты», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;56 415;0,00072;
февраль 2018;52 826;0,00068;
март 2018;56 709;0,00067;
апрель 2018;40 094;0,00052;
май 2018;33 600;0,00044;
июнь 2018;30 560;0,00044;
июль 2018;34 325;0,00049;
август 2018;36 735;0,00052;
сентябрь 2018;43 677;0,00055;
октябрь 2018;56 752;0,00061;
ноябрь 2018;64 109;0,00075;
декабрь 2018;92 686;0,00108;
январь 2019;59 841;0,00067;
февраль 2019;60 596;0,00072;
март 2019;55 664;0,00063;
апрель 2019;40 930;0,00049;
май 2019;35 096;0,00044;
июнь 2019;30 749;0,00042;
июль 2019;34 138;0,00046;
август 2019;35 354;0,00048;
сентябрь 2019;40 132;0,00051;
октябрь 2019;54 210;0,00061;
ноябрь 2019;64 842;0,00073;
декабрь 2019;102 925;0,00110;
январь 2020;56 628;0,00058;
февраль 2020;58 152;0,00063;
март 2020;48 865;0,00049;
апрель 2020;44 759;0,00037;
май 2020;47 597;0,00044;
июнь 2020;40 486;0,00045;
июль 2020;38 510;0,00045;
август 2020;40 254;0,00047;
сентябрь 2020;46 558;0,00049;
октябрь 2020;61 910;0,00057;
ноябрь 2020;84 073;0,00073;
декабрь 2020;123 357;0,00111;
январь 2021;70 277;0,00067;
февраль 2021;67 202;0,00067;
март 2021;64 222;0,00058;
апрель 2021;51 921;0,00048;
май 2021;42 699;0,00041;
июнь 2021;39 957;0,00040;
июль 2021;39 598;0,00040;
август 2021;45 443;0,00045;
сентябрь 2021;54 466;0,00050;
октябрь 2021;66 424;0,00058;
ноябрь 2021;85 472;0,00073;
декабрь 2021;120 075;0,00101;
январь 2022;69 941;0,00058;
февраль 2022;64 589;0,00054;
март 2022;58 979;0,00046;
апрель 2022;53 296;0,00044;
май 2022;49 920;0,00041;
июнь 2022;41 094;0,00038;
июль 2022;39 516;0,00037;
август 2022;41 804;0,00038;
сентябрь 2022;47 836;0,00040;
октябрь 2022;61 576;0,00049;
ноябрь 2022;82 534;0,00065;
декабрь 2022;104 290;0,00082;
январь 2023;58 705;0,00047;
февраль 2023;57 379;0,00050;
март 2023;59 831;0,00048;
апрель 2023;46 315;0,00040;
май 2023;43 169;0,00038;
июнь 2023;37 856;0,00036;
июль 2023;37 099;0,00036;
август 2023;38 231;0,00038;
сентябрь 2023;45 401;0,00042;
октябрь 2023;68 007;0,00057;
ноябрь 2023;72 585;0,00061;
декабрь 2023;90 689;0,00075;
январь 2024;55 417;0,00045;
февраль 2024;59 411;0,00052;
март 2024;56 608;0,00049;
апрель 2024;45 433;0,00041;
май 2024;47 351;0,00044;
июнь 2024;32 009;0,00034;
июль 2024;33 703;0,00036;
август 2024;31 892;0,00034;
сентябрь 2024;34 945;0,00035;
октябрь 2024;48 689;0,00043;
ноябрь 2024;61 529;0,00052;
декабрь 2024;86 705;0,00072;
январь 2025;48 886;0,00041;
февраль 2025;52 955;0,00046;
март 2025;52 894;0,00044;
апрель 2025;41 047;0,00036;
май 2025;34 444;0,00032;
июнь 2025;33 087;0,00031;
