Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Торцовочные пилы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;88 935;0,00114;
февраль 2018;89 986;0,00116;
март 2018;98 062;0,00116;
апрель 2018;78 724;0,00103;
май 2018;71 105;0,00094;
июнь 2018;72 662;0,00104;
июль 2018;76 778;0,00109;
август 2018;84 422;0,00119;
сентябрь 2018;85 352;0,00107;
октябрь 2018;100 680;0,00109;
ноябрь 2018;98 812;0,00116;
декабрь 2018;98 018;0,00114;
январь 2019;103 911;0,00118;
февраль 2019;108 386;0,00129;
март 2019;117 627;0,00133;
апрель 2019;99 950;0,00120;
май 2019;85 700;0,00108;
июнь 2019;78 221;0,00107;
июль 2019;91 097;0,00123;
август 2019;91 866;0,00126;
сентябрь 2019;91 672;0,00116;
октябрь 2019;101 246;0,00114;
ноябрь 2019;110 982;0,00125;
декабрь 2019;118 141;0,00127;
январь 2020;129 091;0,00132;
февраль 2020;139 215;0,00151;
март 2020;134 176;0,00136;
апрель 2020;108 552;0,00090;
май 2020;139 868;0,00130;
июнь 2020;154 444;0,00173;
июль 2020;136 650;0,00162;
август 2020;136 459;0,00162;
сентябрь 2020;137 316;0,00144;
октябрь 2020;159 301;0,00148;
ноябрь 2020;186 036;0,00162;
декабрь 2020;189 097;0,00171;
январь 2021;185 174;0,00177;
февраль 2021;178 510;0,00178;
март 2021;194 552;0,00178;
апрель 2021;169 752;0,00157;
май 2021;145 233;0,00140;
июнь 2021;140 354;0,00141;
июль 2021;137 940;0,00142;
август 2021;158 575;0,00158;
сентябрь 2021;161 131;0,00150;
октябрь 2021;163 619;0,00143;
ноябрь 2021;183 141;0,00158;
декабрь 2021;181 784;0,00153;
январь 2022;190 789;0,00160;
февраль 2022;188 607;0,00159;
март 2022;219 260;0,00172;
апрель 2022;175 576;0,00146;
май 2022;158 816;0,00133;
июнь 2022;144 071;0,00134;
июль 2022;141 908;0,00136;
август 2022;149 519;0,00138;
сентябрь 2022;140 700;0,00120;
октябрь 2022;150 393;0,00121;
ноябрь 2022;176 159;0,00139;
декабрь 2022;163 844;0,00130;
январь 2023;169 420;0,00137;
февраль 2023;178 740;0,00156;
март 2023;200 588;0,00161;
апрель 2023;154 888;0,00134;
май 2023;143 757;0,00127;
июнь 2023;144 603;0,00141;
июль 2023;142 985;0,00141;
август 2023;147 585;0,00146;
сентябрь 2023;147 352;0,00137;
октябрь 2023;171 003;0,00143;
ноябрь 2023;178 805;0,00152;
декабрь 2023;155 485;0,00130;
январь 2024;165 537;0,00137;
февраль 2024;173 414;0,00154;
март 2024;169 869;0,00147;
апрель 2024;147 373;0,00135;
май 2024;150 362;0,00141;
июнь 2024;124 322;0,00133;
июль 2024;127 304;0,00136;
август 2024;126 912;0,00135;
сентябрь 2024;121 570;0,00122;
октябрь 2024;138 147;0,00123;
ноябрь 2024;153 553;0,00132;
декабрь 2024;148 007;0,00123;
январь 2025;159 117;0,00134;
февраль 2025;159 032;0,00139;
март 2025;150 772;0,00125;
апрель 2025;135 799;0,00119;
май 2025;125 526;0,00117;
июнь 2025;131 099;0,00124;
