Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Краскопульты», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;108 953;0,0014;
февраль 2018;119 788;0,0015;
март 2018;144 898;0,0017;
апрель 2018;166 873;0,0022;
май 2018;188 910;0,0025;
июнь 2018;187 508;0,0027;
июль 2018;190 282;0,0027;
август 2018;193 601;0,0027;
сентябрь 2018;166 462;0,0021;
октябрь 2018;157 033;0,0017;
ноябрь 2018;124 131;0,0014;
декабрь 2018;105 356;0,0012;
январь 2019;114 843;0,0013;
февраль 2019;136 835;0,0016;
март 2019;167 267;0,0019;
апрель 2019;206 311;0,0024;
май 2019;200 241;0,0025;
июнь 2019;190 076;0,0026;
июль 2019;200 853;0,0027;
август 2019;188 364;0,0025;
сентябрь 2019;167 849;0,0021;
октябрь 2019;150 863;0,0017;
ноябрь 2019;131 775;0,0014;
декабрь 2019;136 077;0,0014;
январь 2020;143 461;0,0014;
февраль 2020;163 510;0,0017;
март 2020;184 649;0,0018;
апрель 2020;202 928;0,0016;
май 2020;273 983;0,0025;
июнь 2020;263 856;0,0029;
июль 2020;253 365;0,0030;
август 2020;242 208;0,0028;
сентябрь 2020;216 146;0,0022;
октябрь 2020;197 191;0,0018;
ноябрь 2020;177 081;0,0015;
декабрь 2020;149 710;0,0013;
январь 2021;151 528;0,0014;
февраль 2021;170 225;0,0017;
март 2021;218 576;0,0020;
апрель 2021;277 816;0,0025;
май 2021;268 602;0,0026;
июнь 2021;279 112;0,0028;
июль 2021;288 248;0,0029;
август 2021;308 846;0,0030;
сентябрь 2021;252 025;0,0023;
октябрь 2021;211 462;0,0018;
ноябрь 2021;194 714;0,0016;
декабрь 2021;165 918;0,0014;
январь 2022;174 614;0,0014;
февраль 2022;198 208;0,0016;
март 2022;238 709;0,0018;
апрель 2022;288 187;0,0024;
май 2022;326 875;0,0027;
июнь 2022;319 560;0,0029;
июль 2022;319 103;0,0030;
август 2022;328 642;0,0030;
сентябрь 2022;245 447;0,0020;
октябрь 2022;209 323;0,0016;
ноябрь 2022;190 318;0,0015;
декабрь 2022;152 461;0,0012;
январь 2023;167 209;0,0013;
февраль 2023;198 326;0,0017;
март 2023;261 137;0,0020;
апрель 2023;313 826;0,0027;
май 2023;325 711;0,0028;
июнь 2023;321 702;0,0031;
июль 2023;322 805;0,0032;
август 2023;307 524;0,0030;
сентябрь 2023;278 492;0,0025;
октябрь 2023;240 280;0,0020;
ноябрь 2023;203 448;0,0017;
декабрь 2023;157 777;0,0013;
январь 2024;169 953;0,0014;
февраль 2024;221 826;0,0019;
март 2024;266 729;0,0023;
апрель 2024;335 287;0,0030;
май 2024;349 099;0,0032;
июнь 2024;312 657;0,0033;
июль 2024;324 162;0,0034;
август 2024;314 630;0,0033;
сентябрь 2024;283 272;0,0028;
октябрь 2024;237 757;0,0021;
ноябрь 2024;203 280;0,0017;
декабрь 2024;175 551;0,0014;
январь 2025;189 133;0,0015;
февраль 2025;212 077;0,0018;
март 2025;281 722;0,0023;
апрель 2025;335 996;0,0029;
май 2025;332 521;0,0031;
июнь 2025;352 272;0,0033;
