Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Электрорубанки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;42 680;0,00054;
февраль 2018;44 662;0,00057;
март 2018;50 414;0,00059;
апрель 2018;46 551;0,00061;
май 2018;52 243;0,00069;
июнь 2018;55 071;0,00079;
июль 2018;59 222;0,00084;
август 2018;58 985;0,00083;
сентябрь 2018;52 661;0,00066;
октябрь 2018;52 305;0,00056;
ноябрь 2018;45 472;0,00053;
декабрь 2018;41 390;0,00048;
январь 2019;42 011;0,00047;
февраль 2019;48 899;0,00058;
март 2019;52 240;0,00059;
апрель 2019;51 709;0,00062;
май 2019;57 441;0,00072;
июнь 2019;60 446;0,00083;
июль 2019;62 173;0,00084;
август 2019;57 365;0,00078;
сентябрь 2019;48 094;0,00061;
октябрь 2019;47 988;0,00054;
ноябрь 2019;45 209;0,00050;
декабрь 2019;46 238;0,00049;
январь 2020;52 453;0,00053;
февраль 2020;55 185;0,00060;
март 2020;56 984;0,00057;
апрель 2020;67 197;0,00056;
май 2020;94 945;0,00088;
июнь 2020;97 506;0,00109;
июль 2020;88 253;0,00104;
август 2020;76 121;0,00090;
сентябрь 2020;64 444;0,00067;
октябрь 2020;65 689;0,00061;
ноябрь 2020;67 624;0,00058;
декабрь 2020;58 423;0,00052;
январь 2021;56 422;0,00054;
февраль 2021;57 403;0,00057;
март 2021;63 420;0,00058;
апрель 2021;68 234;0,00063;
май 2021;72 885;0,00070;
июнь 2021;79 850;0,00080;
июль 2021;84 076;0,00086;
август 2021;88 439;0,00088;
сентябрь 2021;74 192;0,00069;
октябрь 2021;70 002;0,00061;
ноябрь 2021;69 215;0,00059;
декабрь 2021;60 074;0,00050;
январь 2022;61 478;0,00051;
февраль 2022;65 318;0,00055;
март 2022;80 993;0,00063;
апрель 2022;76 315;0,00063;
май 2022;87 353;0,00073;
июнь 2022;96 000;0,00089;
июль 2022;92 183;0,00088;
август 2022;84 428;0,00078;
сентябрь 2022;62 934;0,00053;
октябрь 2022;59 049;0,00047;
ноябрь 2022;60 968;0,00048;
декабрь 2022;50 796;0,00040;
январь 2023;52 297;0,00042;
февраль 2023;59 838;0,00052;
март 2023;65 005;0,00052;
апрель 2023;63 268;0,00054;
май 2023;71 476;0,00063;
июнь 2023;78 415;0,00076;
июль 2023;79 476;0,00078;
август 2023;72 082;0,00071;
сентябрь 2023;61 356;0,00057;
октябрь 2023;60 856;0,00051;
ноябрь 2023;54 739;0,00046;
декабрь 2023;42 751;0,00035;
январь 2024;43 997;0,00036;
февраль 2024;50 819;0,00045;
март 2024;53 940;0,00046;
апрель 2024;55 775;0,00051;
май 2024;61 698;0,00057;
июнь 2024;59 250;0,00063;
июль 2024;61 841;0,00066;
август 2024;58 954;0,00063;
сентябрь 2024;49 935;0,00050;
октябрь 2024;48 667;0,00043;
ноябрь 2024;45 903;0,00039;
декабрь 2024;40 925;0,00034;
январь 2025;45 056;0,00037;
февраль 2025;47 194;0,00041;
март 2025;49 058;0,00040;
апрель 2025;47 429;0,00041;
май 2025;51 022;0,00047;
июнь 2025;57 902;0,00054;
