Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Инструменты многофункциональные, реноваторы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;9 104;0,000117;
февраль 2018;9 280;0,000119;
март 2018;8 831;0,000105;
апрель 2018;7 114;0,000093;
май 2018;6 902;0,000091;
июнь 2018;6 320;0,000091;
июль 2018;7 598;0,000108;
август 2018;7 793;0,000110;
сентябрь 2018;7 488;0,000094;
октябрь 2018;9 180;0,000099;
ноябрь 2018;9 192;0,000108;
декабрь 2018;9 120;0,000106;
январь 2019;9 061;0,000102;
февраль 2019;10 361;0,000123;
март 2019;8 808;0,000100;
апрель 2019;7 701;0,000093;
май 2019;6 295;0,000079;
июнь 2019;6 298;0,000086;
июль 2019;6 980;0,000094;
август 2019;7 296;0,000100;
сентябрь 2019;7 064;0,000089;
октябрь 2019;7 668;0,000086;
ноябрь 2019;8 350;0,000094;
декабрь 2019;8 890;0,000095;
январь 2020;8 491;0,000087;
февраль 2020;9 627;0,000104;
март 2020;7 771;0,000079;
апрель 2020;6 755;0,000056;
май 2020;7 926;0,000073;
июнь 2020;7 839;0,000087;
июль 2020;7 700;0,000091;
август 2020;7 837;0,000093;
сентябрь 2020;8 067;0,000084;
октябрь 2020;9 534;0,000088;
ноябрь 2020;10 427;0,000090;
декабрь 2020;9 926;0,000089;
январь 2021;9 407;0,000090;
февраль 2021;9 701;0,000097;
март 2021;8 866;0,000081;
апрель 2021;8 288;0,000076;
май 2021;7 005;0,000067;
июнь 2021;6 895;0,000069;
июль 2021;7 390;0,000076;
август 2021;8 513;0,000084;
сентябрь 2021;9 158;0,000085;
октябрь 2021;9 137;0,000080;
ноябрь 2021;10 410;0,000089;
декабрь 2021;10 316;0,000087;
январь 2022;9 950;0,000083;
февраль 2022;10 625;0,000089;
март 2022;8 918;0,000069;
апрель 2022;8 237;0,000068;
май 2022;8 190;0,000068;
июнь 2022;8 023;0,000074;
июль 2022;7 794;0,000074;
август 2022;8 124;0,000075;
сентябрь 2022;8 365;0,000071;
октябрь 2022;8 812;0,000071;
ноябрь 2022;9 513;0,000075;
декабрь 2022;9 252;0,000073;
январь 2023;8 412;0,000068;
февраль 2023;9 421;0,000082;
март 2023;9 013;0,000072;
апрель 2023;7 871;0,000068;
май 2023;8 260;0,000073;
июнь 2023;8 658;0,000084;
июль 2023;7 703;0,000076;
август 2023;8 509;0,000084;
сентябрь 2023;9 105;0,000084;
октябрь 2023;11 880;0,000099;
ноябрь 2023;10 586;0,000090;
декабрь 2023;8 780;0,000073;
январь 2024;9 291;0,000077;
февраль 2024;10 538;0,000093;
март 2024;9 249;0,000080;
апрель 2024;8 142;0,000075;
май 2024;8 689;0,000081;
июнь 2024;6 325;0,000067;
июль 2024;6 650;0,000071;
август 2024;6 711;0,000071;
сентябрь 2024;6 658;0,000067;
октябрь 2024;7 855;0,000069;
ноябрь 2024;8 794;0,000075;
декабрь 2024;8 519;0,000071;
январь 2025;8 321;0,000070;
февраль 2025;9 475;0,000083;
март 2025;8 434;0,000070;
апрель 2025;7 883;0,000069;
май 2025;6 266;0,000058;
июнь 2025;6 882;0,000065;
