Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «УШМ (Болгарки)», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;115 981;0,0014;
февраль 2018;128 452;0,0016;
март 2018;150 739;0,0017;
апрель 2018;143 382;0,0018;
май 2018;159 714;0,0021;
июнь 2018;160 796;0,0023;
июль 2018;170 417;0,0024;
август 2018;173 631;0,0024;
сентябрь 2018;169 188;0,0021;
октябрь 2018;201 346;0,0021;
ноябрь 2018;166 817;0,0019;
декабрь 2018;146 964;0,0017;
январь 2019;147 817;0,0016;
февраль 2019;173 767;0,0020;
март 2019;187 588;0,0021;
апрель 2019;193 892;0,0023;
май 2019;194 358;0,0024;
июнь 2019;181 651;0,0025;
июль 2019;199 893;0,0027;
август 2019;192 120;0,0026;
сентябрь 2019;182 607;0,0023;
октябрь 2019;193 187;0,0021;
ноябрь 2019;183 111;0,0020;
декабрь 2019;178 783;0,0019;
январь 2020;186 921;0,0019;
февраль 2020;203 309;0,0022;
март 2020;210 166;0,0021;
апрель 2020;216 366;0,0018;
май 2020;289 244;0,0026;
июнь 2020;273 978;0,0030;
июль 2020;255 891;0,0030;
август 2020;256 540;0,0030;
сентябрь 2020;245 258;0,0025;
октябрь 2020;265 532;0,0024;
ноябрь 2020;270 013;0,0023;
декабрь 2020;239 503;0,0021;
январь 2021;221 790;0,0021;
февраль 2021;240 948;0,0024;
март 2021;268 477;0,0024;
апрель 2021;296 467;0,0027;
май 2021;298 193;0,0028;
июнь 2021;305 445;0,0030;
июль 2021;288 550;0,0029;
август 2021;313 724;0,0031;
сентябрь 2021;303 382;0,0028;
октябрь 2021;297 507;0,0026;
ноябрь 2021;303 175;0,0026;
декабрь 2021;271 126;0,0022;
январь 2022;267 082;0,0022;
февраль 2022;282 934;0,0023;
март 2022;329 369;0,0025;
апрель 2022;334 032;0,0027;
май 2022;376 229;0,0031;
июнь 2022;348 371;0,0032;
июль 2022;336 639;0,0032;
август 2022;353 407;0,0032;
сентябрь 2022;317 790;0,0027;
октябрь 2022;325 282;0,0026;
ноябрь 2022;338 968;0,0026;
декабрь 2022;286 806;0,0022;
январь 2023;299 008;0,0024;
февраль 2023;327 682;0,0028;
март 2023;371 010;0,0029;
апрель 2023;364 604;0,0031;
май 2023;375 239;0,0033;
июнь 2023;367 873;0,0035;
июль 2023;357 499;0,0035;
август 2023;353 643;0,0035;
сентябрь 2023;356 389;0,0033;
октябрь 2023;410 038;0,0034;
ноябрь 2023;385 749;0,0032;
декабрь 2023;304 393;0,0025;
январь 2024;316 798;0,0026;
февраль 2024;360 136;0,0032;
март 2024;360 917;0,0031;
апрель 2024;381 573;0,0035;
май 2024;402 753;0,0037;
июнь 2024;359 720;0,0038;
июль 2024;362 067;0,0038;
август 2024;348 718;0,0037;
сентябрь 2024;338 922;0,0034;
октябрь 2024;367 155;0,0032;
ноябрь 2024;366 853;0,0031;
декабрь 2024;334 333;0,0027;
январь 2025;337 320;0,0028;
февраль 2025;371 594;0,0032;
март 2025;374 235;0,0031;
апрель 2025;381 216;0,0033;
май 2025;371 347;0,0034;
июнь 2025;382 825;0,0036;
