Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Емкости пластиковые», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;28 859;0,00037;
февраль 2018;29 307;0,00037;
март 2018;36 854;0,00043;
апрель 2018;45 693;0,00060;
май 2018;57 706;0,00076;
июнь 2018;48 572;0,00070;
июль 2018;42 479;0,00060;
август 2018;40 498;0,00057;
сентябрь 2018;34 129;0,00043;
октябрь 2018;37 887;0,00041;
ноябрь 2018;29 760;0,00035;
декабрь 2018;24 398;0,00028;
январь 2019;30 327;0,00034;
февраль 2019;33 211;0,00039;
март 2019;50 383;0,00057;
апрель 2019;52 479;0,00063;
май 2019;59 947;0,00075;
июнь 2019;58 262;0,00080;
июль 2019;42 240;0,00057;
август 2019;33 279;0,00045;
сентябрь 2019;33 430;0,00042;
октябрь 2019;33 428;0,00037;
ноябрь 2019;29 433;0,00033;
декабрь 2019;31 312;0,00033;
январь 2020;36 712;0,00037;
февраль 2020;37 991;0,00041;
март 2020;46 274;0,00047;
апрель 2020;59 032;0,00049;
май 2020;85 788;0,00079;
июнь 2020;79 427;0,00089;
июль 2020;59 555;0,00070;
август 2020;45 593;0,00054;
сентябрь 2020;43 599;0,00045;
октябрь 2020;41 426;0,00038;
ноябрь 2020;38 351;0,00033;
декабрь 2020;32 899;0,00029;
январь 2021;36 034;0,00034;
февраль 2021;38 674;0,00038;
март 2021;49 856;0,00045;
апрель 2021;66 584;0,00061;
май 2021;78 119;0,00075;
июнь 2021;76 739;0,00077;
июль 2021;66 755;0,00068;
август 2021;52 290;0,00052;
сентябрь 2021;46 390;0,00043;
октябрь 2021;41 053;0,00036;
ноябрь 2021;37 881;0,00032;
декабрь 2021;33 173;0,00027;
январь 2022;38 282;0,00032;
февраль 2022;42 621;0,00036;
март 2022;50 784;0,00039;
апрель 2022;68 590;0,00057;
май 2022;80 520;0,00067;
июнь 2022;70 278;0,00065;
июль 2022;56 833;0,00054;
август 2022;50 274;0,00046;
сентябрь 2022;37 772;0,00032;
октябрь 2022;35 096;0,00028;
ноябрь 2022;34 908;0,00027;
декабрь 2022;29 108;0,00023;
январь 2023;37 763;0,00030;
февраль 2023;38 304;0,00033;
март 2023;53 563;0,00043;
апрель 2023;66 257;0,00057;
май 2023;77 930;0,00068;
июнь 2023;63 247;0,00061;
июль 2023;49 809;0,00049;
август 2023;44 347;0,00044;
сентябрь 2023;40 133;0,00037;
октябрь 2023;39 291;0,00032;
ноябрь 2023;34 030;0,00028;
декабрь 2023;26 564;0,00022;
январь 2024;41 593;0,00034;
февраль 2024;41 633;0,00037;
март 2024;45 490;0,00039;
апрель 2024;64 139;0,00059;
май 2024;67 454;0,00063;
июнь 2024;59 014;0,00063;
июль 2024;50 975;0,00054;
август 2024;38 148;0,00040;
сентябрь 2024;36 258;0,00036;
октябрь 2024;35 316;0,00031;
ноябрь 2024;31 441;0,00027;
декабрь 2024;29 535;0,00024;
январь 2025;44 783;0,00037;
февраль 2025;40 705;0,00035;
март 2025;48 347;0,00040;
апрель 2025;56 113;0,00049;
май 2025;60 170;0,00056;
июнь 2025;57 965;0,00054;
