Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Кисти», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;786 429;0,0101;
февраль 2018;770 712;0,0099;
март 2018;846 832;0,0100;
апрель 2018;718 324;0,0094;
май 2018;709 716;0,0094;
июнь 2018;646 814;0,0093;
июль 2018;660 818;0,0094;
август 2018;683 169;0,0096;
сентябрь 2018;734 266;0,0092;
октябрь 2018;898 692;0,0097;
ноябрь 2018;846 911;0,0099;
декабрь 2018;845 945;0,0098;
январь 2019;891 776;0,0101;
февраль 2019;888 774;0,0105;
март 2019;920 408;0,0104;
апрель 2019;830 184;0,0100;
май 2019;779 345;0,0098;
июнь 2019;718 968;0,0099;
июль 2019;750 588;0,0102;
август 2019;766 370;0,0105;
сентябрь 2019;776 242;0,0098;
октябрь 2019;921 229;0,0104;
ноябрь 2019;905 889;0,0102;
декабрь 2019;947 448;0,0102;
январь 2020;1 016 104;0,0104;
февраль 2020;1 023 155;0,0111;
март 2020;992 251;0,0100;
апрель 2020;1 331 757;0,0111;
май 2020;1 264 267;0,0117;
июнь 2020;1 012 343;0,0113;
июль 2020;882 668;0,0104;
август 2020;851 531;0,0101;
сентябрь 2020;956 927;0,0100;
октябрь 2020;1 151 039;0,0106;
ноябрь 2020;1 260 765;0,0109;
декабрь 2020;1 259 040;0,0113;
январь 2021;1 164 052;0,0111;
февраль 2021;1 146 663;0,0114;
март 2021;1 281 689;0,0117;
апрель 2021;1 226 746;0,0113;
май 2021;1 095 616;0,0106;
июнь 2021;1 045 524;0,0105;
июль 2021;966 580;0,0099;
август 2021;1 022 346;0,0101;
сентябрь 2021;1 097 937;0,0102;
октябрь 2021;1 217 461;0,0107;
ноябрь 2021;1 267 839;0,0109;
декабрь 2021;1 257 356;0,0106;
январь 2022;1 297 483;0,0108;
февраль 2022;1 223 897;0,0103;
март 2022;1 228 902;0,0096;
апрель 2022;1 210 233;0,0101;
май 2022;1 228 815;0,0102;
июнь 2022;1 116 574;0,0104;
июль 2022;1 047 763;0,0100;
август 2022;1 083 860;0,0100;
сентябрь 2022;1 112 709;0,0095;
октябрь 2022;1 271 435;0,0102;
ноябрь 2022;1 313 066;0,0104;
декабрь 2022;1 228 764;0,0097;
январь 2023;1 228 699;0,0099;
февраль 2023;1 202 631;0,0105;
март 2023;1 359 081;0,0109;
апрель 2023;1 226 502;0,0106;
май 2023;1 197 752;0,0105;
июнь 2023;1 100 561;0,0107;
июль 2023;1 052 834;0,0104;
август 2023;1 032 855;0,0102;
сентябрь 2023;1 096 797;0,0101;
октябрь 2023;1 283 010;0,0107;
ноябрь 2023;1 281 428;0,0109;
декабрь 2023;1 252 030;0,0104;
январь 2024;1 322 168;0,0109;
февраль 2024;1 471 991;0,0131;
март 2024;1 408 844;0,0122;
апрель 2024;1 310 432;0,0120;
май 2024;1 233 430;0,0115;
июнь 2024;1 067 666;0,0114;
июль 2024;1 015 912;0,0109;
август 2024;995 761;0,0106;
сентябрь 2024;1 041 918;0,0104;
октябрь 2024;1 231 190;0,0109;
ноябрь 2024;1 324 345;0,0113;
декабрь 2024;1 348 955;0,0112;
январь 2025;1 336 422;0,0112;
февраль 2025;1 366 669;0,0119;
март 2025;1 411 558;0,0117;
апрель 2025;1 320 690;0,0115;
май 2025;1 202 059;0,0112;
июнь 2025;1 185 955;0,0112;
