Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Маски сварочные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;36 470;0,00046;
февраль 2018;40 844;0,00052;
март 2018;43 230;0,00051;
апрель 2018;44 074;0,00058;
май 2018;46 234;0,00061;
июнь 2018;43 777;0,00063;
июль 2018;42 516;0,00060;
август 2018;43 811;0,00062;
сентябрь 2018;44 992;0,00056;
октябрь 2018;51 537;0,00055;
ноябрь 2018;47 433;0,00055;
декабрь 2018;40 344;0,00047;
январь 2019;41 502;0,00047;
февраль 2019;48 481;0,00057;
март 2019;52 459;0,00059;
апрель 2019;55 995;0,00067;
май 2019;54 431;0,00068;
июнь 2019;48 116;0,00066;
июль 2019;50 525;0,00068;
август 2019;48 361;0,00066;
сентябрь 2019;47 837;0,00060;
октябрь 2019;54 076;0,00061;
ноябрь 2019;50 699;0,00057;
декабрь 2019;52 872;0,00057;
январь 2020;55 041;0,00056;
февраль 2020;60 035;0,00065;
март 2020;63 000;0,00064;
апрель 2020;66 664;0,00055;
май 2020;79 906;0,00074;
июнь 2020;74 439;0,00083;
июль 2020;66 956;0,00079;
август 2020;67 210;0,00080;
сентябрь 2020;69 513;0,00073;
октябрь 2020;77 631;0,00072;
ноябрь 2020;74 326;0,00064;
декабрь 2020;65 172;0,00058;
январь 2021;58 189;0,00055;
февраль 2021;62 806;0,00062;
март 2021;72 897;0,00066;
апрель 2021;77 752;0,00072;
май 2021;73 572;0,00071;
июнь 2021;70 769;0,00071;
июль 2021;65 003;0,00067;
август 2021;71 527;0,00071;
сентябрь 2021;86 686;0,00080;
октябрь 2021;74 317;0,00065;
ноябрь 2021;75 743;0,00065;
декабрь 2021;71 450;0,00060;
январь 2022;70 287;0,00058;
февраль 2022;74 678;0,00063;
март 2022;82 245;0,00064;
апрель 2022;87 157;0,00072;
май 2022;94 489;0,00079;
июнь 2022;85 201;0,00079;
июль 2022;80 928;0,00077;
август 2022;81 228;0,00075;
сентябрь 2022;76 643;0,00065;
октябрь 2022;82 766;0,00066;
ноябрь 2022;88 171;0,00069;
декабрь 2022;73 576;0,00058;
январь 2023;73 818;0,00059;
февраль 2023;82 666;0,00072;
март 2023;95 339;0,00076;
апрель 2023;95 389;0,00082;
май 2023;100 388;0,00088;
июнь 2023;90 927;0,00088;
июль 2023;83 947;0,00083;
август 2023;80 070;0,00079;
сентябрь 2023;85 484;0,00079;
октябрь 2023;100 549;0,00084;
ноябрь 2023;100 113;0,00085;
декабрь 2023;78 277;0,00065;
январь 2024;77 554;0,00064;
февраль 2024;90 381;0,00080;
март 2024;94 961;0,00082;
апрель 2024;102 681;0,00094;
май 2024;108 057;0,00101;
июнь 2024;86 381;0,00092;
июль 2024;82 230;0,00088;
август 2024;81 260;0,00086;
сентябрь 2024;82 983;0,00083;
октябрь 2024;93 306;0,00083;
ноябрь 2024;95 735;0,00082;
декабрь 2024;87 674;0,00073;
январь 2025;87 248;0,00073;
февраль 2025;91 640;0,00080;
март 2025;96 304;0,00080;
апрель 2025;102 333;0,00089;
май 2025;99 910;0,00093;
июнь 2025;97 536;0,00092;
