Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Сварочные аппараты», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;274 299;0,0035;
февраль 2018;310 917;0,0040;
март 2018;355 434;0,0042;
апрель 2018;347 714;0,0045;
май 2018;374 241;0,0049;
июнь 2018;361 688;0,0052;
июль 2018;359 974;0,0051;
август 2018;380 855;0,0053;
сентябрь 2018;357 393;0,0045;
октябрь 2018;407 128;0,0044;
ноябрь 2018;337 937;0,0039;
декабрь 2018;299 817;0,0035;
январь 2019;307 715;0,0034;
февраль 2019;340 593;0,0040;
март 2019;376 075;0,0042;
апрель 2019;391 353;0,0047;
май 2019;385 114;0,0048;
июнь 2019;344 788;0,0047;
июль 2019;358 384;0,0048;
август 2019;484 978;0,0066;
сентябрь 2019;402 812;0,0051;
октябрь 2019;408 726;0,0046;
ноябрь 2019;385 889;0,0043;
декабрь 2019;408 724;0,0044;
январь 2020;431 851;0,0044;
февраль 2020;446 538;0,0048;
март 2020;476 917;0,0048;
апрель 2020;480 960;0,0040;
май 2020;605 551;0,0056;
июнь 2020;532 830;0,0059;
июль 2020;480 535;0,0057;
август 2020;458 121;0,0054;
сентябрь 2020;466 893;0,0049;
октябрь 2020;539 786;0,0050;
ноябрь 2020;535 453;0,0046;
декабрь 2020;460 978;0,0041;
январь 2021;455 350;0,0043;
февраль 2021;466 479;0,0046;
март 2021;510 977;0,0046;
апрель 2021;521 219;0,0048;
май 2021;513 163;0,0049;
июнь 2021;479 722;0,0048;
июль 2021;443 967;0,0045;
август 2021;484 576;0,0048;
сентябрь 2021;471 016;0,0043;
октябрь 2021;475 637;0,0041;
ноябрь 2021;500 633;0,0043;
декабрь 2021;480 543;0,0040;
январь 2022;482 432;0,0040;
февраль 2022;505 515;0,0042;
март 2022;597 613;0,0046;
апрель 2022;572 452;0,0047;
май 2022;597 024;0,0050;
июнь 2022;524 248;0,0048;
июль 2022;487 461;0,0046;
август 2022;498 443;0,0046;
сентябрь 2022;440 881;0,0037;
октябрь 2022;445 171;0,0035;
ноябрь 2022;478 232;0,0037;
декабрь 2022;403 573;0,0032;
январь 2023;417 292;0,0033;
февраль 2023;455 244;0,0039;
март 2023;512 431;0,0041;
апрель 2023;502 415;0,0043;
май 2023;509 337;0,0045;
июнь 2023;470 101;0,0045;
июль 2023;438 790;0,0043;
август 2023;424 495;0,0042;
сентябрь 2023;428 218;0,0039;
октябрь 2023;475 037;0,0039;
ноябрь 2023;461 094;0,0039;
декабрь 2023;379 346;0,0031;
январь 2024;391 150;0,0032;
февраль 2024;456 687;0,0040;
март 2024;473 903;0,0041;
апрель 2024;481 883;0,0044;
май 2024;482 847;0,0045;
июнь 2024;426 342;0,0045;
июль 2024;404 677;0,0043;
август 2024;395 292;0,0042;
сентябрь 2024;388 214;0,0039;
октябрь 2024;446 736;0,0039;
ноябрь 2024;469 733;0,0040;
декабрь 2024;437 374;0,0036;
январь 2025;423 003;0,0035;
февраль 2025;443 684;0,0038;
март 2025;469 695;0,0039;
апрель 2025;480 717;0,0042;
май 2025;461 946;0,0043;
июнь 2025;459 518;0,0043;
