Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Аксессуары для сварки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;176;0,0000022;
февраль 2018;166;0,0000021;
март 2018;159;0,0000018;
апрель 2018;119;0,0000015;
май 2018;169;0,0000022;
июнь 2018;151;0,0000021;
июль 2018;124;0,0000017;
август 2018;133;0,0000018;
сентябрь 2018;114;0,0000014;
октябрь 2018;179;0,0000019;
ноябрь 2018;153;0,0000018;
декабрь 2018;153;0,0000017;
январь 2019;117;0,0000013;
февраль 2019;207;0,0000024;
март 2019;157;0,0000017;
апрель 2019;157;0,0000018;
май 2019;192;0,0000024;
июнь 2019;125;0,0000017;
июль 2019;138;0,0000018;
август 2019;172;0,0000023;
сентябрь 2019;147;0,0000018;
октябрь 2019;173;0,0000019;
ноябрь 2019;189;0,0000021;
декабрь 2019;211;0,0000022;
январь 2020;225;0,0000023;
февраль 2020;180;0,0000019;
март 2020;167;0,0000016;
апрель 2020;142;0,0000011;
май 2020;200;0,0000018;
июнь 2020;186;0,0000020;
июль 2020;173;0,0000020;
август 2020;217;0,0000025;
сентябрь 2020;177;0,0000018;
октябрь 2020;219;0,0000020;
ноябрь 2020;251;0,0000021;
декабрь 2020;220;0,0000019;
январь 2021;225;0,0000021;
февраль 2021;253;0,0000025;
март 2021;266;0,0000024;
апрель 2021;351;0,0000032;
май 2021;289;0,0000028;
июнь 2021;288;0,0000029;
июль 2021;447;0,0000046;
август 2021;329;0,0000032;
сентябрь 2021;420;0,0000039;
октябрь 2021;438;0,0000038;
ноябрь 2021;324;0,0000027;
декабрь 2021;312;0,0000026;
январь 2022;384;0,0000032;
февраль 2022;247;0,0000020;
март 2022;263;0,0000020;
апрель 2022;240;0,0000020;
май 2022;303;0,0000025;
июнь 2022;269;0,0000025;
июль 2022;220;0,0000021;
август 2022;304;0,0000028;
сентябрь 2022;193;0,0000016;
октябрь 2022;181;0,0000014;
ноябрь 2022;264;0,0000020;
декабрь 2022;228;0,0000018;
январь 2023;183;0,0000014;
февраль 2023;170;0,0000014;
март 2023;213;0,0000017;
апрель 2023;242;0,0000020;
май 2023;205;0,0000018;
июнь 2023;245;0,0000023;
июль 2023;274;0,0000027;
август 2023;259;0,0000025;
сентябрь 2023;301;0,0000027;
октябрь 2023;422;0,0000035;
ноябрь 2023;331;0,0000028;
декабрь 2023;241;0,0000020;
январь 2024;255;0,0000021;
февраль 2024;563;0,0000050;
март 2024;494;0,0000042;
апрель 2024;702;0,0000064;
май 2024;940;0,0000088;
июнь 2024;496;0,0000053;
июль 2024;449;0,0000048;
август 2024;242;0,0000025;
сентябрь 2024;195;0,0000019;
октябрь 2024;289;0,0000025;
ноябрь 2024;288;0,0000024;
декабрь 2024;246;0,0000020;
январь 2025;267;0,0000022;
февраль 2025;259;0,0000022;
март 2025;264;0,0000022;
апрель 2025;191;0,0000016;
май 2025;182;0,0000017;
июнь 2025;224;0,0000021;
